address,name,sizeBytes
10001000,ProcessAI,16
10001010,InitAI,5650
10002630,FUN_10002630,20
10002650,FUN_10002650,25
10002670,FUN_10002670,6
10002680,FUN_10002680,20
100026a0,FUN_100026a0,6
100026b0,FUN_100026b0,6
100026c0,FUN_100026c0,6
100026d0,FUN_100026d0,13
100026e0,FUN_100026e0,20
10002700,FUN_10002700,6
10002710,FUN_10002710,20
10002730,FUN_10002730,15
10002740,FUN_10002740,20
10002760,FUN_10002760,13
10002770,FUN_10002770,15
10002780,FUN_10002780,25
100027a0,FUN_100027a0,13
100027b0,FUN_100027b0,6
100027c0,FUN_100027c0,6
100027d0,FUN_100027d0,82
10002830,FUN_10002830,1844
10002f70,FUN_10002f70,34
10002fa0,FUN_10002fa0,45
10002fd0,FUN_10002fd0,171
10003080,FUN_10003080,369
10003200,FUN_10003200,85
10003260,ProcessLandAI,1
10003270,FUN_10003270,157
10003310,FUN_10003310,79
10003360,FUN_10003360,64
100033a0,FUN_100033a0,3787
10004270,FUN_10004270,209
10004350,FUN_10004350,79
100043a0,FUN_100043a0,127
10004420,ProcessMiddleSeaAI,3643
10005260,FUN_10005260,72
100052b0,FUN_100052b0,55
100052f0,FUN_100052f0,2008
10005ad0,FUN_10005ad0,305
10005c10,FUN_10005c10,536
10005e30,FUN_10005e30,472
10006010,FUN_10006010,789
10006330,FUN_10006330,818
10006670,FUN_10006670,174
10006720,FUN_10006720,70
10006770,FUN_10006770,235
10006860,FUN_10006860,303
10006990,FUN_10006990,517
10006ba0,FUN_10006ba0,121
10006c20,FUN_10006c20,86
10006c80,FUN_10006c80,247
10006d80,FUN_10006d80,279
10006eb0,FUN_10006eb0,82
10006f02,FUN_10006f02,23
10006f1a,FUN_10006f1a,56
10006f54,__ftol,39
10006f7b,FUN_10006f7b,217
10007054,entry,157
100070f1,__amsg_exit,48
10007124,FUN_10007124,280
1000723c,FUN_1000723c,1825
1000797d,FUN_1000797d,53
100079b2,FUN_100079b2,49
100079e3,FUN_100079e3,56
10007a1b,FUN_10007a1b,13
10007a28,FUN_10007a28,16
10007a38,FUN_10007a38,14
10007a46,FUN_10007a46,18
10007a58,FUN_10007a58,62
10007a96,FUN_10007a96,41
10007abf,FUN_10007abf,90
10007b7f,__fassign,62
10007bbd,FUN_10007bbd,97
10007c1e,FUN_10007c1e,194
10007ce0,FUN_10007ce0,85
10007d35,FUN_10007d35,167
10007ddc,FUN_10007ddc,147
10007e6f,__cfltcvt,81
10007ec0,FUN_10007ec0,37
10007ee5,FUN_10007ee5,45
10007f12,__exit,17
10007f23,FUN_10007f23,15
10007f32,FUN_10007f32,163
10007fd7,FUN_10007fd7,9
10007fe0,FUN_10007fe0,9
10007fe9,FUN_10007fe9,26
10008003,FUN_10008003,84
10008057,FUN_10008057,30
10008075,FUN_10008075,19
10008088,FUN_10008088,103
100080ef,FUN_100080ef,160
1000818f,FUN_1000818f,444
1000834b,FUN_1000834b,84
1000839f,FUN_1000839f,185
10008458,FUN_10008458,153
100084f1,FUN_100084f1,436
100086a5,FUN_100086a5,306
100087d7,FUN_100087d7,45
10008804,FUN_10008804,328
1000894c,FUN_1000894c,93
100089a9,FUN_100089a9,168
10008a51,FUN_10008a51,57
10008a8a,FUN_10008a8a,339
10008bdd,FUN_10008bdd,101
10008c42,FUN_10008c42,115
10008cb5,FUN_10008cb5,101
10008d1a,FUN_10008d1a,395
10008ea5,FUN_10008ea5,68
10008ee9,FUN_10008ee9,41
10008fce,FUN_10008fce,47
10008ffd,FUN_10008ffd,35
10009020,FUN_10009020,47
1000904f,FUN_1000904f,35
10009080,_strlen,123
100090fb,FUN_100090fb,89
10009154,FUN_10009154,105
100091c0,__aulldiv,104
10009230,__aullrem,117
100092a5,FUN_100092a5,53
100092da,FUN_100092da,22
100092f0,FUN_100092f0,146
10009382,FUN_10009382,137
1000940b,FUN_1000940b,117
10009480,FUN_10009480,111
100094ef,FUN_100094ef,203
100095ba,FUN_100095ba,73
10009603,FUN_10009603,86
10009659,FUN_10009659,140
100096e5,FUN_100096e5,27
10009700,FUN_10009700,12
1000970c,FUN_1000970c,27
10009727,FUN_10009727,141
100097b4,FUN_100097b4,364
10009920,FUN_10009920,22
10009936,FUN_10009936,22
1000994c,FUN_1000994c,45
10009979,FUN_10009979,45
100099a6,FUN_100099a6,119
10009a1d,FUN_10009a1d,92
10009a79,FUN_10009a79,182
10009b30,FUN_10009b30,7
10009b40,FUN_10009b40,224
10009c20,_memset,88
10009c80,FUN_10009c80,664
10009fb5,__fptrap,9
10009fbe,FUN_10009fbe,41
10009fe7,FUN_10009fe7,108
1000a053,FUN_1000a053,97
1000a0b4,FUN_1000a0b4,21
1000a0c9,FUN_1000a0c9,289
1000a162,FUN_1000a162,9
1000a1eb,FUN_1000a1eb,9
1000a206,FUN_1000a206,215
1000a270,FUN_1000a270,9
1000a2c8,FUN_1000a2c8,9
1000a2ef,_malloc,18
1000a301,__nh_malloc,44
1000a32d,FUN_1000a32d,231
1000a394,FUN_1000a394,9
1000a3f3,FUN_1000a3f3,9
1000a429,FUN_1000a429,429
1000a5d6,FUN_1000a5d6,74
1000a620,FUN_1000a620,51
1000a653,FUN_1000a653,41
1000a67c,FUN_1000a67c,389
1000a801,FUN_1000a801,28
1000a820,FUN_1000a820,664
1000ab55,FUN_1000ab55,23
1000ab6c,FUN_1000ab6c,517
1000ad90,_strchr,193
1000ae50,_strstr,128
1000aed0,_strncmp,56
1000af10,FUN_1000af10,47
