address,name,sizeBytes
10001005,OnInit,5
1000100a,thunk_FUN_10001030,5
1000100f,ProcessScenary,5
10001030,FUN_10001030,67
10001090,FUN_10001090,950
10001540,FUN_10001540,5049
10002ea0,__chkesp,56
10002ee0,FUN_10002ee0,313
10003020,entry,243
10003120,__amsg_exit,58
10003160,FUN_10003160,11
10003170,FUN_10003170,87
100031d0,__CrtSetReportFile,126
10003250,FUN_10003250,28
10003270,FUN_10003270,912
10003600,FUN_10003600,780
10003910,FUN_10003910,56
10003950,FUN_10003950,21
10003970,__exit,21
10003990,FUN_10003990,19
100039b0,FUN_100039b0,19
100039d0,FUN_100039d0,227
10003ac0,FUN_10003ac0,15
10003ad0,FUN_10003ad0,15
10003ae0,__initterm,37
10003b10,FUN_10003b10,130
10003ba0,FUN_10003ba0,41
10003bd0,FUN_10003bd0,25
10003bf0,FUN_10003bf0,152
10003c90,FUN_10003c90,263
10003da0,FUN_10003da0,11
10003db0,FUN_10003db0,11
10003dc0,FUN_10003dc0,804
100040f0,__ioterm,155
10004190,FUN_10004190,29
100041b0,FUN_100041b0,35
100041e0,FUN_100041e0,27
10004200,FUN_10004200,94
10004260,FUN_10004260,23
10004280,FUN_10004280,787
100045a0,FUN_100045a0,27
100045c0,__calloc_dbg,96
10004620,FUN_10004620,27
10004640,FUN_10004640,64
10004680,FUN_10004680,1297
10004ba0,FUN_10004ba0,27
10004bc0,FUN_10004bc0,64
10004c00,FUN_10004c00,19
10004c20,FUN_10004c20,19
10004c40,FUN_10004c40,41
10004c70,FUN_10004c70,1004
10005060,FUN_10005060,19
10005080,FUN_10005080,342
100051e0,FUN_100051e0,28
10005200,FUN_10005200,157
100052a0,FUN_100052a0,28
100052c0,FUN_100052c0,136
10005350,FUN_10005350,863
100056c0,FUN_100056c0,34
100056f0,FUN_100056f0,103
10005760,FID_conflict:AtlIsValidAddress,75
100057b0,FUN_100057b0,134
10005840,FUN_10005840,227
10005930,FUN_10005930,28
10005950,FUN_10005950,362
10005ac0,FUN_10005ac0,291
10005bf0,FUN_10005bf0,697
10005eb0,FUN_10005eb0,276
10005fd0,FUN_10005fd0,116
10006050,FUN_10006050,197
10006120,FUN_10006120,329
10006270,FUN_10006270,216
10006350,FUN_10006350,1060
10006780,FUN_10006780,537
100069a0,FUN_100069a0,77
100069f0,FUN_100069f0,156
10006a90,__FF_MSGBANNER,73
10006ae0,FUN_10006ae0,447
10006ca0,__GET_RTERRMSG,80
10006cf0,__itoa,66
10006d40,xtoa,194
10006e10,__ltoa,63
10006e50,__ultoa,30
10006e70,__i64toa,72
10006ec0,x64toa,242
10006fc0,__ui64toa,31
10006fe0,_strlen,123
10007060,FUN_10007060,249
10007160,FUN_10007160,7
10007170,FUN_10007170,224
10007250,FUN_10007250,243
10007350,FUN_10007350,47
10007380,FUN_10007380,507
100075b0,FUN_100075b0,146
10007650,FUN_10007650,522
10007890,FUN_10007890,91
100078f0,FUN_100078f0,13
10007900,FUN_10007900,13
10007910,FUN_10007910,187
100079d0,_strncpy,254
10007ad0,FUN_10007ad0,55
10007b10,FUN_10007b10,159
10007bb0,FUN_10007bb0,151
10007c50,FUN_10007c50,22
10007c70,FUN_10007c70,26
10007c90,__XcptFilter,446
10007e50,FUN_10007e50,89
10007eb0,_set_new_handler,48
10007ee0,FUN_10007ee0,10
10007ef0,__callnewh,45
10007f20,_memset,88
10007f80,FUN_10007f80,23
10007fa0,__nh_malloc_base,87
10008000,FUN_10008000,109
10008070,FUN_10008070,10
10008080,FUN_10008080,173
10008130,FUN_10008130,490
10008320,FUN_10008320,104
10008390,FUN_10008390,116
10008410,FUN_10008410,10
10008420,FUN_10008420,10
10008430,FUN_10008430,31
10008450,FUN_10008450,89
100084b0,FUN_100084b0,85
10008510,FUN_10008510,95
10008570,FUN_10008570,1485
10008b40,FUN_10008b40,1334
10009080,FUN_10009080,271
10009190,FUN_10009190,494
10009380,FUN_10009380,1515
10009970,FUN_10009970,304
10009aa0,FUN_10009aa0,1565
1000a0c0,FUN_1000a0c0,250
1000a1c0,FUN_1000a1c0,183
1000a280,FUN_1000a280,836
1000a5d0,getSystemCP,89
1000a630,FUN_1000a630,80
1000a6b0,setSBCS,116
1000a730,FUN_1000a730,770
1000aa40,FUN_1000aa40,23
1000aa60,FUN_1000aa60,34
1000aa90,FUN_1000aa90,664
1000add0,__aulldiv,104
1000ae40,__aullrem,117
1000aec0,FUN_1000aec0,628
1000b140,FUN_1000b140,3108
1000be70,FUN_1000be70,119
1000bef0,FUN_1000bef0,53
1000bf30,FUN_1000bf30,74
1000bf80,FUN_1000bf80,26
1000bfa0,FUN_1000bfa0,31
1000bfc0,FUN_1000bfc0,27
1000bfe0,__dosmaperr,145
1000c080,FUN_1000c080,13
1000c090,FUN_1000c090,13
1000c0a0,FUN_1000c0a0,664
1000c3e0,FUN_1000c3e0,421
1000c5a0,FUN_1000c5a0,727
1000c8b0,FUN_1000c8b0,80
1000c900,FUN_1000c900,130
1000c990,FUN_1000c990,178
1000ca50,FUN_1000ca50,130
1000cae0,FUN_1000cae0,627
1000cd60,FUN_1000cd60,199
1000ce30,__isatty,50
1000ce70,FUN_1000ce70,300
1000cfa0,FUN_1000cfa0,26
1000cfc0,FUN_1000cfc0,61
1000d000,FUN_1000d000,41
1000d030,FUN_1000d030,61
1000d070,FUN_1000d070,41
1000d0a0,FUN_1000d0a0,119
1000d120,FUN_1000d120,160
1000d1c0,__global_unwind2,32
1000d202,__local_unwind2,104
1000d296,FUN_1000d296,24
1000d375,FUN_1000d375,27
1000d390,FUN_1000d390,482
1000d580,__set_osfhnd,183
1000d640,FUN_1000d640,216
1000d720,FUN_1000d720,102
1000d790,FUN_1000d790,260
1000d8a0,FUN_1000d8a0,134
1000d930,__unlock_fhandle,38
1000d960,FUN_1000d960,218
1000da40,FUN_1000da40,68
1000da90,FUN_1000da90,65
1000dae0,FUN_1000dae0,183
1000dba0,FUN_1000dba0,15
1000dbb0,FUN_1000dbb0,319
1000dcf0,__fptrap,15
1000dd00,FUN_1000dd00,1007
1000e0f0,FUN_1000e0f0,403
1000e290,FUN_1000e290,256
1000e390,FUN_1000e390,388
1000e520,FUN_1000e520,7
1000e530,__strcats,79
1000e580,FUN_1000e580,349
1000e6e0,___lc_lctostr,101
1000e750,FUN_1000e750,130
1000e7e0,FUN_1000e7e0,190
1000e8a0,FUN_1000e8a0,210
1000e980,___init_time,219
1000ea60,FUN_1000ea60,1423
1000eff0,___free_lc_time,779
1000f300,FUN_1000f300,678
1000f5b0,fix_grouping,125
1000f630,FUN_1000f630,304
1000f760,FUN_1000f760,525
1000f970,fix_grouping,125
1000f9f0,FUN_1000f9f0,147
1000fa90,FUN_1000fa90,928
1000fe30,FUN_1000fe30,7
1000fe40,_strcmp,129
1000fed0,FUN_1000fed0,62
1000ff10,_strncmp,56
