address,name,sizeBytes
12cf1005,OnInit,5
12cf100a,thunk_FUN_10001030,5
12cf100f,ProcessScenary,5
12cf1030,FUN_10001030,67
12cf1090,FUN_10001090,950
12cf1540,FUN_10001540,5049
12cf2ea0,__chkesp,56
12cf2ee0,FUN_10002ee0,313
12cf3020,entry,243
12cf3120,__amsg_exit,58
12cf3160,FUN_10003160,11
12cf3170,FUN_10003170,87
12cf31d0,__CrtSetReportFile,126
12cf3250,FUN_10003250,28
12cf3270,FUN_10003270,912
12cf3600,FUN_10003600,780
12cf3910,FUN_10003910,56
12cf3950,FUN_10003950,21
12cf3970,__exit,21
12cf3990,FUN_10003990,19
12cf39b0,FUN_100039b0,19
12cf39d0,FUN_100039d0,227
12cf3ac0,FUN_10003ac0,15
12cf3ad0,FUN_10003ad0,15
12cf3ae0,__initterm,37
12cf3b10,FUN_10003b10,130
12cf3ba0,FUN_10003ba0,41
12cf3bd0,FUN_10003bd0,25
12cf3bf0,FUN_10003bf0,152
12cf3c90,FUN_10003c90,263
12cf3da0,FUN_10003da0,11
12cf3db0,FUN_10003db0,11
12cf3dc0,FUN_10003dc0,804
12cf40f0,__ioterm,155
12cf4190,FUN_10004190,29
12cf41b0,FUN_100041b0,35
12cf41e0,FUN_100041e0,27
12cf4200,FUN_10004200,94
12cf4260,FUN_10004260,23
12cf4280,FUN_10004280,787
12cf45a0,FUN_100045a0,27
12cf45c0,__calloc_dbg,96
12cf4620,FUN_10004620,27
12cf4640,FUN_10004640,64
12cf4680,FUN_10004680,1297
12cf4ba0,FUN_10004ba0,27
12cf4bc0,FUN_10004bc0,64
12cf4c00,FUN_10004c00,19
12cf4c20,FUN_10004c20,19
12cf4c40,FUN_10004c40,41
12cf4c70,FUN_10004c70,1004
12cf5060,FUN_10005060,19
12cf5080,FUN_10005080,342
12cf51e0,FUN_100051e0,28
12cf5200,FUN_10005200,157
12cf52a0,FUN_100052a0,28
12cf52c0,FUN_100052c0,136
12cf5350,FUN_10005350,863
12cf56c0,FUN_100056c0,34
12cf56f0,FUN_100056f0,103
12cf5760,FID_conflict:AtlIsValidAddress,75
12cf57b0,FUN_100057b0,134
12cf5840,FUN_10005840,227
12cf5930,FUN_10005930,28
12cf5950,FUN_10005950,362
12cf5ac0,FUN_10005ac0,291
12cf5bf0,FUN_10005bf0,697
12cf5eb0,FUN_10005eb0,276
12cf5fd0,FUN_10005fd0,116
12cf6050,FUN_10006050,197
12cf6120,FUN_10006120,329
12cf6270,FUN_10006270,216
12cf6350,FUN_10006350,1060
12cf6780,FUN_10006780,537
12cf69a0,FUN_100069a0,77
12cf69f0,FUN_100069f0,156
12cf6a90,__FF_MSGBANNER,73
12cf6ae0,FUN_10006ae0,447
12cf6ca0,__GET_RTERRMSG,80
12cf6cf0,__itoa,66
12cf6d40,xtoa,194
12cf6e10,__ltoa,63
12cf6e50,__ultoa,30
12cf6e70,__i64toa,72
12cf6ec0,x64toa,242
12cf6fc0,__ui64toa,31
12cf6fe0,_strlen,123
12cf7060,FUN_10007060,249
12cf7160,FUN_10007160,7
12cf7170,FUN_10007170,224
12cf7250,FUN_10007250,243
12cf7350,FUN_10007350,47
12cf7380,FUN_10007380,507
12cf75b0,FUN_100075b0,146
12cf7650,FUN_10007650,522
12cf7890,FUN_10007890,91
12cf78f0,FUN_100078f0,13
12cf7900,FUN_10007900,13
12cf7910,FUN_10007910,187
12cf79d0,_strncpy,254
12cf7ad0,FUN_10007ad0,55
12cf7b10,FUN_10007b10,159
12cf7bb0,FUN_10007bb0,151
12cf7c50,FUN_10007c50,22
12cf7c70,FUN_10007c70,26
12cf7c90,__XcptFilter,446
12cf7e50,FUN_10007e50,89
12cf7eb0,_set_new_handler,48
12cf7ee0,FUN_10007ee0,10
12cf7ef0,__callnewh,45
12cf7f20,_memset,88
12cf7f80,FUN_10007f80,23
12cf7fa0,__nh_malloc_base,87
12cf8000,FUN_10008000,109
12cf8070,FUN_10008070,10
12cf8080,FUN_10008080,173
12cf8130,FUN_10008130,490
12cf8320,FUN_10008320,104
12cf8390,FUN_10008390,116
12cf8410,FUN_10008410,10
12cf8420,FUN_10008420,10
12cf8430,FUN_10008430,31
12cf8450,FUN_10008450,89
12cf84b0,FUN_100084b0,85
12cf8510,FUN_10008510,95
12cf8570,FUN_10008570,1485
12cf8b40,FUN_10008b40,1334
12cf9080,FUN_10009080,271
12cf9190,FUN_10009190,494
12cf9380,FUN_10009380,1515
12cf9970,FUN_10009970,304
12cf9aa0,FUN_10009aa0,1565
12cfa0c0,FUN_1000a0c0,250
12cfa1c0,FUN_1000a1c0,183
12cfa280,FUN_1000a280,836
12cfa5d0,getSystemCP,89
12cfa630,FUN_1000a630,80
12cfa6b0,setSBCS,116
12cfa730,FUN_1000a730,770
12cfaa40,FUN_1000aa40,23
12cfaa60,FUN_1000aa60,34
12cfaa90,FUN_1000aa90,664
12cfadd0,__aulldiv,104
12cfae40,__aullrem,117
12cfaec0,FUN_1000aec0,628
12cfb140,FUN_1000b140,3108
12cfbe70,FUN_1000be70,119
12cfbef0,FUN_1000bef0,53
12cfbf30,FUN_1000bf30,74
12cfbf80,FUN_1000bf80,26
12cfbfa0,FUN_1000bfa0,31
12cfbfc0,FUN_1000bfc0,27
12cfbfe0,__dosmaperr,145
12cfc080,FUN_1000c080,13
12cfc090,FUN_1000c090,13
12cfc0a0,FUN_1000c0a0,664
12cfc3e0,FUN_1000c3e0,421
12cfc5a0,FUN_1000c5a0,727
12cfc8b0,FUN_1000c8b0,80
12cfc900,FUN_1000c900,130
12cfc990,FUN_1000c990,178
12cfca50,FUN_1000ca50,130
12cfcae0,FUN_1000cae0,627
12cfcd60,FUN_1000cd60,199
12cfce30,__isatty,50
12cfce70,FUN_1000ce70,300
12cfcfa0,FUN_1000cfa0,26
12cfcfc0,FUN_1000cfc0,61
12cfd000,FUN_1000d000,41
12cfd030,FUN_1000d030,61
12cfd070,FUN_1000d070,41
12cfd0a0,FUN_1000d0a0,119
12cfd120,FUN_1000d120,160
12cfd1c0,__global_unwind2,32
12cfd202,__local_unwind2,104
12cfd296,FUN_1000d296,24
12cfd375,FUN_1000d375,27
12cfd390,FUN_1000d390,482
12cfd580,__set_osfhnd,183
12cfd640,FUN_1000d640,216
12cfd720,FUN_1000d720,102
12cfd790,FUN_1000d790,260
12cfd8a0,FUN_1000d8a0,134
12cfd930,__unlock_fhandle,38
12cfd960,FUN_1000d960,218
12cfda40,FUN_1000da40,68
12cfda90,FUN_1000da90,65
12cfdae0,FUN_1000dae0,183
12cfdba0,FUN_1000dba0,15
12cfdbb0,FUN_1000dbb0,319
12cfdcf0,__fptrap,15
12cfdd00,FUN_1000dd00,1007
12cfe0f0,FUN_1000e0f0,403
12cfe290,FUN_1000e290,256
12cfe390,FUN_1000e390,388
12cfe520,FUN_1000e520,7
12cfe530,__strcats,79
12cfe580,FUN_1000e580,349
12cfe6e0,___lc_lctostr,101
12cfe750,FUN_1000e750,130
12cfe7e0,FUN_1000e7e0,190
12cfe8a0,FUN_1000e8a0,210
12cfe980,___init_time,219
12cfea60,FUN_1000ea60,1423
12cfeff0,___free_lc_time,779
12cff300,FUN_1000f300,678
12cff5b0,fix_grouping,125
12cff630,FUN_1000f630,304
12cff760,FUN_1000f760,525
12cff970,fix_grouping,125
12cff9f0,FUN_1000f9f0,147
12cffa90,FUN_1000fa90,928
12cffe30,FUN_1000fe30,7
12cffe40,_strcmp,129
12cffed0,FUN_1000fed0,62
12cfff10,_strncmp,56
12cfff50,FUN_1000ff50,58
12cfff90,FUN_1000ff90,512
12d00190,FUN_10010190,130
12d00220,FUN_10010220,186
12d002e0,FUN_100102e0,804
12d00610,FUN_10010610,116
12d00690,FUN_10010690,287
12d007b0,FUN_100107b0,69
12d00800,FUN_10010800,172
12d008b0,FUN_100108b0,43
12d008e0,FUN_100108e0,155
12d00980,FUN_10010980,79
12d009d0,FUN_100109d0,135
12d00a60,FUN_10010a60,77
12d00ab0,crtGetLocaleInfoA,388
12d00c40,FUN_10010c40,118
12d00cc0,_GetPrimaryLen,101
12d00d30,FUN_10010d30,122
12d00db0,__close_lk,170
12d00e60,FUN_10010e60,146
12d00f00,FUN_10010f00,289
12d01030,FUN_10011030,291
12d01160,FUN_10011160,878
12d014d0,FUN_100114d0,31
12d014f0,FUN_100114f0,393
12d01680,FUN_10011680,1389
12d01ca0,FID_conflict:_store_str,72
12d01cf0,FUN_10011cf0,173
12d01da0,FID_conflict:_store_number,172
12d01e50,FUN_10011e50,1152
12d02370,FUN_10012370,650
12d02600,FUN_10012600,10
12d02610,FUN_10012610,575
12d02880,FUN_10012880,208
12d02950,FUN_10012950,257
12d02a60,FUN_10012a60,255
12d02b60,FUN_10012b60,17
12d02b80,FUN_10012b80,297
12d02cb0,FUN_10012cb0,61
12d02cf0,FUN_10012cf0,30
12d02d10,FUN_10012d10,939
12d030c0,FUN_100130c0,46
12d030f0,FUN_100130f0,762
12d033f0,FUN_100133f0,504
12d035f0,FUN_100135f0,382
12d03790,FUN_10013790,398
12d03940,FUN_10013940,11
12d03950,FUN_10013950,147
12d039f0,FUN_100139f0,299
12d03b20,__allmul,52
12d03b60,FUN_10013b60,46
12d03b90,FID_conflict:__getenv_lk,198
12d03c60,__mbsnbicoll,79
12d03cb0,FUN_10013cb0,174
12d03d60,FUN_10013d60,970
12d04160,FUN_10014160,80
12d041b0,FUN_100141b0,736
12d04490,findenv,124
12d04510,copy_environ,238
12d04600,FUN_10014600,237
12d04700,_strchr,193
12d0490c,RtlUnwind,6
