address,name,sizeBytes
12761005,OnInit,5
1276100a,thunk_FUN_10001030,5
1276100f,ProcessScenary,5
12761030,FUN_10001030,67
12761090,FUN_10001090,1843
12761990,FUN_10001990,6442
127639f0,__chkesp,56
12763a30,FUN_10003a30,313
12763b70,entry,243
12763c70,__amsg_exit,58
12763cb0,FUN_10003cb0,11
12763cc0,FUN_10003cc0,87
12763d20,__CrtSetReportFile,126
12763da0,FUN_10003da0,28
12763dc0,FUN_10003dc0,912
12764150,FUN_10004150,780
12764460,FUN_10004460,56
127644a0,FUN_100044a0,21
127644c0,__exit,21
127644e0,FUN_100044e0,19
12764500,FUN_10004500,19
12764520,FUN_10004520,227
12764610,FUN_10004610,15
12764620,FUN_10004620,15
12764630,__initterm,37
12764660,FUN_10004660,130
127646f0,FUN_100046f0,41
12764720,FUN_10004720,25
12764740,FUN_10004740,152
127647e0,FUN_100047e0,263
127648f0,FUN_100048f0,11
12764900,FUN_10004900,11
12764910,FUN_10004910,804
12764c40,__ioterm,155
12764ce0,FUN_10004ce0,29
12764d00,FUN_10004d00,35
12764d30,FUN_10004d30,27
12764d50,FUN_10004d50,94
12764db0,FUN_10004db0,23
12764dd0,FUN_10004dd0,787
127650f0,FUN_100050f0,27
12765110,__calloc_dbg,96
12765170,FUN_10005170,27
12765190,FUN_10005190,64
127651d0,FUN_100051d0,1297
127656f0,FUN_100056f0,27
12765710,FUN_10005710,64
12765750,FUN_10005750,19
12765770,FUN_10005770,19
12765790,FUN_10005790,41
127657c0,FUN_100057c0,1004
12765bb0,FUN_10005bb0,19
12765bd0,FUN_10005bd0,342
12765d30,FUN_10005d30,28
12765d50,FUN_10005d50,157
12765df0,FUN_10005df0,28
12765e10,FUN_10005e10,136
12765ea0,FUN_10005ea0,863
12766210,FUN_10006210,34
12766240,FUN_10006240,103
127662b0,FID_conflict:AtlIsValidAddress,75
12766300,FUN_10006300,134
12766390,FUN_10006390,227
12766480,FUN_10006480,28
127664a0,FUN_100064a0,362
12766610,FUN_10006610,291
12766740,FUN_10006740,697
12766a00,FUN_10006a00,276
12766b20,FUN_10006b20,116
12766ba0,FUN_10006ba0,197
12766c70,FUN_10006c70,329
12766dc0,FUN_10006dc0,216
12766ea0,FUN_10006ea0,1060
127672d0,FUN_100072d0,537
127674f0,FUN_100074f0,77
12767540,FUN_10007540,156
127675e0,__FF_MSGBANNER,73
12767630,FUN_10007630,447
127677f0,__GET_RTERRMSG,80
12767840,__itoa,66
12767890,xtoa,194
12767960,__ltoa,63
127679a0,__ultoa,30
