address,name,sizeBytes
10001005,OnInit,5
1000100a,thunk_FUN_10001030,5
1000100f,ProcessScenary,5
10001030,FUN_10001030,67
10001090,FUN_10001090,1843
10001990,FUN_10001990,6442
100039f0,__chkesp,56
10003a30,FUN_10003a30,313
10003b70,entry,243
10003c70,__amsg_exit,58
10003cb0,FUN_10003cb0,11
10003cc0,FUN_10003cc0,87
10003d20,__CrtSetReportFile,126
10003da0,FUN_10003da0,28
10003dc0,FUN_10003dc0,912
10004150,FUN_10004150,780
10004460,FUN_10004460,56
100044a0,FUN_100044a0,21
100044c0,__exit,21
100044e0,FUN_100044e0,19
10004500,FUN_10004500,19
10004520,FUN_10004520,227
10004610,FUN_10004610,15
10004620,FUN_10004620,15
10004630,__initterm,37
10004660,FUN_10004660,130
100046f0,FUN_100046f0,41
10004720,FUN_10004720,25
10004740,FUN_10004740,152
100047e0,FUN_100047e0,263
100048f0,FUN_100048f0,11
10004900,FUN_10004900,11
10004910,FUN_10004910,804
10004c40,__ioterm,155
10004ce0,FUN_10004ce0,29
10004d00,FUN_10004d00,35
10004d30,FUN_10004d30,27
10004d50,FUN_10004d50,94
10004db0,FUN_10004db0,23
10004dd0,FUN_10004dd0,787
100050f0,FUN_100050f0,27
10005110,__calloc_dbg,96
10005170,FUN_10005170,27
10005190,FUN_10005190,64
100051d0,FUN_100051d0,1297
100056f0,FUN_100056f0,27
10005710,FUN_10005710,64
10005750,FUN_10005750,19
10005770,FUN_10005770,19
10005790,FUN_10005790,41
100057c0,FUN_100057c0,1004
10005bb0,FUN_10005bb0,19
10005bd0,FUN_10005bd0,342
10005d30,FUN_10005d30,28
10005d50,FUN_10005d50,157
10005df0,FUN_10005df0,28
10005e10,FUN_10005e10,136
10005ea0,FUN_10005ea0,863
10006210,FUN_10006210,34
10006240,FUN_10006240,103
100062b0,FID_conflict:AtlIsValidAddress,75
10006300,FUN_10006300,134
10006390,FUN_10006390,227
10006480,FUN_10006480,28
100064a0,FUN_100064a0,362
10006610,FUN_10006610,291
10006740,FUN_10006740,697
10006a00,FUN_10006a00,276
10006b20,FUN_10006b20,116
10006ba0,FUN_10006ba0,197
10006c70,FUN_10006c70,329
10006dc0,FUN_10006dc0,216
10006ea0,FUN_10006ea0,1060
100072d0,FUN_100072d0,537
100074f0,FUN_100074f0,77
10007540,FUN_10007540,156
100075e0,__FF_MSGBANNER,73
10007630,FUN_10007630,447
100077f0,__GET_RTERRMSG,80
10007840,__itoa,66
10007890,xtoa,194
10007960,__ltoa,63
100079a0,__ultoa,30
100079c0,__i64toa,72
10007a10,x64toa,242
10007b10,__ui64toa,31
10007b30,_strlen,123
10007bb0,FUN_10007bb0,249
10007cb0,FUN_10007cb0,7
10007cc0,FUN_10007cc0,224
10007da0,FUN_10007da0,243
10007ea0,FUN_10007ea0,47
10007ed0,FUN_10007ed0,507
10008100,FUN_10008100,146
100081a0,FUN_100081a0,522
100083e0,FUN_100083e0,91
10008440,FUN_10008440,13
10008450,FUN_10008450,13
10008460,FUN_10008460,187
10008520,_strncpy,254
10008620,FUN_10008620,55
10008660,FUN_10008660,159
10008700,FUN_10008700,151
100087a0,FUN_100087a0,22
100087c0,FUN_100087c0,26
100087e0,__XcptFilter,446
100089a0,FUN_100089a0,89
10008a00,_set_new_handler,48
10008a30,FUN_10008a30,10
10008a40,__callnewh,45
10008a70,_memset,88
10008ad0,FUN_10008ad0,23
10008af0,__nh_malloc_base,87
10008b50,FUN_10008b50,109
10008bc0,FUN_10008bc0,10
10008bd0,FUN_10008bd0,173
10008c80,FUN_10008c80,490
10008e70,FUN_10008e70,104
10008ee0,FUN_10008ee0,116
10008f60,FUN_10008f60,10
10008f70,FUN_10008f70,10
10008f80,FUN_10008f80,31
10008fa0,FUN_10008fa0,89
10009000,FUN_10009000,85
10009060,FUN_10009060,95
100090c0,FUN_100090c0,1485
10009690,FUN_10009690,1334
10009bd0,FUN_10009bd0,271
10009ce0,FUN_10009ce0,494
10009ed0,FUN_10009ed0,1515
1000a4c0,FUN_1000a4c0,304
1000a5f0,FUN_1000a5f0,1565
1000ac10,FUN_1000ac10,250
1000ad10,FUN_1000ad10,183
1000add0,FUN_1000add0,836
1000b120,getSystemCP,89
1000b180,FUN_1000b180,80
1000b200,setSBCS,116
1000b280,FUN_1000b280,770
1000b590,FUN_1000b590,23
1000b5b0,FUN_1000b5b0,34
1000b5e0,FUN_1000b5e0,664
1000b920,__aulldiv,104
1000b990,__aullrem,117
1000ba10,FUN_1000ba10,628
1000bc90,FUN_1000bc90,3108
1000c9c0,FUN_1000c9c0,119
1000ca40,FUN_1000ca40,53
1000ca80,FUN_1000ca80,74
1000cad0,FUN_1000cad0,26
1000caf0,FUN_1000caf0,31
1000cb10,FUN_1000cb10,27
1000cb30,__dosmaperr,145
1000cbd0,FUN_1000cbd0,13
1000cbe0,FUN_1000cbe0,13
1000cbf0,FUN_1000cbf0,664
1000cf30,FUN_1000cf30,421
1000d0f0,FUN_1000d0f0,727
1000d400,FUN_1000d400,80
1000d450,FUN_1000d450,130
1000d4e0,FUN_1000d4e0,178
1000d5a0,FUN_1000d5a0,130
1000d630,FUN_1000d630,627
1000d8b0,FUN_1000d8b0,199
1000d980,__isatty,50
1000d9c0,FUN_1000d9c0,300
1000daf0,FUN_1000daf0,26
1000db10,FUN_1000db10,61
1000db50,FUN_1000db50,41
1000db80,FUN_1000db80,61
1000dbc0,FUN_1000dbc0,41
1000dbf0,FUN_1000dbf0,119
1000dc70,FUN_1000dc70,160
1000dd10,__global_unwind2,32
1000dd52,__local_unwind2,104
1000dde6,FUN_1000dde6,24
1000dec5,FUN_1000dec5,27
1000dee0,FUN_1000dee0,482
1000e0d0,__set_osfhnd,183
1000e190,FUN_1000e190,216
1000e270,FUN_1000e270,102
1000e2e0,FUN_1000e2e0,260
1000e3f0,FUN_1000e3f0,134
1000e480,__unlock_fhandle,38
1000e4b0,FUN_1000e4b0,218
1000e590,FUN_1000e590,68
1000e5e0,FUN_1000e5e0,65
1000e630,FUN_1000e630,183
1000e6f0,FUN_1000e6f0,15
1000e700,FUN_1000e700,319
1000e840,__fptrap,15
1000e850,FUN_1000e850,1007
1000ec40,FUN_1000ec40,403
1000ede0,FUN_1000ede0,256
1000eee0,FUN_1000eee0,388
1000f070,FUN_1000f070,7
1000f080,__strcats,79
1000f0d0,FUN_1000f0d0,349
1000f230,___lc_lctostr,101
1000f2a0,FUN_1000f2a0,130
1000f330,FUN_1000f330,190
1000f3f0,FUN_1000f3f0,210
1000f4d0,___init_time,219
1000f5b0,FUN_1000f5b0,1423
1000fb40,___free_lc_time,779
1000fe50,FUN_1000fe50,678
10010100,fix_grouping,125
10010180,FUN_10010180,304
100102b0,FUN_100102b0,525
100104c0,fix_grouping,125
10010540,FUN_10010540,147
100105e0,FUN_100105e0,928
10010980,FUN_10010980,7
10010990,_strcmp,129
