address,name,sizeBytes
12821005,thunk_FUN_10001790,5
1282100a,OnInit,5
1282100f,thunk_FUN_10001130,5
12821014,thunk_FUN_10001050,5
12821019,thunk_FUN_100010b0,5
1282101e,ProcessScenary,5
12821050,FUN_10001050,67
128210b0,FUN_100010b0,92
12821130,FUN_10001130,93
128211b0,FUN_100011b0,376
12821390,FUN_10001390,816
12821790,FUN_10001790,63
12821830,__chkesp,56
12821870,FUN_10001870,313
128219b0,entry,243
12821ab0,__amsg_exit,58
12821af0,FUN_10001af0,11
12821b00,FUN_10001b00,87
12821b60,__CrtSetReportFile,126
12821be0,FUN_10001be0,28
12821c00,FUN_10001c00,912
12821f90,FUN_10001f90,780
128222a0,FUN_100022a0,56
128222e0,FUN_100022e0,21
12822300,__exit,21
12822320,FUN_10002320,19
12822340,FUN_10002340,19
12822360,FUN_10002360,227
12822450,FUN_10002450,15
12822460,FUN_10002460,15
12822470,__initterm,37
128224a0,FUN_100024a0,130
12822530,FUN_10002530,41
12822560,FUN_10002560,25
12822580,FUN_10002580,152
12822620,FUN_10002620,263
12822730,FUN_10002730,11
12822740,FUN_10002740,11
12822750,FUN_10002750,804
12822a80,__ioterm,155
12822b20,FUN_10002b20,29
12822b40,FUN_10002b40,35
12822b70,FUN_10002b70,27
12822b90,FUN_10002b90,94
12822bf0,FUN_10002bf0,23
12822c10,FUN_10002c10,787
12822f30,FUN_10002f30,27
12822f50,__calloc_dbg,96
12822fb0,FUN_10002fb0,27
12822fd0,FUN_10002fd0,64
12823010,FUN_10003010,1297
12823530,FUN_10003530,27
12823550,FUN_10003550,64
12823590,FUN_10003590,19
128235b0,FUN_100035b0,19
128235d0,FUN_100035d0,41
12823600,FUN_10003600,1004
128239f0,FUN_100039f0,19
12823a10,FUN_10003a10,342
12823b70,FUN_10003b70,28
12823b90,FUN_10003b90,157
12823c30,FUN_10003c30,28
12823c50,FUN_10003c50,136
12823ce0,FUN_10003ce0,863
12824050,FUN_10004050,34
12824080,FUN_10004080,103
128240f0,FID_conflict:AtlIsValidAddress,75
12824140,FUN_10004140,134
128241d0,FUN_100041d0,227
128242c0,FUN_100042c0,28
128242e0,FUN_100042e0,362
12824450,FUN_10004450,291
12824580,FUN_10004580,697
12824840,FUN_10004840,276
12824960,FUN_10004960,116
128249e0,FUN_100049e0,197
12824ab0,FUN_10004ab0,329
12824c00,FUN_10004c00,216
12824ce0,FUN_10004ce0,1060
12825110,FUN_10005110,537
12825330,FUN_10005330,77
12825380,FUN_10005380,156
12825420,__FF_MSGBANNER,73
12825470,FUN_10005470,447
12825630,__GET_RTERRMSG,80
12825680,__itoa,66
128256d0,xtoa,194
128257a0,__ltoa,63
128257e0,__ultoa,30
12825800,__i64toa,72
12825850,x64toa,242
12825950,__ui64toa,31
12825970,_strlen,123
128259f0,FUN_100059f0,249
12825af0,FUN_10005af0,7
12825b00,FUN_10005b00,224
12825be0,FUN_10005be0,243
12825ce0,FUN_10005ce0,47
12825d10,FUN_10005d10,507
12825f40,FUN_10005f40,146
12825fe0,FUN_10005fe0,522
12826220,FUN_10006220,91
12826280,FUN_10006280,13
12826290,FUN_10006290,13
128262a0,FUN_100062a0,187
12826360,_strncpy,254
