address,name,sizeBytes
10001005,thunk_FUN_10001440,5
1000100a,OnInit,5
1000100f,thunk_FUN_10001050,5
10001014,thunk_FUN_10001180,5
10001019,ProcessScenary,5
1000101e,thunk_FUN_100010b0,5
10001023,thunk_FUN_10001220,5
10001050,FUN_10001050,67
100010b0,FUN_100010b0,160
10001180,FUN_10001180,127
10001220,FUN_10001220,237
10001350,FUN_10001350,46
10001390,FUN_10001390,139
10001440,FUN_10001440,63
100014c0,__chkesp,56
10001500,FUN_10001500,313
10001640,entry,243
10001740,__amsg_exit,58
10001780,FUN_10001780,11
10001790,FUN_10001790,87
100017f0,__CrtSetReportFile,126
10001870,FUN_10001870,28
10001890,FUN_10001890,912
10001c20,FUN_10001c20,780
10001f30,FUN_10001f30,56
10001f70,FUN_10001f70,21
10001f90,__exit,21
10001fb0,FUN_10001fb0,19
10001fd0,FUN_10001fd0,19
10001ff0,FUN_10001ff0,227
100020e0,FUN_100020e0,15
100020f0,FUN_100020f0,15
10002100,__initterm,37
10002130,FUN_10002130,130
100021c0,FUN_100021c0,41
100021f0,FUN_100021f0,25
10002210,FUN_10002210,152
100022b0,FUN_100022b0,263
100023c0,FUN_100023c0,11
100023d0,FUN_100023d0,11
100023e0,FUN_100023e0,804
10002710,__ioterm,155
100027b0,FUN_100027b0,29
100027d0,FUN_100027d0,35
10002800,FUN_10002800,27
10002820,FUN_10002820,94
10002880,FUN_10002880,23
100028a0,FUN_100028a0,787
10002bc0,FUN_10002bc0,27
10002be0,__calloc_dbg,96
10002c40,FUN_10002c40,27
10002c60,FUN_10002c60,64
10002ca0,FUN_10002ca0,1297
100031c0,FUN_100031c0,27
100031e0,FUN_100031e0,64
10003220,FUN_10003220,19
10003240,FUN_10003240,19
10003260,FUN_10003260,41
10003290,FUN_10003290,1004
10003680,FUN_10003680,19
100036a0,FUN_100036a0,342
10003800,FUN_10003800,28
10003820,FUN_10003820,157
100038c0,FUN_100038c0,28
100038e0,FUN_100038e0,136
10003970,FUN_10003970,863
10003ce0,FUN_10003ce0,34
10003d10,FUN_10003d10,103
10003d80,FID_conflict:AtlIsValidAddress,75
10003dd0,FUN_10003dd0,134
10003e60,FUN_10003e60,227
10003f50,FUN_10003f50,28
10003f70,FUN_10003f70,362
100040e0,FUN_100040e0,291
10004210,FUN_10004210,697
100044d0,FUN_100044d0,276
100045f0,FUN_100045f0,116
10004670,FUN_10004670,197
10004740,FUN_10004740,329
10004890,FUN_10004890,216
10004970,FUN_10004970,1060
10004da0,FUN_10004da0,537
10004fc0,FUN_10004fc0,77
10005010,FUN_10005010,156
100050b0,__FF_MSGBANNER,73
10005100,FUN_10005100,447
100052c0,__GET_RTERRMSG,80
10005310,__itoa,66
10005360,xtoa,194
10005430,__ltoa,63
10005470,__ultoa,30
10005490,__i64toa,72
100054e0,x64toa,242
100055e0,__ui64toa,31
10005600,_strlen,123
10005680,FUN_10005680,249
10005780,FUN_10005780,7
10005790,FUN_10005790,224
10005870,FUN_10005870,243
10005970,FUN_10005970,47
100059a0,FUN_100059a0,507
10005bd0,FUN_10005bd0,146
10005c70,FUN_10005c70,522
10005eb0,FUN_10005eb0,91
10005f10,FUN_10005f10,13
10005f20,FUN_10005f20,13
10005f30,FUN_10005f30,187
10005ff0,_strncpy,254
100060f0,FUN_100060f0,55
10006130,FUN_10006130,159
100061d0,FUN_100061d0,151
10006270,FUN_10006270,22
10006290,FUN_10006290,26
100062b0,__XcptFilter,446
10006470,FUN_10006470,89
100064d0,_set_new_handler,48
10006500,FUN_10006500,10
10006510,__callnewh,45
10006540,_memset,88
100065a0,FUN_100065a0,23
100065c0,__nh_malloc_base,87
10006620,FUN_10006620,109
10006690,FUN_10006690,10
100066a0,FUN_100066a0,173
10006750,FUN_10006750,490
10006940,FUN_10006940,104
100069b0,FUN_100069b0,116
10006a30,FUN_10006a30,10
10006a40,FUN_10006a40,10
