address,name,sizeBytes
10001005,thunk_FUN_100028b0,5
1000100f,OnInit,5
1000101e,thunk_FUN_10002630,5
10001023,thunk_FUN_10001af0,5
10001037,thunk_FUN_100027e0,5
10001041,thunk_FUN_10001a30,5
10001046,thunk_FUN_10002520,5
10001055,thunk_FUN_10002570,5
1000105a,ProcessScenary,5
10001064,thunk_FUN_100019e0,5
100010a5,thunk_FUN_100012c0,5
100010aa,thunk_FUN_100025d0,5
100010b4,thunk_FUN_10002770,5
100010b9,thunk_FUN_10002400,5
100010be,thunk_FUN_10002320,5
100010c3,thunk_FUN_10002830,5
100010c8,thunk_FUN_10002370,5
10001170,FUN_10001170,76
100011d0,FUN_100011d0,63
10001220,FUN_10001220,63
10001270,FUN_10001270,63
100012c0,FUN_100012c0,53
10001310,FUN_10001310,63
10001360,FUN_10001360,63
100013b0,FUN_100013b0,63
10001400,FUN_10001400,71
10001460,FUN_10001460,71
100014c0,FUN_100014c0,76
10001520,FUN_10001520,72
10001580,FUN_10001580,67
100015e0,FUN_100015e0,63
10001630,FUN_10001630,72
10001690,FUN_10001690,67
100016f0,FUN_100016f0,71
10001750,FUN_10001750,83
100017c0,FUN_100017c0,63
10001810,FUN_10001810,71
10001870,FUN_10001870,83
100018e0,FUN_100018e0,63
10001930,FUN_10001930,56
10001980,FUN_10001980,71
100019e0,FUN_100019e0,56
10001a30,FUN_10001a30,143
10001af0,FUN_10001af0,2087
10002320,FUN_10002320,76
10002370,FUN_10002370,76
10002400,FUN_10002400,69
10002450,FUN_10002450,160
10002520,FUN_10002520,62
10002570,FUN_10002570,65
100025d0,FUN_100025d0,65
10002630,FUN_10002630,63
10002680,FUN_10002680,183
10002770,FUN_10002770,80
100027e0,FUN_100027e0,76
10002830,FUN_10002830,76
100028b0,FUN_100028b0,76
10002930,__chkesp,56
10002970,FUN_10002970,250
10002a70,FUN_10002a70,313
10002bb0,entry,243
10002cb0,__amsg_exit,58
10002cf0,FUN_10002cf0,11
10002d00,FUN_10002d00,87
10002d60,__CrtSetReportFile,126
10002de0,FUN_10002de0,28
10002e00,FUN_10002e00,912
10003190,FUN_10003190,780
100034a0,FUN_100034a0,628
10003720,FUN_10003720,3108
10004450,FUN_10004450,119
100044d0,FUN_100044d0,53
10004510,FUN_10004510,74
10004560,FUN_10004560,26
10004580,FUN_10004580,31
100045a0,FUN_100045a0,27
100045c0,FUN_100045c0,56
10004600,FUN_10004600,21
10004620,__exit,21
10004640,FUN_10004640,19
10004660,FUN_10004660,19
10004680,FUN_10004680,227
10004770,FUN_10004770,15
10004780,FUN_10004780,15
10004790,__initterm,37
100047c0,FUN_100047c0,130
10004850,FUN_10004850,41
10004880,FUN_10004880,25
100048a0,FUN_100048a0,152
10004940,FUN_10004940,263
10004a50,FUN_10004a50,11
10004a60,FUN_10004a60,11
10004a70,FUN_10004a70,804
10004da0,__ioterm,155
10004e40,FUN_10004e40,29
10004e60,FUN_10004e60,35
10004e90,FUN_10004e90,27
10004eb0,FUN_10004eb0,94
10004f10,FUN_10004f10,23
10004f30,FUN_10004f30,787
10005250,FUN_10005250,27
10005270,__calloc_dbg,96
100052d0,FUN_100052d0,27
100052f0,FUN_100052f0,64
