address,name,sizeBytes
12d61005,thunk_FUN_100019b0,5
12d6100a,OnInit,5
12d61014,thunk_FUN_100010a0,5
12d61019,thunk_FUN_10001260,5
12d61023,thunk_FUN_10001100,5
12d61028,ProcessScenary,5
12d6102d,thunk_FUN_10001790,5
12d61032,thunk_FUN_100011a0,5
12d6103c,thunk_FUN_100016c0,5
12d61046,thunk_FUN_10001880,5
12d610a0,FUN_100010a0,67
12d61100,FUN_10001100,127
12d611a0,FUN_100011a0,143
12d61260,FUN_10001260,293
12d613d0,FUN_100013d0,107
12d61460,FUN_10001460,154
12d61520,FUN_10001520,198
12d61620,FUN_10001620,119
12d616c0,FUN_100016c0,160
12d61790,FUN_10001790,181
12d61880,FUN_10001880,51
12d618c0,FUN_100018c0,46
12d61900,FUN_10001900,139
12d619b0,FUN_100019b0,63
12d61a70,__chkesp,56
12d61ab0,FUN_10001ab0,313
12d61bf0,entry,243
12d61cf0,__amsg_exit,58
12d61d30,FUN_10001d30,11
12d61d40,FUN_10001d40,87
12d61da0,__CrtSetReportFile,126
12d61e20,FUN_10001e20,28
12d61e40,FUN_10001e40,912
12d621d0,FUN_100021d0,780
12d624e0,FUN_100024e0,56
12d62520,FUN_10002520,21
12d62540,__exit,21
12d62560,FUN_10002560,19
12d62580,FUN_10002580,19
12d625a0,FUN_100025a0,227
12d62690,FUN_10002690,15
12d626a0,FUN_100026a0,15
12d626b0,__initterm,37
12d626e0,FUN_100026e0,130
12d62770,FUN_10002770,41
12d627a0,FUN_100027a0,25
12d627c0,FUN_100027c0,152
12d62860,FUN_10002860,263
12d62970,FUN_10002970,11
12d62980,FUN_10002980,11
12d62990,FUN_10002990,804
12d62cc0,__ioterm,155
12d62d60,FUN_10002d60,29
12d62d80,FUN_10002d80,35
12d62db0,FUN_10002db0,27
12d62dd0,FUN_10002dd0,94
12d62e30,FUN_10002e30,23
12d62e50,FUN_10002e50,787
12d63170,FUN_10003170,27
12d63190,__calloc_dbg,96
12d631f0,FUN_100031f0,27
12d63210,FUN_10003210,64
12d63250,FUN_10003250,1297
12d63770,FUN_10003770,27
12d63790,FUN_10003790,64
12d637d0,FUN_100037d0,19
12d637f0,FUN_100037f0,19
12d63810,FUN_10003810,41
12d63840,FUN_10003840,1004
12d63c30,FUN_10003c30,19
12d63c50,FUN_10003c50,342
12d63db0,FUN_10003db0,28
12d63dd0,FUN_10003dd0,157
12d63e70,FUN_10003e70,28
12d63e90,FUN_10003e90,136
12d63f20,FUN_10003f20,863
12d64290,FUN_10004290,34
12d642c0,FUN_100042c0,103
12d64330,FID_conflict:AtlIsValidAddress,75
12d64380,FUN_10004380,134
12d64410,FUN_10004410,227
12d64500,FUN_10004500,28
12d64520,FUN_10004520,362
12d64690,FUN_10004690,291
12d647c0,FUN_100047c0,697
12d64a80,FUN_10004a80,276
12d64ba0,FUN_10004ba0,116
12d64c20,FUN_10004c20,197
12d64cf0,FUN_10004cf0,329
12d64e40,FUN_10004e40,216
12d64f20,FUN_10004f20,1060
12d65350,FUN_10005350,537
12d65570,FUN_10005570,77
12d655c0,FUN_100055c0,156
12d65660,__FF_MSGBANNER,73
12d656b0,FUN_100056b0,447
12d65870,__GET_RTERRMSG,80
12d658c0,__itoa,66
12d65910,xtoa,194
12d659e0,__ltoa,63
12d65a20,__ultoa,30
12d65a40,__i64toa,72
12d65a90,x64toa,242
12d65b90,__ui64toa,31
12d65bb0,_strlen,123
12d65c30,FUN_10005c30,249
12d65d30,FUN_10005d30,7
12d65d40,FUN_10005d40,224
12d65e20,FUN_10005e20,243
12d65f20,FUN_10005f20,47
12d65f50,FUN_10005f50,507
12d66180,FUN_10006180,146
12d66220,FUN_10006220,522
12d66460,FUN_10006460,91
12d664c0,FUN_100064c0,13
12d664d0,FUN_100064d0,13
12d664e0,FUN_100064e0,187
12d665a0,_strncpy,254
12d666a0,FUN_100066a0,55
12d666e0,FUN_100066e0,159
12d66780,FUN_10006780,151
12d66820,FUN_10006820,22
12d66840,FUN_10006840,26
12d66860,__XcptFilter,446
12d66a20,FUN_10006a20,89
12d66a80,_set_new_handler,48
12d66ab0,FUN_10006ab0,10
12d66ac0,__callnewh,45
12d66af0,_memset,88
12d66b50,FUN_10006b50,23
12d66b70,__nh_malloc_base,87
12d66bd0,FUN_10006bd0,109
12d66c40,FUN_10006c40,10
12d66c50,FUN_10006c50,173
12d66d00,FUN_10006d00,490
12d66ef0,FUN_10006ef0,104
12d66f60,FUN_10006f60,116
12d66fe0,FUN_10006fe0,10
12d66ff0,FUN_10006ff0,10
12d67000,FUN_10007000,31
12d67020,FUN_10007020,89
12d67080,FUN_10007080,85
12d670e0,FUN_100070e0,95
12d67140,FUN_10007140,1485
12d67710,FUN_10007710,1334
12d67c50,FUN_10007c50,271
12d67d60,FUN_10007d60,494
12d67f50,FUN_10007f50,1515
12d68540,FUN_10008540,304
12d68670,FUN_10008670,1565
12d68c90,FUN_10008c90,250
12d68d90,FUN_10008d90,183
12d68e50,FUN_10008e50,836
12d691a0,getSystemCP,89
12d69200,FUN_10009200,80
12d69280,setSBCS,116
12d69300,FUN_10009300,770
12d69610,FUN_10009610,23
12d69630,FUN_10009630,34
12d69660,FUN_10009660,664
12d699a0,__aulldiv,104
12d69a10,__aullrem,117
12d69a90,FUN_10009a90,628
12d69d10,FUN_10009d10,3108
12d6aa40,FUN_1000aa40,119
12d6aac0,FUN_1000aac0,53
12d6ab00,FUN_1000ab00,74
12d6ab50,FUN_1000ab50,26
12d6ab70,FUN_1000ab70,31
12d6ab90,FUN_1000ab90,27
12d6abb0,__dosmaperr,145
12d6ac50,FUN_1000ac50,13
12d6ac60,FUN_1000ac60,13
12d6ac70,FUN_1000ac70,664
12d6afb0,FUN_1000afb0,421
12d6b170,FUN_1000b170,727
12d6b480,FUN_1000b480,80
12d6b4d0,FUN_1000b4d0,130
12d6b560,FUN_1000b560,178
12d6b620,FUN_1000b620,130
12d6b6b0,FUN_1000b6b0,627
12d6b930,FUN_1000b930,199
12d6ba00,__isatty,50
12d6ba40,FUN_1000ba40,300
12d6bb70,FUN_1000bb70,26
12d6bb90,FUN_1000bb90,61
12d6bbd0,FUN_1000bbd0,41
12d6bc00,FUN_1000bc00,61
12d6bc40,FUN_1000bc40,41
12d6bc70,FUN_1000bc70,119
12d6bcf0,FUN_1000bcf0,160
12d6bd90,__global_unwind2,32
12d6bdd2,__local_unwind2,104
12d6be66,FUN_1000be66,24
12d6bf45,FUN_1000bf45,27
12d6bf60,FUN_1000bf60,482
12d6c150,__set_osfhnd,183
12d6c210,FUN_1000c210,216
12d6c2f0,FUN_1000c2f0,102
