address,name,sizeBytes
10001005,thunk_FUN_100019b0,5
1000100a,OnInit,5
10001014,thunk_FUN_100010a0,5
10001019,thunk_FUN_10001260,5
10001023,thunk_FUN_10001100,5
10001028,ProcessScenary,5
1000102d,thunk_FUN_10001790,5
10001032,thunk_FUN_100011a0,5
1000103c,thunk_FUN_100016c0,5
10001046,thunk_FUN_10001880,5
100010a0,FUN_100010a0,67
10001100,FUN_10001100,127
100011a0,FUN_100011a0,143
10001260,FUN_10001260,293
100013d0,FUN_100013d0,107
10001460,FUN_10001460,154
10001520,FUN_10001520,198
10001620,FUN_10001620,119
100016c0,FUN_100016c0,160
10001790,FUN_10001790,181
10001880,FUN_10001880,51
100018c0,FUN_100018c0,46
10001900,FUN_10001900,139
100019b0,FUN_100019b0,63
10001a70,__chkesp,56
10001ab0,FUN_10001ab0,313
10001bf0,entry,243
10001cf0,__amsg_exit,58
10001d30,FUN_10001d30,11
10001d40,FUN_10001d40,87
10001da0,__CrtSetReportFile,126
10001e20,FUN_10001e20,28
10001e40,FUN_10001e40,912
100021d0,FUN_100021d0,780
100024e0,FUN_100024e0,56
10002520,FUN_10002520,21
10002540,__exit,21
10002560,FUN_10002560,19
10002580,FUN_10002580,19
100025a0,FUN_100025a0,227
10002690,FUN_10002690,15
100026a0,FUN_100026a0,15
100026b0,__initterm,37
100026e0,FUN_100026e0,130
10002770,FUN_10002770,41
100027a0,FUN_100027a0,25
100027c0,FUN_100027c0,152
10002860,FUN_10002860,263
10002970,FUN_10002970,11
10002980,FUN_10002980,11
10002990,FUN_10002990,804
10002cc0,__ioterm,155
10002d60,FUN_10002d60,29
10002d80,FUN_10002d80,35
10002db0,FUN_10002db0,27
10002dd0,FUN_10002dd0,94
10002e30,FUN_10002e30,23
10002e50,FUN_10002e50,787
10003170,FUN_10003170,27
10003190,__calloc_dbg,96
100031f0,FUN_100031f0,27
10003210,FUN_10003210,64
10003250,FUN_10003250,1297
10003770,FUN_10003770,27
10003790,FUN_10003790,64
100037d0,FUN_100037d0,19
100037f0,FUN_100037f0,19
