address,name,sizeBytes
12901005,thunk_FUN_10001790,5
1290100a,OnInit,5
1290100f,thunk_FUN_10001130,5
12901014,thunk_FUN_10001050,5
12901019,thunk_FUN_100010b0,5
1290101e,ProcessScenary,5
12901050,FUN_10001050,67
129010b0,FUN_100010b0,92
12901130,FUN_10001130,93
129011b0,FUN_100011b0,373
12901390,FUN_10001390,816
12901790,FUN_10001790,63
12901830,__chkesp,56
12901870,FUN_10001870,313
129019b0,entry,243
12901ab0,__amsg_exit,58
12901af0,FUN_10001af0,11
12901b00,FUN_10001b00,87
12901b60,__CrtSetReportFile,126
12901be0,FUN_10001be0,28
12901c00,FUN_10001c00,912
12901f90,FUN_10001f90,780
129022a0,FUN_100022a0,56
129022e0,FUN_100022e0,21
12902300,__exit,21
12902320,FUN_10002320,19
12902340,FUN_10002340,19
12902360,FUN_10002360,227
12902450,FUN_10002450,15
12902460,FUN_10002460,15
12902470,__initterm,37
129024a0,FUN_100024a0,130
12902530,FUN_10002530,41
12902560,FUN_10002560,25
12902580,FUN_10002580,152
12902620,FUN_10002620,263
12902730,FUN_10002730,11
12902740,FUN_10002740,11
12902750,FUN_10002750,804
12902a80,__ioterm,155
12902b20,FUN_10002b20,29
12902b40,FUN_10002b40,35
12902b70,FUN_10002b70,27
12902b90,FUN_10002b90,94
12902bf0,FUN_10002bf0,23
12902c10,FUN_10002c10,787
12902f30,FUN_10002f30,27
12902f50,__calloc_dbg,96
12902fb0,FUN_10002fb0,27
12902fd0,FUN_10002fd0,64
12903010,FUN_10003010,1297
12903530,FUN_10003530,27
12903550,FUN_10003550,64
12903590,FUN_10003590,19
129035b0,FUN_100035b0,19
129035d0,FUN_100035d0,41
12903600,FUN_10003600,1004
129039f0,FUN_100039f0,19
12903a10,FUN_10003a10,342
12903b70,FUN_10003b70,28
12903b90,FUN_10003b90,157
12903c30,FUN_10003c30,28
12903c50,FUN_10003c50,136
12903ce0,FUN_10003ce0,863
12904050,FUN_10004050,34
12904080,FUN_10004080,103
129040f0,FID_conflict:AtlIsValidAddress,75
12904140,FUN_10004140,134
129041d0,FUN_100041d0,227
129042c0,FUN_100042c0,28
129042e0,FUN_100042e0,362
12904450,FUN_10004450,291
12904580,FUN_10004580,697
12904840,FUN_10004840,276
12904960,FUN_10004960,116
129049e0,FUN_100049e0,197
12904ab0,FUN_10004ab0,329
12904c00,FUN_10004c00,216
12904ce0,FUN_10004ce0,1060
12905110,FUN_10005110,537
12905330,FUN_10005330,77
12905380,FUN_10005380,156
12905420,__FF_MSGBANNER,73
12905470,FUN_10005470,447
12905630,__GET_RTERRMSG,80
12905680,__itoa,66
129056d0,xtoa,194
129057a0,__ltoa,63
129057e0,__ultoa,30
12905800,__i64toa,72
12905850,x64toa,242
12905950,__ui64toa,31
12905970,_strlen,123
129059f0,FUN_100059f0,249
12905af0,FUN_10005af0,7
12905b00,FUN_10005b00,224
12905be0,FUN_10005be0,243
12905ce0,FUN_10005ce0,47
12905d10,FUN_10005d10,507
12905f40,FUN_10005f40,146
12905fe0,FUN_10005fe0,522
12906220,FUN_10006220,91
12906280,FUN_10006280,13
12906290,FUN_10006290,13
129062a0,FUN_100062a0,187
12906360,_strncpy,254
12906460,FUN_10006460,55
129064a0,FUN_100064a0,159
12906540,FUN_10006540,151
129065e0,FUN_100065e0,22
12906600,FUN_10006600,26
12906620,__XcptFilter,446
129067e0,FUN_100067e0,89
12906840,_set_new_handler,48
12906870,FUN_10006870,10
12906880,__callnewh,45
129068b0,_memset,88
12906910,FUN_10006910,23
12906930,__nh_malloc_base,87
12906990,FUN_10006990,109
12906a00,FUN_10006a00,10
12906a10,FUN_10006a10,173
12906ac0,FUN_10006ac0,490
12906cb0,FUN_10006cb0,104
12906d20,FUN_10006d20,116
12906da0,FUN_10006da0,10
12906db0,FUN_10006db0,10
12906dc0,FUN_10006dc0,31
12906de0,FUN_10006de0,89
12906e40,FUN_10006e40,85
12906ea0,FUN_10006ea0,95
12906f00,FUN_10006f00,1485
