address,name,sizeBytes
10001005,thunk_FUN_10001790,5
1000100a,OnInit,5
1000100f,thunk_FUN_10001130,5
10001014,thunk_FUN_10001050,5
10001019,thunk_FUN_100010b0,5
1000101e,ProcessScenary,5
10001050,FUN_10001050,67
100010b0,FUN_100010b0,92
10001130,FUN_10001130,93
100011b0,FUN_100011b0,373
10001390,FUN_10001390,816
10001790,FUN_10001790,63
10001830,__chkesp,56
10001870,FUN_10001870,313
100019b0,entry,243
10001ab0,__amsg_exit,58
10001af0,FUN_10001af0,11
10001b00,FUN_10001b00,87
10001b60,__CrtSetReportFile,126
10001be0,FUN_10001be0,28
10001c00,FUN_10001c00,912
10001f90,FUN_10001f90,780
100022a0,FUN_100022a0,56
100022e0,FUN_100022e0,21
10002300,__exit,21
10002320,FUN_10002320,19
10002340,FUN_10002340,19
10002360,FUN_10002360,227
10002450,FUN_10002450,15
10002460,FUN_10002460,15
10002470,__initterm,37
100024a0,FUN_100024a0,130
10002530,FUN_10002530,41
10002560,FUN_10002560,25
10002580,FUN_10002580,152
10002620,FUN_10002620,263
10002730,FUN_10002730,11
10002740,FUN_10002740,11
10002750,FUN_10002750,804
10002a80,__ioterm,155
10002b20,FUN_10002b20,29
10002b40,FUN_10002b40,35
10002b70,FUN_10002b70,27
10002b90,FUN_10002b90,94
10002bf0,FUN_10002bf0,23
10002c10,FUN_10002c10,787
10002f30,FUN_10002f30,27
10002f50,__calloc_dbg,96
10002fb0,FUN_10002fb0,27
10002fd0,FUN_10002fd0,64
10003010,FUN_10003010,1297
10003530,FUN_10003530,27
10003550,FUN_10003550,64
10003590,FUN_10003590,19
100035b0,FUN_100035b0,19
100035d0,FUN_100035d0,41
10003600,FUN_10003600,1004
100039f0,FUN_100039f0,19
10003a10,FUN_10003a10,342
10003b70,FUN_10003b70,28
10003b90,FUN_10003b90,157
10003c30,FUN_10003c30,28
10003c50,FUN_10003c50,136
10003ce0,FUN_10003ce0,863
10004050,FUN_10004050,34
10004080,FUN_10004080,103
100040f0,FID_conflict:AtlIsValidAddress,75
10004140,FUN_10004140,134
100041d0,FUN_100041d0,227
100042c0,FUN_100042c0,28
100042e0,FUN_100042e0,362
10004450,FUN_10004450,291
10004580,FUN_10004580,697
10004840,FUN_10004840,276
10004960,FUN_10004960,116
100049e0,FUN_100049e0,197
