address,name,sizeBytes
12981005,thunk_FUN_10001510,5
1298100a,OnInit,5
1298100f,thunk_FUN_10001130,5
12981014,thunk_FUN_10001050,5
12981019,thunk_FUN_100010b0,5
1298101e,ProcessScenary,5
12981050,FUN_10001050,67
129810b0,FUN_100010b0,92
12981130,FUN_10001130,93
129811b0,FUN_100011b0,233
129812e0,FUN_100012e0,440
12981510,FUN_10001510,63
129815a0,__chkesp,56
129815e0,FUN_100015e0,313
12981720,entry,243
12981820,__amsg_exit,58
12981860,FUN_10001860,11
12981870,FUN_10001870,87
129818d0,__CrtSetReportFile,126
12981950,FUN_10001950,28
12981970,FUN_10001970,912
12981d00,FUN_10001d00,780
12982010,FUN_10002010,56
12982050,FUN_10002050,21
12982070,__exit,21
12982090,FUN_10002090,19
129820b0,FUN_100020b0,19
129820d0,FUN_100020d0,227
129821c0,FUN_100021c0,15
129821d0,FUN_100021d0,15
129821e0,__initterm,37
12982210,FUN_10002210,130
129822a0,FUN_100022a0,41
129822d0,FUN_100022d0,25
129822f0,FUN_100022f0,152
12982390,FUN_10002390,263
129824a0,FUN_100024a0,11
129824b0,FUN_100024b0,11
129824c0,FUN_100024c0,804
129827f0,__ioterm,155
12982890,FUN_10002890,29
129828b0,FUN_100028b0,35
129828e0,FUN_100028e0,27
12982900,FUN_10002900,94
12982960,FUN_10002960,23
12982980,FUN_10002980,787
12982ca0,FUN_10002ca0,27
12982cc0,__calloc_dbg,96
12982d20,FUN_10002d20,27
12982d40,FUN_10002d40,64
12982d80,FUN_10002d80,1297
129832a0,FUN_100032a0,27
129832c0,FUN_100032c0,64
12983300,FUN_10003300,19
12983320,FUN_10003320,19
12983340,FUN_10003340,41
12983370,FUN_10003370,1004
12983760,FUN_10003760,19
12983780,FUN_10003780,342
129838e0,FUN_100038e0,28
12983900,FUN_10003900,157
129839a0,FUN_100039a0,28
129839c0,FUN_100039c0,136
12983a50,FUN_10003a50,863
12983dc0,FUN_10003dc0,34
12983df0,FUN_10003df0,103
12983e60,FID_conflict:AtlIsValidAddress,75
12983eb0,FUN_10003eb0,134
12983f40,FUN_10003f40,227
12984030,FUN_10004030,28
12984050,FUN_10004050,362
129841c0,FUN_100041c0,291
129842f0,FUN_100042f0,697
129845b0,FUN_100045b0,276
129846d0,FUN_100046d0,116
12984750,FUN_10004750,197
12984820,FUN_10004820,329
12984970,FUN_10004970,216
12984a50,FUN_10004a50,1060
12984e80,FUN_10004e80,537
129850a0,FUN_100050a0,77
129850f0,FUN_100050f0,156
12985190,__FF_MSGBANNER,73
129851e0,FUN_100051e0,447
129853a0,__GET_RTERRMSG,80
129853f0,__itoa,66
12985440,xtoa,194
12985510,__ltoa,63
12985550,__ultoa,30
12985570,__i64toa,72
129855c0,x64toa,242
129856c0,__ui64toa,31
129856e0,_strlen,123
12985760,FUN_10005760,249
12985860,FUN_10005860,7
12985870,FUN_10005870,224
12985950,FUN_10005950,243
12985a50,FUN_10005a50,47
12985a80,FUN_10005a80,507
12985cb0,FUN_10005cb0,146
12985d50,FUN_10005d50,522
12985f90,FUN_10005f90,91
12985ff0,FUN_10005ff0,13
12986000,FUN_10006000,13
12986010,FUN_10006010,187
129860d0,_strncpy,254
129861d0,FUN_100061d0,55
12986210,FUN_10006210,159
129862b0,FUN_100062b0,151
12986350,FUN_10006350,22
