address,name,sizeBytes
10001005,thunk_FUN_10001510,5
1000100a,OnInit,5
1000100f,thunk_FUN_10001130,5
10001014,thunk_FUN_10001050,5
10001019,thunk_FUN_100010b0,5
1000101e,ProcessScenary,5
10001050,FUN_10001050,67
100010b0,FUN_100010b0,92
10001130,FUN_10001130,93
100011b0,FUN_100011b0,233
100012e0,FUN_100012e0,440
10001510,FUN_10001510,63
100015a0,__chkesp,56
100015e0,FUN_100015e0,313
10001720,entry,243
10001820,__amsg_exit,58
10001860,FUN_10001860,11
10001870,FUN_10001870,87
100018d0,__CrtSetReportFile,126
10001950,FUN_10001950,28
10001970,FUN_10001970,912
10001d00,FUN_10001d00,780
10002010,FUN_10002010,56
10002050,FUN_10002050,21
10002070,__exit,21
10002090,FUN_10002090,19
100020b0,FUN_100020b0,19
100020d0,FUN_100020d0,227
100021c0,FUN_100021c0,15
100021d0,FUN_100021d0,15
100021e0,__initterm,37
10002210,FUN_10002210,130
100022a0,FUN_100022a0,41
100022d0,FUN_100022d0,25
100022f0,FUN_100022f0,152
10002390,FUN_10002390,263
100024a0,FUN_100024a0,11
100024b0,FUN_100024b0,11
100024c0,FUN_100024c0,804
100027f0,__ioterm,155
10002890,FUN_10002890,29
100028b0,FUN_100028b0,35
100028e0,FUN_100028e0,27
10002900,FUN_10002900,94
10002960,FUN_10002960,23
10002980,FUN_10002980,787
10002ca0,FUN_10002ca0,27
10002cc0,__calloc_dbg,96
10002d20,FUN_10002d20,27
10002d40,FUN_10002d40,64
10002d80,FUN_10002d80,1297
100032a0,FUN_100032a0,27
100032c0,FUN_100032c0,64
10003300,FUN_10003300,19
10003320,FUN_10003320,19
10003340,FUN_10003340,41
10003370,FUN_10003370,1004
10003760,FUN_10003760,19
10003780,FUN_10003780,342
100038e0,FUN_100038e0,28
10003900,FUN_10003900,157
100039a0,FUN_100039a0,28
100039c0,FUN_100039c0,136
10003a50,FUN_10003a50,863
10003dc0,FUN_10003dc0,34
10003df0,FUN_10003df0,103
10003e60,FID_conflict:AtlIsValidAddress,75
10003eb0,FUN_10003eb0,134
10003f40,FUN_10003f40,227
10004030,FUN_10004030,28
10004050,FUN_10004050,362
100041c0,FUN_100041c0,291
100042f0,FUN_100042f0,697
100045b0,FUN_100045b0,276
100046d0,FUN_100046d0,116
10004750,FUN_10004750,197
10004820,FUN_10004820,329
10004970,FUN_10004970,216
10004a50,FUN_10004a50,1060
10004e80,FUN_10004e80,537
100050a0,FUN_100050a0,77
100050f0,FUN_100050f0,156
10005190,__FF_MSGBANNER,73
100051e0,FUN_100051e0,447
100053a0,__GET_RTERRMSG,80
100053f0,__itoa,66
10005440,xtoa,194
10005510,__ltoa,63
10005550,__ultoa,30
10005570,__i64toa,72
100055c0,x64toa,242
100056c0,__ui64toa,31
100056e0,_strlen,123
10005760,FUN_10005760,249
10005860,FUN_10005860,7
10005870,FUN_10005870,224
10005950,FUN_10005950,243
10005a50,FUN_10005a50,47
10005a80,FUN_10005a80,507
10005cb0,FUN_10005cb0,146
10005d50,FUN_10005d50,522
10005f90,FUN_10005f90,91
10005ff0,FUN_10005ff0,13
10006000,FUN_10006000,13
10006010,FUN_10006010,187
100060d0,_strncpy,254
100061d0,FUN_100061d0,55
10006210,FUN_10006210,159
100062b0,FUN_100062b0,151
10006350,FUN_10006350,22
10006370,FUN_10006370,26
10006390,__XcptFilter,446
10006550,FUN_10006550,89
100065b0,_set_new_handler,48
100065e0,FUN_100065e0,10
100065f0,__callnewh,45
10006620,_memset,88
10006680,FUN_10006680,23
100066a0,__nh_malloc_base,87
10006700,FUN_10006700,109
10006770,FUN_10006770,10
10006780,FUN_10006780,173
10006830,FUN_10006830,490
10006a20,FUN_10006a20,104
10006a90,FUN_10006a90,116
10006b10,FUN_10006b10,10
10006b20,FUN_10006b20,10
10006b30,FUN_10006b30,31
10006b50,FUN_10006b50,89
10006bb0,FUN_10006bb0,85
10006c10,FUN_10006c10,95
10006c70,FUN_10006c70,1485
10007240,FUN_10007240,1334
10007780,FUN_10007780,271
10007890,FUN_10007890,494
10007a80,FUN_10007a80,1515
10008070,FUN_10008070,304
100081a0,FUN_100081a0,1565
100087c0,FUN_100087c0,250
100088c0,FUN_100088c0,183
10008980,FUN_10008980,836
10008cd0,getSystemCP,89
10008d30,FUN_10008d30,80
10008db0,setSBCS,116
10008e30,FUN_10008e30,770
10009140,FUN_10009140,23
10009160,FUN_10009160,34
10009190,FUN_10009190,664
100094d0,__aulldiv,104
10009540,__aullrem,117
100095c0,FUN_100095c0,628
10009840,FUN_10009840,3108
1000a570,FUN_1000a570,119
1000a5f0,FUN_1000a5f0,53
1000a630,FUN_1000a630,74
1000a680,FUN_1000a680,26
1000a6a0,FUN_1000a6a0,31
1000a6c0,FUN_1000a6c0,27
1000a6e0,__dosmaperr,145
1000a780,FUN_1000a780,13
1000a790,FUN_1000a790,13
1000a7a0,FUN_1000a7a0,664
1000aae0,FUN_1000aae0,421
1000aca0,FUN_1000aca0,727
1000afb0,FUN_1000afb0,80
1000b000,FUN_1000b000,130
1000b090,FUN_1000b090,178
1000b150,FUN_1000b150,130
1000b1e0,FUN_1000b1e0,627
1000b460,FUN_1000b460,199
1000b530,__isatty,50
1000b570,FUN_1000b570,300
1000b6a0,FUN_1000b6a0,26
1000b6c0,FUN_1000b6c0,61
1000b700,FUN_1000b700,41
1000b730,FUN_1000b730,61
1000b770,FUN_1000b770,41
1000b7a0,FUN_1000b7a0,119
1000b820,FUN_1000b820,160
1000b8c0,__global_unwind2,32
1000b902,__local_unwind2,104
1000b996,FUN_1000b996,24
1000ba75,FUN_1000ba75,27
1000ba90,FUN_1000ba90,482
1000bc80,__set_osfhnd,183
1000bd40,FUN_1000bd40,216
1000be20,FUN_1000be20,102
1000be90,FUN_1000be90,260
1000bfa0,FUN_1000bfa0,134
1000c030,__unlock_fhandle,38
1000c060,FUN_1000c060,218
1000c140,FUN_1000c140,68
1000c190,FUN_1000c190,65
1000c1e0,FUN_1000c1e0,183
1000c2a0,FUN_1000c2a0,15
1000c2b0,FUN_1000c2b0,319
1000c3f0,__fptrap,15
1000c400,FUN_1000c400,1007
1000c7f0,FUN_1000c7f0,403
1000c990,FUN_1000c990,256
1000ca90,FUN_1000ca90,388
1000cc20,FUN_1000cc20,7
1000cc30,__strcats,79
1000cc80,FUN_1000cc80,349
1000cde0,___lc_lctostr,101
1000ce50,FUN_1000ce50,130
1000cee0,FUN_1000cee0,190
1000cfa0,FUN_1000cfa0,210
1000d080,___init_time,219
1000d160,FUN_1000d160,1423
1000d6f0,___free_lc_time,779
1000da00,FUN_1000da00,678
1000dcb0,fix_grouping,125
1000dd30,FUN_1000dd30,304
1000de60,FUN_1000de60,525
1000e070,fix_grouping,125
1000e0f0,FUN_1000e0f0,147
1000e190,FUN_1000e190,928
1000e530,FUN_1000e530,7
1000e540,_strcmp,129
1000e5d0,FUN_1000e5d0,62
1000e610,_strncmp,56
1000e650,FUN_1000e650,58
1000e690,FUN_1000e690,512
1000e890,FUN_1000e890,130
1000e920,FUN_1000e920,186
1000e9e0,FUN_1000e9e0,804
1000ed10,FUN_1000ed10,116
1000ed90,FUN_1000ed90,287
1000eeb0,FUN_1000eeb0,69
1000ef00,FUN_1000ef00,172
1000efb0,FUN_1000efb0,43
1000efe0,FUN_1000efe0,155
1000f080,FUN_1000f080,79
1000f0d0,FUN_1000f0d0,135
1000f160,FUN_1000f160,77
1000f1b0,crtGetLocaleInfoA,388
1000f340,FUN_1000f340,118
1000f3c0,_GetPrimaryLen,101
1000f430,FUN_1000f430,122
1000f4b0,__close_lk,170
1000f560,FUN_1000f560,146
1000f600,FUN_1000f600,289
1000f730,FUN_1000f730,291
1000f860,FUN_1000f860,878
1000fbd0,FUN_1000fbd0,31
1000fbf0,FUN_1000fbf0,393
1000fd80,FUN_1000fd80,1389
100103a0,FID_conflict:_store_str,72
100103f0,FUN_100103f0,173
100104a0,FID_conflict:_store_number,172
10010550,FUN_10010550,1152
10010a70,FUN_10010a70,650
10010d00,FUN_10010d00,10
10010d10,FUN_10010d10,575
10010f80,FUN_10010f80,208
10011050,FUN_10011050,257
10011160,FUN_10011160,255
10011260,FUN_10011260,17
10011280,FUN_10011280,297
100113b0,FUN_100113b0,61
100113f0,FUN_100113f0,30
10011410,FUN_10011410,939
100117c0,FUN_100117c0,46
100117f0,FUN_100117f0,762
10011af0,FUN_10011af0,504
10011cf0,FUN_10011cf0,382
10011e90,FUN_10011e90,398
10012040,FUN_10012040,11
10012050,FUN_10012050,147
100120f0,FUN_100120f0,299
10012220,__allmul,52
10012260,FUN_10012260,46
10012290,FID_conflict:__getenv_lk,198
10012360,__mbsnbicoll,79
100123b0,FUN_100123b0,174
10012460,FUN_10012460,970
10012860,FUN_10012860,80
100128b0,FUN_100128b0,736
10012b90,findenv,124
10012c10,copy_environ,238
10012d00,FUN_10012d00,237
10012e00,_strchr,193
1001300c,RtlUnwind,6
