address,name,sizeBytes
129c1005,thunk_FUN_10001a00,5
129c100a,OnInit,5
129c100f,thunk_FUN_10001140,5
129c1014,thunk_FUN_10001a50,5
129c1019,thunk_FUN_10001060,5
129c101e,thunk_FUN_100011c0,5
129c1023,thunk_FUN_100010c0,5
129c1028,ProcessScenary,5
129c102d,thunk_FUN_10001230,5
129c1060,FUN_10001060,67
129c10c0,FUN_100010c0,92
129c1140,FUN_10001140,93
129c11c0,FUN_100011c0,90
129c1230,FUN_10001230,90
129c12a0,FUN_100012a0,404
129c14a0,FUN_100014a0,1093
129c1a00,FUN_10001a00,63
129c1a50,FUN_10001a50,67
129c1b10,__chkesp,56
129c1b50,FUN_10001b50,313
129c1c90,entry,243
129c1d90,__amsg_exit,58
129c1dd0,FUN_10001dd0,11
129c1de0,FUN_10001de0,87
129c1e40,__CrtSetReportFile,126
129c1ec0,FUN_10001ec0,28
129c1ee0,FUN_10001ee0,912
129c2270,FUN_10002270,780
129c2580,FUN_10002580,56
129c25c0,FUN_100025c0,21
129c25e0,__exit,21
129c2600,FUN_10002600,19
129c2620,FUN_10002620,19
129c2640,FUN_10002640,227
129c2730,FUN_10002730,15
129c2740,FUN_10002740,15
129c2750,__initterm,37
129c2780,FUN_10002780,130
129c2810,FUN_10002810,41
129c2840,FUN_10002840,25
129c2860,FUN_10002860,152
129c2900,FUN_10002900,263
129c2a10,FUN_10002a10,11
129c2a20,FUN_10002a20,11
129c2a30,FUN_10002a30,804
129c2d60,__ioterm,155
129c2e00,FUN_10002e00,29
129c2e20,FUN_10002e20,35
129c2e50,FUN_10002e50,27
129c2e70,FUN_10002e70,94
129c2ed0,FUN_10002ed0,23
129c2ef0,FUN_10002ef0,787
129c3210,FUN_10003210,27
129c3230,__calloc_dbg,96
129c3290,FUN_10003290,27
129c32b0,FUN_100032b0,64
129c32f0,FUN_100032f0,1297
129c3810,FUN_10003810,27
129c3830,FUN_10003830,64
129c3870,FUN_10003870,19
129c3890,FUN_10003890,19
129c38b0,FUN_100038b0,41
129c38e0,FUN_100038e0,1004
129c3cd0,FUN_10003cd0,19
129c3cf0,FUN_10003cf0,342
129c3e50,FUN_10003e50,28
129c3e70,FUN_10003e70,157
129c3f10,FUN_10003f10,28
129c3f30,FUN_10003f30,136
129c3fc0,FUN_10003fc0,863
129c4330,FUN_10004330,34
129c4360,FUN_10004360,103
129c43d0,FID_conflict:AtlIsValidAddress,75
129c4420,FUN_10004420,134
129c44b0,FUN_100044b0,227
129c45a0,FUN_100045a0,28
129c45c0,FUN_100045c0,362
129c4730,FUN_10004730,291
129c4860,FUN_10004860,697
129c4b20,FUN_10004b20,276
129c4c40,FUN_10004c40,116
129c4cc0,FUN_10004cc0,197
129c4d90,FUN_10004d90,329
129c4ee0,FUN_10004ee0,216
129c4fc0,FUN_10004fc0,1060
129c53f0,FUN_100053f0,537
129c5610,FUN_10005610,77
129c5660,FUN_10005660,156
129c5700,__FF_MSGBANNER,73
129c5750,FUN_10005750,447
129c5910,__GET_RTERRMSG,80
129c5960,__itoa,66
129c59b0,xtoa,194
129c5a80,__ltoa,63
129c5ac0,__ultoa,30
129c5ae0,__i64toa,72
129c5b30,x64toa,242
129c5c30,__ui64toa,31
129c5c50,_strlen,123
129c5cd0,FUN_10005cd0,249
129c5dd0,FUN_10005dd0,7
129c5de0,FUN_10005de0,224
129c5ec0,FUN_10005ec0,243
129c5fc0,FUN_10005fc0,47
129c5ff0,FUN_10005ff0,507
129c6220,FUN_10006220,146
129c62c0,FUN_100062c0,522
129c6500,FUN_10006500,91
129c6560,FUN_10006560,13
129c6570,FUN_10006570,13
129c6580,FUN_10006580,187
129c6640,_strncpy,254
129c6740,FUN_10006740,55
129c6780,FUN_10006780,159
129c6820,FUN_10006820,151
129c68c0,FUN_100068c0,22
129c68e0,FUN_100068e0,26
129c6900,__XcptFilter,446
129c6ac0,FUN_10006ac0,89
129c6b20,_set_new_handler,48
129c6b50,FUN_10006b50,10
129c6b60,__callnewh,45
129c6b90,_memset,88
129c6bf0,FUN_10006bf0,23
129c6c10,__nh_malloc_base,87
129c6c70,FUN_10006c70,109
129c6ce0,FUN_10006ce0,10
129c6cf0,FUN_10006cf0,173
129c6da0,FUN_10006da0,490
129c6f90,FUN_10006f90,104
129c7000,FUN_10007000,116
129c7080,FUN_10007080,10
129c7090,FUN_10007090,10
129c70a0,FUN_100070a0,31
129c70c0,FUN_100070c0,89
129c7120,FUN_10007120,85
129c7180,FUN_10007180,95
129c71e0,FUN_100071e0,1485
129c77b0,FUN_100077b0,1334
129c7cf0,FUN_10007cf0,271
129c7e00,FUN_10007e00,494
129c7ff0,FUN_10007ff0,1515
129c85e0,FUN_100085e0,304
129c8710,FUN_10008710,1565
129c8d30,FUN_10008d30,250
129c8e30,FUN_10008e30,183
129c8ef0,FUN_10008ef0,836
129c9240,getSystemCP,89
129c92a0,FUN_100092a0,80
129c9320,setSBCS,116
129c93a0,FUN_100093a0,770
129c96b0,FUN_100096b0,23
129c96d0,FUN_100096d0,34
129c9700,FUN_10009700,664
129c9a40,__aulldiv,104
129c9ab0,__aullrem,117
129c9b30,FUN_10009b30,628
129c9db0,FUN_10009db0,3108
129caae0,FUN_1000aae0,119
129cab60,FUN_1000ab60,53
129caba0,FUN_1000aba0,74
129cabf0,FUN_1000abf0,26
129cac10,FUN_1000ac10,31
129cac30,FUN_1000ac30,27
129cac50,__dosmaperr,145
129cacf0,FUN_1000acf0,13
129cad00,FUN_1000ad00,13
129cad10,FUN_1000ad10,664
129cb050,FUN_1000b050,421
129cb210,FUN_1000b210,727
129cb520,FUN_1000b520,80
129cb570,FUN_1000b570,130
129cb600,FUN_1000b600,178
