address,name,sizeBytes
12a01005,thunk_FUN_10001580,5
12a0100a,OnInit,5
12a0100f,thunk_FUN_10001130,5
12a01014,thunk_FUN_10001050,5
12a01019,thunk_FUN_100010b0,5
12a0101e,ProcessScenary,5
12a01050,FUN_10001050,67
12a010b0,FUN_100010b0,92
12a01130,FUN_10001130,93
12a011b0,FUN_100011b0,233
12a012e0,FUN_100012e0,527
12a01580,FUN_10001580,63
12a01610,__chkesp,56
12a01650,FUN_10001650,313
12a01790,entry,243
12a01890,__amsg_exit,58
12a018d0,FUN_100018d0,11
12a018e0,FUN_100018e0,87
12a01940,__CrtSetReportFile,126
12a019c0,FUN_100019c0,28
12a019e0,FUN_100019e0,912
12a01d70,FUN_10001d70,780
12a02080,FUN_10002080,56
12a020c0,FUN_100020c0,21
12a020e0,__exit,21
12a02100,FUN_10002100,19
12a02120,FUN_10002120,19
12a02140,FUN_10002140,227
12a02230,FUN_10002230,15
12a02240,FUN_10002240,15
12a02250,__initterm,37
12a02280,FUN_10002280,130
12a02310,FUN_10002310,41
12a02340,FUN_10002340,25
12a02360,FUN_10002360,152
12a02400,FUN_10002400,263
12a02510,FUN_10002510,11
12a02520,FUN_10002520,11
12a02530,FUN_10002530,804
12a02860,__ioterm,155
12a02900,FUN_10002900,29
12a02920,FUN_10002920,35
12a02950,FUN_10002950,27
12a02970,FUN_10002970,94
12a029d0,FUN_100029d0,23
12a029f0,FUN_100029f0,787
12a02d10,FUN_10002d10,27
12a02d30,__calloc_dbg,96
12a02d90,FUN_10002d90,27
12a02db0,FUN_10002db0,64
12a02df0,FUN_10002df0,1297
12a03310,FUN_10003310,27
12a03330,FUN_10003330,64
12a03370,FUN_10003370,19
12a03390,FUN_10003390,19
12a033b0,FUN_100033b0,41
12a033e0,FUN_100033e0,1004
12a037d0,FUN_100037d0,19
12a037f0,FUN_100037f0,342
12a03950,FUN_10003950,28
12a03970,FUN_10003970,157
12a03a10,FUN_10003a10,28
12a03a30,FUN_10003a30,136
12a03ac0,FUN_10003ac0,863
12a03e30,FUN_10003e30,34
12a03e60,FUN_10003e60,103
12a03ed0,FID_conflict:AtlIsValidAddress,75
12a03f20,FUN_10003f20,134
12a03fb0,FUN_10003fb0,227
12a040a0,FUN_100040a0,28
12a040c0,FUN_100040c0,362
12a04230,FUN_10004230,291
12a04360,FUN_10004360,697
12a04620,FUN_10004620,276
12a04740,FUN_10004740,116
12a047c0,FUN_100047c0,197
12a04890,FUN_10004890,329
12a049e0,FUN_100049e0,216
12a04ac0,FUN_10004ac0,1060
12a04ef0,FUN_10004ef0,537
12a05110,FUN_10005110,77
12a05160,FUN_10005160,156
12a05200,__FF_MSGBANNER,73
12a05250,FUN_10005250,447
12a05410,__GET_RTERRMSG,80
12a05460,__itoa,66
12a054b0,xtoa,194
12a05580,__ltoa,63
12a055c0,__ultoa,30
12a055e0,__i64toa,72
12a05630,x64toa,242
12a05730,__ui64toa,31
12a05750,_strlen,123
12a057d0,FUN_100057d0,249
12a058d0,FUN_100058d0,7
12a058e0,FUN_100058e0,224
12a059c0,FUN_100059c0,243
12a05ac0,FUN_10005ac0,47
12a05af0,FUN_10005af0,507
12a05d20,FUN_10005d20,146
12a05dc0,FUN_10005dc0,522
12a06000,FUN_10006000,91
12a06060,FUN_10006060,13
12a06070,FUN_10006070,13
12a06080,FUN_10006080,187
12a06140,_strncpy,254
12a06240,FUN_10006240,55
12a06280,FUN_10006280,159
12a06320,FUN_10006320,151
12a063c0,FUN_100063c0,22
12a063e0,FUN_100063e0,26
12a06400,__XcptFilter,446
12a065c0,FUN_100065c0,89
12a06620,_set_new_handler,48
12a06650,FUN_10006650,10
12a06660,__callnewh,45
12a06690,_memset,88
12a066f0,FUN_100066f0,23
12a06710,__nh_malloc_base,87
12a06770,FUN_10006770,109
12a067e0,FUN_100067e0,10
12a067f0,FUN_100067f0,173
12a068a0,FUN_100068a0,490
12a06a90,FUN_10006a90,104
12a06b00,FUN_10006b00,116
12a06b80,FUN_10006b80,10
12a06b90,FUN_10006b90,10
12a06ba0,FUN_10006ba0,31
12a06bc0,FUN_10006bc0,89
12a06c20,FUN_10006c20,85
12a06c80,FUN_10006c80,95
12a06ce0,FUN_10006ce0,1485
12a072b0,FUN_100072b0,1334
12a077f0,FUN_100077f0,271
12a07900,FUN_10007900,494
12a07af0,FUN_10007af0,1515
12a080e0,FUN_100080e0,304
