address,name,sizeBytes
10001005,thunk_FUN_10001580,5
1000100a,OnInit,5
1000100f,thunk_FUN_10001130,5
10001014,thunk_FUN_10001050,5
10001019,thunk_FUN_100010b0,5
1000101e,ProcessScenary,5
10001050,FUN_10001050,67
100010b0,FUN_100010b0,92
10001130,FUN_10001130,93
100011b0,FUN_100011b0,233
100012e0,FUN_100012e0,527
10001580,FUN_10001580,63
10001610,__chkesp,56
10001650,FUN_10001650,313
10001790,entry,243
10001890,__amsg_exit,58
100018d0,FUN_100018d0,11
100018e0,FUN_100018e0,87
10001940,__CrtSetReportFile,126
100019c0,FUN_100019c0,28
100019e0,FUN_100019e0,912
10001d70,FUN_10001d70,780
10002080,FUN_10002080,56
100020c0,FUN_100020c0,21
100020e0,__exit,21
10002100,FUN_10002100,19
10002120,FUN_10002120,19
10002140,FUN_10002140,227
10002230,FUN_10002230,15
10002240,FUN_10002240,15
10002250,__initterm,37
10002280,FUN_10002280,130
10002310,FUN_10002310,41
10002340,FUN_10002340,25
10002360,FUN_10002360,152
10002400,FUN_10002400,263
10002510,FUN_10002510,11
10002520,FUN_10002520,11
10002530,FUN_10002530,804
10002860,__ioterm,155
10002900,FUN_10002900,29
10002920,FUN_10002920,35
10002950,FUN_10002950,27
10002970,FUN_10002970,94
100029d0,FUN_100029d0,23
100029f0,FUN_100029f0,787
10002d10,FUN_10002d10,27
10002d30,__calloc_dbg,96
10002d90,FUN_10002d90,27
10002db0,FUN_10002db0,64
10002df0,FUN_10002df0,1297
10003310,FUN_10003310,27
10003330,FUN_10003330,64
10003370,FUN_10003370,19
10003390,FUN_10003390,19
100033b0,FUN_100033b0,41
100033e0,FUN_100033e0,1004
100037d0,FUN_100037d0,19
100037f0,FUN_100037f0,342
10003950,FUN_10003950,28
10003970,FUN_10003970,157
10003a10,FUN_10003a10,28
10003a30,FUN_10003a30,136
10003ac0,FUN_10003ac0,863
10003e30,FUN_10003e30,34
10003e60,FUN_10003e60,103
10003ed0,FID_conflict:AtlIsValidAddress,75
10003f20,FUN_10003f20,134
10003fb0,FUN_10003fb0,227
100040a0,FUN_100040a0,28
100040c0,FUN_100040c0,362
10004230,FUN_10004230,291
10004360,FUN_10004360,697
10004620,FUN_10004620,276
10004740,FUN_10004740,116
100047c0,FUN_100047c0,197
10004890,FUN_10004890,329
100049e0,FUN_100049e0,216
10004ac0,FUN_10004ac0,1060
10004ef0,FUN_10004ef0,537
10005110,FUN_10005110,77
10005160,FUN_10005160,156
10005200,__FF_MSGBANNER,73
10005250,FUN_10005250,447
10005410,__GET_RTERRMSG,80
10005460,__itoa,66
100054b0,xtoa,194
10005580,__ltoa,63
100055c0,__ultoa,30
