address,name,sizeBytes
12d91005,thunk_FUN_10001890,5
12d9100a,OnInit,5
12d91014,thunk_FUN_100010a0,5
12d91019,thunk_FUN_100011b8,5
12d91023,thunk_FUN_100010d3,5
12d91028,ProcessScenary,5
12d9102d,thunk_FUN_10001588,5
12d91032,thunk_FUN_10001144,5
12d9103c,thunk_FUN_100014ed,5
12d91046,thunk_FUN_10001622,5
12d910a0,FUN_100010a0,51
12d910d3,FUN_100010d3,113
12d91144,FUN_10001144,116
12d911b8,FUN_100011b8,291
12d912db,FUN_100012db,80
12d9132b,FUN_1000132b,152
12d913c3,FUN_100013c3,184
12d9147b,FUN_1000147b,114
12d914ed,FUN_100014ed,155
12d91588,FUN_10001588,154
12d91622,FUN_10001622,22
12d91638,FUN_10001638,75
12d91683,FUN_10001683,110
12d91890,FUN_10001890,36
12d91930,__chkesp,56
12d91970,FUN_10001970,313
12d91ab0,entry,243
12d91bb0,__amsg_exit,58
12d91bf0,FUN_10001bf0,11
12d91c00,FUN_10001c00,87
12d91c60,__CrtSetReportFile,126
12d91ce0,FUN_10001ce0,28
12d91d00,FUN_10001d00,912
12d92090,FUN_10002090,780
12d923a0,FUN_100023a0,56
12d923e0,FUN_100023e0,21
12d92400,__exit,21
12d92420,FUN_10002420,19
12d92440,FUN_10002440,19
12d92460,FUN_10002460,227
12d92550,FUN_10002550,15
12d92560,FUN_10002560,15
12d92570,__initterm,37
12d925a0,FUN_100025a0,130
12d92630,FUN_10002630,41
12d92660,FUN_10002660,25
12d92680,FUN_10002680,152
12d92720,FUN_10002720,263
12d92830,FUN_10002830,11
12d92840,FUN_10002840,11
12d92850,FUN_10002850,804
12d92b80,__ioterm,155
12d92c20,FUN_10002c20,29
12d92c40,FUN_10002c40,35
12d92c70,FUN_10002c70,27
12d92c90,FUN_10002c90,94
12d92cf0,FUN_10002cf0,23
12d92d10,FUN_10002d10,787
12d93030,FUN_10003030,27
12d93050,__calloc_dbg,96
12d930b0,FUN_100030b0,27
12d930d0,FUN_100030d0,64
12d93110,FUN_10003110,1297
12d93630,FUN_10003630,27
12d93650,FUN_10003650,64
12d93690,FUN_10003690,19
12d936b0,FUN_100036b0,19
12d936d0,FUN_100036d0,41
12d93700,FUN_10003700,1004
12d93af0,FUN_10003af0,19
12d93b10,FUN_10003b10,342
12d93c70,FUN_10003c70,28
12d93c90,FUN_10003c90,157
12d93d30,FUN_10003d30,28
12d93d50,FUN_10003d50,136
12d93de0,FUN_10003de0,863
12d94150,FUN_10004150,34
12d94180,FUN_10004180,103
12d941f0,FID_conflict:AtlIsValidAddress,75
12d94240,FUN_10004240,134
12d942d0,FUN_100042d0,227
12d943c0,FUN_100043c0,28
12d943e0,FUN_100043e0,362
12d94550,FUN_10004550,291
12d94680,FUN_10004680,697
12d94940,FUN_10004940,276
12d94a60,FUN_10004a60,116
12d94ae0,FUN_10004ae0,197
12d94bb0,FUN_10004bb0,329
12d94d00,FUN_10004d00,216
12d94de0,FUN_10004de0,1060
12d95210,FUN_10005210,537
12d95430,FUN_10005430,77
12d95480,FUN_10005480,156
12d95520,__FF_MSGBANNER,73
12d95570,FUN_10005570,447
12d95730,__GET_RTERRMSG,80
12d95780,__itoa,66
12d957d0,xtoa,194
12d958a0,__ltoa,63
12d958e0,__ultoa,30
12d95900,__i64toa,72
12d95950,x64toa,242
12d95a50,__ui64toa,31
12d95a70,_strlen,123
12d95af0,FUN_10005af0,249
12d95bf0,FUN_10005bf0,7
12d95c00,FUN_10005c00,224
12d95ce0,FUN_10005ce0,243
12d95de0,FUN_10005de0,47
12d95e10,FUN_10005e10,507
12d96040,FUN_10006040,146
12d960e0,FUN_100060e0,522
12d96320,FUN_10006320,91
12d96380,FUN_10006380,13
12d96390,FUN_10006390,13
12d963a0,FUN_100063a0,187
12d96460,_strncpy,254
12d96560,FUN_10006560,55
12d965a0,FUN_100065a0,159
12d96640,FUN_10006640,151
12d966e0,FUN_100066e0,22
12d96700,FUN_10006700,26
12d96720,__XcptFilter,446
12d968e0,FUN_100068e0,89
12d96940,_set_new_handler,48
12d96970,FUN_10006970,10
12d96980,__callnewh,45
12d969b0,_memset,88
12d96a10,FUN_10006a10,23
12d96a30,__nh_malloc_base,87
12d96a90,FUN_10006a90,109
12d96b00,FUN_10006b00,10
12d96b10,FUN_10006b10,173
12d96bc0,FUN_10006bc0,490
12d96db0,FUN_10006db0,104
12d96e20,FUN_10006e20,116
12d96ea0,FUN_10006ea0,10
12d96eb0,FUN_10006eb0,10
12d96ec0,FUN_10006ec0,31
12d96ee0,FUN_10006ee0,89
12d96f40,FUN_10006f40,85
12d96fa0,FUN_10006fa0,95
12d97000,FUN_10007000,1485
12d975d0,FUN_100075d0,1334
12d97b10,FUN_10007b10,271
12d97c20,FUN_10007c20,494
12d97e10,FUN_10007e10,1515
12d98400,FUN_10008400,304
12d98530,FUN_10008530,1565
12d98b50,FUN_10008b50,250
12d98c50,FUN_10008c50,183
12d98d10,FUN_10008d10,836
12d99060,getSystemCP,89
12d990c0,FUN_100090c0,80
12d99140,setSBCS,116
12d991c0,FUN_100091c0,770
12d994d0,FUN_100094d0,23
12d994f0,FUN_100094f0,34
12d99520,FUN_10009520,664
12d99860,__aulldiv,104
12d998d0,__aullrem,117
12d99950,FUN_10009950,628
12d99bd0,FUN_10009bd0,3108
12d9a900,FUN_1000a900,119
12d9a980,FUN_1000a980,53
12d9a9c0,FUN_1000a9c0,74
12d9aa10,FUN_1000aa10,26
12d9aa30,FUN_1000aa30,31
12d9aa50,FUN_1000aa50,27
12d9aa70,__dosmaperr,145
12d9ab10,FUN_1000ab10,13
12d9ab20,FUN_1000ab20,13
12d9ab30,FUN_1000ab30,664
12d9ae70,FUN_1000ae70,421
12d9b030,FUN_1000b030,727
12d9b340,FUN_1000b340,80
12d9b390,FUN_1000b390,130
12d9b420,FUN_1000b420,178
12d9b4e0,FUN_1000b4e0,130
12d9b570,FUN_1000b570,627
12d9b7f0,FUN_1000b7f0,199
12d9b8c0,__isatty,50
12d9b900,FUN_1000b900,300
12d9ba30,FUN_1000ba30,26
12d9ba50,FUN_1000ba50,61
12d9ba90,FUN_1000ba90,41
12d9bac0,FUN_1000bac0,61
12d9bb00,FUN_1000bb00,41
12d9bb30,FUN_1000bb30,119
12d9bbb0,FUN_1000bbb0,160
12d9bc50,__global_unwind2,32
12d9bc92,__local_unwind2,104
12d9bd26,FUN_1000bd26,24
12d9be05,FUN_1000be05,27
12d9be20,FUN_1000be20,482
12d9c010,__set_osfhnd,183
12d9c0d0,FUN_1000c0d0,216
12d9c1b0,FUN_1000c1b0,102
12d9c220,FUN_1000c220,260
12d9c330,FUN_1000c330,134
12d9c3c0,__unlock_fhandle,38
12d9c3f0,FUN_1000c3f0,218
12d9c4d0,FUN_1000c4d0,68
12d9c520,FUN_1000c520,65
12d9c570,FUN_1000c570,183
12d9c630,FUN_1000c630,15
12d9c640,FUN_1000c640,319
12d9c780,__fptrap,15
12d9c790,FUN_1000c790,1007
12d9cb80,FUN_1000cb80,403
12d9cd20,FUN_1000cd20,256
12d9ce20,FUN_1000ce20,388
12d9cfb0,FUN_1000cfb0,7
12d9cfc0,__strcats,79
12d9d010,FUN_1000d010,349
12d9d170,___lc_lctostr,101
12d9d1e0,FUN_1000d1e0,130
12d9d270,FUN_1000d270,190
12d9d330,FUN_1000d330,210
12d9d410,___init_time,219
12d9d4f0,FUN_1000d4f0,1423
12d9da80,___free_lc_time,779
12d9dd90,FUN_1000dd90,678
12d9e040,fix_grouping,125
12d9e0c0,FUN_1000e0c0,304
12d9e1f0,FUN_1000e1f0,525
12d9e400,fix_grouping,125
12d9e480,FUN_1000e480,147
12d9e520,FUN_1000e520,928
12d9e8c0,FUN_1000e8c0,7
12d9e8d0,_strcmp,129
12d9e960,FUN_1000e960,62
12d9e9a0,_strncmp,56
