address,name,sizeBytes
10001005,thunk_FUN_10001890,5
1000100a,OnInit,5
10001014,thunk_FUN_100010a0,5
10001019,thunk_FUN_100011b8,5
10001023,thunk_FUN_100010d3,5
10001028,ProcessScenary,5
1000102d,thunk_FUN_10001588,5
10001032,thunk_FUN_10001144,5
1000103c,thunk_FUN_100014ed,5
10001046,thunk_FUN_10001622,5
100010a0,FUN_100010a0,51
100010d3,FUN_100010d3,113
10001144,FUN_10001144,116
100011b8,FUN_100011b8,291
100012db,FUN_100012db,80
1000132b,FUN_1000132b,152
100013c3,FUN_100013c3,184
1000147b,FUN_1000147b,114
100014ed,FUN_100014ed,155
10001588,FUN_10001588,154
10001622,FUN_10001622,22
10001638,FUN_10001638,75
10001683,FUN_10001683,110
10001890,FUN_10001890,36
10001930,__chkesp,56
10001970,FUN_10001970,313
10001ab0,entry,243
10001bb0,__amsg_exit,58
10001bf0,FUN_10001bf0,11
10001c00,FUN_10001c00,87
10001c60,__CrtSetReportFile,126
10001ce0,FUN_10001ce0,28
10001d00,FUN_10001d00,912
10002090,FUN_10002090,780
100023a0,FUN_100023a0,56
100023e0,FUN_100023e0,21
10002400,__exit,21
10002420,FUN_10002420,19
10002440,FUN_10002440,19
10002460,FUN_10002460,227
10002550,FUN_10002550,15
10002560,FUN_10002560,15
10002570,__initterm,37
100025a0,FUN_100025a0,130
10002630,FUN_10002630,41
10002660,FUN_10002660,25
10002680,FUN_10002680,152
10002720,FUN_10002720,263
10002830,FUN_10002830,11
10002840,FUN_10002840,11
10002850,FUN_10002850,804
10002b80,__ioterm,155
10002c20,FUN_10002c20,29
10002c40,FUN_10002c40,35
10002c70,FUN_10002c70,27
10002c90,FUN_10002c90,94
10002cf0,FUN_10002cf0,23
10002d10,FUN_10002d10,787
10003030,FUN_10003030,27
10003050,__calloc_dbg,96
100030b0,FUN_100030b0,27
100030d0,FUN_100030d0,64
10003110,FUN_10003110,1297
10003630,FUN_10003630,27
10003650,FUN_10003650,64
10003690,FUN_10003690,19
100036b0,FUN_100036b0,19
100036d0,FUN_100036d0,41
10003700,FUN_10003700,1004
10003af0,FUN_10003af0,19
10003b10,FUN_10003b10,342
10003c70,FUN_10003c70,28
10003c90,FUN_10003c90,157
10003d30,FUN_10003d30,28
10003d50,FUN_10003d50,136
10003de0,FUN_10003de0,863
10004150,FUN_10004150,34
10004180,FUN_10004180,103
100041f0,FID_conflict:AtlIsValidAddress,75
10004240,FUN_10004240,134
100042d0,FUN_100042d0,227
100043c0,FUN_100043c0,28
100043e0,FUN_100043e0,362
10004550,FUN_10004550,291
10004680,FUN_10004680,697
10004940,FUN_10004940,276
10004a60,FUN_10004a60,116
10004ae0,FUN_10004ae0,197
10004bb0,FUN_10004bb0,329
10004d00,FUN_10004d00,216
10004de0,FUN_10004de0,1060
10005210,FUN_10005210,537
10005430,FUN_10005430,77
10005480,FUN_10005480,156
10005520,__FF_MSGBANNER,73
10005570,FUN_10005570,447
10005730,__GET_RTERRMSG,80
10005780,__itoa,66
100057d0,xtoa,194
100058a0,__ltoa,63
100058e0,__ultoa,30
10005900,__i64toa,72
10005950,x64toa,242
10005a50,__ui64toa,31
10005a70,_strlen,123
10005af0,FUN_10005af0,249
10005bf0,FUN_10005bf0,7
10005c00,FUN_10005c00,224
10005ce0,FUN_10005ce0,243
10005de0,FUN_10005de0,47
10005e10,FUN_10005e10,507
10006040,FUN_10006040,146
100060e0,FUN_100060e0,522
10006320,FUN_10006320,91
10006380,FUN_10006380,13
10006390,FUN_10006390,13
100063a0,FUN_100063a0,187
10006460,_strncpy,254
10006560,FUN_10006560,55
100065a0,FUN_100065a0,159
10006640,FUN_10006640,151
100066e0,FUN_100066e0,22
10006700,FUN_10006700,26
10006720,__XcptFilter,446
100068e0,FUN_100068e0,89
10006940,_set_new_handler,48
10006970,FUN_10006970,10
10006980,__callnewh,45
100069b0,_memset,88
10006a10,FUN_10006a10,23
10006a30,__nh_malloc_base,87
10006a90,FUN_10006a90,109
10006b00,FUN_10006b00,10
10006b10,FUN_10006b10,173
10006bc0,FUN_10006bc0,490
10006db0,FUN_10006db0,104
10006e20,FUN_10006e20,116
10006ea0,FUN_10006ea0,10
10006eb0,FUN_10006eb0,10
10006ec0,FUN_10006ec0,31
10006ee0,FUN_10006ee0,89
10006f40,FUN_10006f40,85
10006fa0,FUN_10006fa0,95
10007000,FUN_10007000,1485
100075d0,FUN_100075d0,1334
10007b10,FUN_10007b10,271
10007c20,FUN_10007c20,494
10007e10,FUN_10007e10,1515
10008400,FUN_10008400,304
10008530,FUN_10008530,1565
10008b50,FUN_10008b50,250
10008c50,FUN_10008c50,183
10008d10,FUN_10008d10,836
10009060,getSystemCP,89
100090c0,FUN_100090c0,80
10009140,setSBCS,116
100091c0,FUN_100091c0,770
100094d0,FUN_100094d0,23
100094f0,FUN_100094f0,34
10009520,FUN_10009520,664
10009860,__aulldiv,104
100098d0,__aullrem,117
10009950,FUN_10009950,628
10009bd0,FUN_10009bd0,3108
1000a900,FUN_1000a900,119
1000a980,FUN_1000a980,53
1000a9c0,FUN_1000a9c0,74
1000aa10,FUN_1000aa10,26
1000aa30,FUN_1000aa30,31
1000aa50,FUN_1000aa50,27
1000aa70,__dosmaperr,145
1000ab10,FUN_1000ab10,13
1000ab20,FUN_1000ab20,13
1000ab30,FUN_1000ab30,664
1000ae70,FUN_1000ae70,421
1000b030,FUN_1000b030,727
1000b340,FUN_1000b340,80
1000b390,FUN_1000b390,130
1000b420,FUN_1000b420,178
1000b4e0,FUN_1000b4e0,130
1000b570,FUN_1000b570,627
1000b7f0,FUN_1000b7f0,199
1000b8c0,__isatty,50
1000b900,FUN_1000b900,300
1000ba30,FUN_1000ba30,26
1000ba50,FUN_1000ba50,61
1000ba90,FUN_1000ba90,41
1000bac0,FUN_1000bac0,61
1000bb00,FUN_1000bb00,41
1000bb30,FUN_1000bb30,119
1000bbb0,FUN_1000bbb0,160
1000bc50,__global_unwind2,32
1000bc92,__local_unwind2,104
1000bd26,FUN_1000bd26,24
1000be05,FUN_1000be05,27
1000be20,FUN_1000be20,482
1000c010,__set_osfhnd,183
1000c0d0,FUN_1000c0d0,216
1000c1b0,FUN_1000c1b0,102
1000c220,FUN_1000c220,260
1000c330,FUN_1000c330,134
1000c3c0,__unlock_fhandle,38
1000c3f0,FUN_1000c3f0,218
1000c4d0,FUN_1000c4d0,68
1000c520,FUN_1000c520,65
1000c570,FUN_1000c570,183
1000c630,FUN_1000c630,15
1000c640,FUN_1000c640,319
1000c780,__fptrap,15
1000c790,FUN_1000c790,1007
1000cb80,FUN_1000cb80,403
1000cd20,FUN_1000cd20,256
1000ce20,FUN_1000ce20,388
1000cfb0,FUN_1000cfb0,7
1000cfc0,__strcats,79
1000d010,FUN_1000d010,349
1000d170,___lc_lctostr,101
1000d1e0,FUN_1000d1e0,130
1000d270,FUN_1000d270,190
1000d330,FUN_1000d330,210
1000d410,___init_time,219
1000d4f0,FUN_1000d4f0,1423
1000da80,___free_lc_time,779
1000dd90,FUN_1000dd90,678
1000e040,fix_grouping,125
1000e0c0,FUN_1000e0c0,304
1000e1f0,FUN_1000e1f0,525
1000e400,fix_grouping,125
1000e480,FUN_1000e480,147
1000e520,FUN_1000e520,928
1000e8c0,FUN_1000e8c0,7
1000e8d0,_strcmp,129
1000e960,FUN_1000e960,62
1000e9a0,_strncmp,56
1000e9e0,FUN_1000e9e0,58
1000ea20,FUN_1000ea20,512
1000ec20,FUN_1000ec20,130
1000ecb0,FUN_1000ecb0,186
1000ed70,FUN_1000ed70,804
1000f0a0,FUN_1000f0a0,116
1000f120,FUN_1000f120,287
1000f240,FUN_1000f240,69
1000f290,FUN_1000f290,172
1000f340,FUN_1000f340,43
1000f370,FUN_1000f370,155
1000f410,FUN_1000f410,79
1000f460,FUN_1000f460,135
1000f4f0,FUN_1000f4f0,77
1000f540,crtGetLocaleInfoA,388
1000f6d0,FUN_1000f6d0,118
1000f750,_GetPrimaryLen,101
1000f7c0,FUN_1000f7c0,122
1000f840,__close_lk,170
1000f8f0,FUN_1000f8f0,146
1000f990,FUN_1000f990,289
1000fac0,FUN_1000fac0,291
1000fbf0,FUN_1000fbf0,878
1000ff60,FUN_1000ff60,31
1000ff80,FUN_1000ff80,394
10010110,FUN_10010110,1389
10010730,FID_conflict:_store_str,72
10010780,FUN_10010780,173
10010830,FID_conflict:_store_number,172
100108e0,FUN_100108e0,1152
10010e00,FUN_10010e00,650
10011090,FUN_10011090,10
100110a0,FUN_100110a0,575
10011310,FUN_10011310,208
100113e0,FUN_100113e0,257
100114f0,FUN_100114f0,255
100115f0,FUN_100115f0,17
10011610,FUN_10011610,297
10011740,FUN_10011740,61
10011780,FUN_10011780,30
100117a0,FUN_100117a0,939
10011b50,FUN_10011b50,46
10011b80,FUN_10011b80,762
10011e80,FUN_10011e80,504
10012080,FUN_10012080,382
10012220,FUN_10012220,398
100123d0,FUN_100123d0,11
100123e0,FUN_100123e0,147
10012480,FUN_10012480,299
100125b0,__allmul,52
100125f0,FUN_100125f0,46
10012620,FID_conflict:__getenv_lk,198
100126f0,__mbsnbicoll,79
10012740,FUN_10012740,174
100127f0,FUN_100127f0,970
10012bf0,FUN_10012bf0,80
10012c40,FUN_10012c40,736
10012f20,findenv,124
10012fa0,copy_environ,238
10013090,FUN_10013090,237
10013190,_strchr,193
1001339c,RtlUnwind,6
