address,name,sizeBytes
12aa1005,thunk_FUN_10001680,5
12aa100a,OnInit,5
12aa100f,thunk_FUN_10001130,5
12aa1014,thunk_FUN_10001050,5
12aa1019,thunk_FUN_100010b0,5
12aa101e,ProcessScenary,5
12aa1050,FUN_10001050,67
12aa10b0,FUN_100010b0,92
12aa1130,FUN_10001130,93
12aa11b0,FUN_100011b0,376
12aa1390,FUN_10001390,592
12aa1680,FUN_10001680,63
12aa1720,__chkesp,56
12aa1760,FUN_10001760,313
12aa18a0,entry,243
12aa19a0,__amsg_exit,58
12aa19e0,FUN_100019e0,11
12aa19f0,FUN_100019f0,87
12aa1a50,__CrtSetReportFile,126
12aa1ad0,FUN_10001ad0,28
12aa1af0,FUN_10001af0,912
12aa1e80,FUN_10001e80,780
12aa2190,FUN_10002190,56
12aa21d0,FUN_100021d0,21
12aa21f0,__exit,21
12aa2210,FUN_10002210,19
12aa2230,FUN_10002230,19
12aa2250,FUN_10002250,227
12aa2340,FUN_10002340,15
12aa2350,FUN_10002350,15
12aa2360,__initterm,37
12aa2390,FUN_10002390,130
12aa2420,FUN_10002420,41
12aa2450,FUN_10002450,25
12aa2470,FUN_10002470,152
12aa2510,FUN_10002510,263
12aa2620,FUN_10002620,11
12aa2630,FUN_10002630,11
12aa2640,FUN_10002640,804
12aa2970,__ioterm,155
12aa2a10,FUN_10002a10,29
12aa2a30,FUN_10002a30,35
12aa2a60,FUN_10002a60,27
12aa2a80,FUN_10002a80,94
12aa2ae0,FUN_10002ae0,23
12aa2b00,FUN_10002b00,787
12aa2e20,FUN_10002e20,27
12aa2e40,__calloc_dbg,96
12aa2ea0,FUN_10002ea0,27
12aa2ec0,FUN_10002ec0,64
12aa2f00,FUN_10002f00,1297
12aa3420,FUN_10003420,27
12aa3440,FUN_10003440,64
12aa3480,FUN_10003480,19
12aa34a0,FUN_100034a0,19
12aa34c0,FUN_100034c0,41
12aa34f0,FUN_100034f0,1004
12aa38e0,FUN_100038e0,19
12aa3900,FUN_10003900,342
12aa3a60,FUN_10003a60,28
12aa3a80,FUN_10003a80,157
12aa3b20,FUN_10003b20,28
12aa3b40,FUN_10003b40,136
12aa3bd0,FUN_10003bd0,863
12aa3f40,FUN_10003f40,34
12aa3f70,FUN_10003f70,103
12aa3fe0,FID_conflict:AtlIsValidAddress,75
12aa4030,FUN_10004030,134
12aa40c0,FUN_100040c0,227
12aa41b0,FUN_100041b0,28
12aa41d0,FUN_100041d0,362
