address,name,sizeBytes
10001005,thunk_FUN_10001680,5
1000100a,OnInit,5
1000100f,thunk_FUN_10001130,5
10001014,thunk_FUN_10001050,5
10001019,thunk_FUN_100010b0,5
1000101e,ProcessScenary,5
10001050,FUN_10001050,67
100010b0,FUN_100010b0,92
10001130,FUN_10001130,93
100011b0,FUN_100011b0,376
10001390,FUN_10001390,592
10001680,FUN_10001680,63
10001720,__chkesp,56
10001760,FUN_10001760,313
100018a0,entry,243
100019a0,__amsg_exit,58
100019e0,FUN_100019e0,11
100019f0,FUN_100019f0,87
10001a50,__CrtSetReportFile,126
10001ad0,FUN_10001ad0,28
10001af0,FUN_10001af0,912
10001e80,FUN_10001e80,780
10002190,FUN_10002190,56
100021d0,FUN_100021d0,21
100021f0,__exit,21
10002210,FUN_10002210,19
10002230,FUN_10002230,19
10002250,FUN_10002250,227
10002340,FUN_10002340,15
10002350,FUN_10002350,15
10002360,__initterm,37
10002390,FUN_10002390,130
10002420,FUN_10002420,41
10002450,FUN_10002450,25
10002470,FUN_10002470,152
10002510,FUN_10002510,263
10002620,FUN_10002620,11
10002630,FUN_10002630,11
10002640,FUN_10002640,804
10002970,__ioterm,155
10002a10,FUN_10002a10,29
10002a30,FUN_10002a30,35
10002a60,FUN_10002a60,27
10002a80,FUN_10002a80,94
10002ae0,FUN_10002ae0,23
10002b00,FUN_10002b00,787
10002e20,FUN_10002e20,27
10002e40,__calloc_dbg,96
10002ea0,FUN_10002ea0,27
10002ec0,FUN_10002ec0,64
10002f00,FUN_10002f00,1297
10003420,FUN_10003420,27
10003440,FUN_10003440,64
10003480,FUN_10003480,19
100034a0,FUN_100034a0,19
100034c0,FUN_100034c0,41
100034f0,FUN_100034f0,1004
100038e0,FUN_100038e0,19
10003900,FUN_10003900,342
10003a60,FUN_10003a60,28
10003a80,FUN_10003a80,157
10003b20,FUN_10003b20,28
10003b40,FUN_10003b40,136
10003bd0,FUN_10003bd0,863
10003f40,FUN_10003f40,34
10003f70,FUN_10003f70,103
10003fe0,FID_conflict:AtlIsValidAddress,75
10004030,FUN_10004030,134
100040c0,FUN_100040c0,227
100041b0,FUN_100041b0,28
100041d0,FUN_100041d0,362
10004340,FUN_10004340,291
10004470,FUN_10004470,697
10004730,FUN_10004730,276
10004850,FUN_10004850,116
100048d0,FUN_100048d0,197
100049a0,FUN_100049a0,329
10004af0,FUN_10004af0,216
10004bd0,FUN_10004bd0,1060
10005000,FUN_10005000,537
10005220,FUN_10005220,77
10005270,FUN_10005270,156
10005310,__FF_MSGBANNER,73
10005360,FUN_10005360,447
10005520,__GET_RTERRMSG,80
10005570,__itoa,66
100055c0,xtoa,194
10005690,__ltoa,63
100056d0,__ultoa,30
100056f0,__i64toa,72
10005740,x64toa,242
10005840,__ui64toa,31
10005860,_strlen,123
100058e0,FUN_100058e0,249
100059e0,FUN_100059e0,7
100059f0,FUN_100059f0,224
10005ad0,FUN_10005ad0,243
10005bd0,FUN_10005bd0,47
10005c00,FUN_10005c00,507
10005e30,FUN_10005e30,146
10005ed0,FUN_10005ed0,522
10006110,FUN_10006110,91
10006170,FUN_10006170,13
10006180,FUN_10006180,13
10006190,FUN_10006190,187
10006250,_strncpy,254
10006350,FUN_10006350,55
10006390,FUN_10006390,159
10006430,FUN_10006430,151
100064d0,FUN_100064d0,22
100064f0,FUN_100064f0,26
10006510,__XcptFilter,446
100066d0,FUN_100066d0,89
10006730,_set_new_handler,48
10006760,FUN_10006760,10
10006770,__callnewh,45
100067a0,_memset,88
10006800,FUN_10006800,23
10006820,__nh_malloc_base,87
10006880,FUN_10006880,109
100068f0,FUN_100068f0,10
10006900,FUN_10006900,173
100069b0,FUN_100069b0,490
10006ba0,FUN_10006ba0,104
10006c10,FUN_10006c10,116
10006c90,FUN_10006c90,10
10006ca0,FUN_10006ca0,10
10006cb0,FUN_10006cb0,31
10006cd0,FUN_10006cd0,89
10006d30,FUN_10006d30,85
10006d90,FUN_10006d90,95
10006df0,FUN_10006df0,1485
100073c0,FUN_100073c0,1334
10007900,FUN_10007900,271
10007a10,FUN_10007a10,494
10007c00,FUN_10007c00,1515
100081f0,FUN_100081f0,304
10008320,FUN_10008320,1565
10008940,FUN_10008940,250
10008a40,FUN_10008a40,183
10008b00,FUN_10008b00,836
10008e50,getSystemCP,89
10008eb0,FUN_10008eb0,80
10008f30,setSBCS,116
10008fb0,FUN_10008fb0,770
100092c0,FUN_100092c0,23
100092e0,FUN_100092e0,34
10009310,FUN_10009310,664
10009650,__aulldiv,104
100096c0,__aullrem,117
10009740,FUN_10009740,628
100099c0,FUN_100099c0,3108
1000a6f0,FUN_1000a6f0,119
