address,name,sizeBytes
12df1005,thunk_FUN_10002ee0,5
12df100f,OnInit,5
12df101e,thunk_FUN_100026b0,5
12df1023,thunk_FUN_10002760,5
12df1028,thunk_FUN_10002f40,5
12df102d,thunk_FUN_10001b70,5
12df103c,thunk_FUN_10003010,5
12df1046,thunk_FUN_10002700,5
12df104b,thunk_FUN_10002b40,5
12df1055,thunk_FUN_10002a70,5
12df105a,thunk_FUN_10002fb0,5
12df105f,thunk_FUN_10001ab0,5
12df1064,thunk_FUN_100025a0,5
12df1073,thunk_FUN_100025f0,5
12df1078,ProcessScenary,5
12df1082,thunk_FUN_10001a60,5
12df1087,thunk_FUN_10003130,5
12df1091,thunk_FUN_10002830,5
12df1096,thunk_FUN_10003070,5
12df10a0,thunk_FUN_10002ad0,5
12df10be,thunk_FUN_10002e70,5
12df10dc,thunk_FUN_10001340,5
12df10e1,thunk_FUN_10002650,5
12df10e6,thunk_FUN_100027c0,5
12df10eb,thunk_FUN_100030d0,5
12df10f5,thunk_FUN_10002a00,5
12df11f0,FUN_100011f0,76
12df1250,FUN_10001250,63
12df12a0,FUN_100012a0,63
12df12f0,FUN_100012f0,63
12df1340,FUN_10001340,53
12df1390,FUN_10001390,63
12df13e0,FUN_100013e0,63
12df1430,FUN_10001430,63
12df1480,FUN_10001480,71
12df14e0,FUN_100014e0,71
12df1540,FUN_10001540,76
12df15a0,FUN_100015a0,72
12df1600,FUN_10001600,67
12df1660,FUN_10001660,63
12df16b0,FUN_100016b0,72
12df1710,FUN_10001710,67
12df1770,FUN_10001770,71
12df17d0,FUN_100017d0,83
12df1840,FUN_10001840,63
12df1890,FUN_10001890,71
12df18f0,FUN_100018f0,83
12df1960,FUN_10001960,63
12df19b0,FUN_100019b0,56
12df1a00,FUN_10001a00,71
12df1a60,FUN_10001a60,56
12df1ab0,FUN_10001ab0,143
12df1b70,FUN_10001b70,2087
12df25a0,FUN_100025a0,62
12df25f0,FUN_100025f0,65
12df2650,FUN_10002650,65
12df26b0,FUN_100026b0,63
12df2700,FUN_10002700,70
12df2760,FUN_10002760,76
12df27c0,FUN_100027c0,80
12df2830,FUN_10002830,70
12df2890,FUN_10002890,291
12df2a00,FUN_10002a00,80
12df2a70,FUN_10002a70,76
12df2ad0,FUN_10002ad0,80
12df2b40,FUN_10002b40,76
12df2ba0,FUN_10002ba0,573
12df2e70,FUN_10002e70,80
12df2ee0,FUN_10002ee0,76
12df2f40,FUN_10002f40,80
12df2fb0,FUN_10002fb0,76
12df3010,FUN_10003010,76
12df3070,FUN_10003070,69
12df30d0,FUN_100030d0,76
12df3130,FUN_10003130,76
12df31b0,__chkesp,56
12df31f0,FUN_100031f0,250
12df32f0,FUN_100032f0,313
12df3430,entry,243
12df3530,__amsg_exit,58
12df3570,FUN_10003570,11
12df3580,FUN_10003580,87
12df35e0,__CrtSetReportFile,126
12df3660,FUN_10003660,28
12df3680,FUN_10003680,912
12df3a10,FUN_10003a10,780
12df3d20,FUN_10003d20,628
12df3fa0,FUN_10003fa0,3108
12df4cd0,FUN_10004cd0,119
12df4d50,FUN_10004d50,53
12df4d90,FUN_10004d90,74
12df4de0,FUN_10004de0,26
12df4e00,FUN_10004e00,31
12df4e20,FUN_10004e20,27
12df4e40,FUN_10004e40,56
12df4e80,FUN_10004e80,21
12df4ea0,__exit,21
12df4ec0,FUN_10004ec0,19
12df4ee0,FUN_10004ee0,19
12df4f00,FUN_10004f00,227
12df4ff0,FUN_10004ff0,15
12df5000,FUN_10005000,15
12df5010,__initterm,37
12df5040,FUN_10005040,130
12df50d0,FUN_100050d0,41
12df5100,FUN_10005100,25
12df5120,FUN_10005120,152
12df51c0,FUN_100051c0,263
12df52d0,FUN_100052d0,11
12df52e0,FUN_100052e0,11
12df52f0,FUN_100052f0,804
12df5620,__ioterm,155
12df56c0,FUN_100056c0,29
12df56e0,FUN_100056e0,35
12df5710,FUN_10005710,27
12df5730,FUN_10005730,94
12df5790,FUN_10005790,23
12df57b0,FUN_100057b0,787
12df5ad0,FUN_10005ad0,27
12df5af0,__calloc_dbg,96
12df5b50,FUN_10005b50,27
12df5b70,FUN_10005b70,64
12df5bb0,FUN_10005bb0,1297
12df60d0,FUN_100060d0,27
12df60f0,FUN_100060f0,64
12df6130,FUN_10006130,19
12df6150,FUN_10006150,19
12df6170,FUN_10006170,41
12df61a0,FUN_100061a0,1004
12df6590,FUN_10006590,19
12df65b0,FUN_100065b0,342
12df6710,FUN_10006710,28
12df6730,FUN_10006730,157
12df67d0,FUN_100067d0,28
12df67f0,FUN_100067f0,136
12df6880,FUN_10006880,863
12df6bf0,FUN_10006bf0,34
12df6c20,FUN_10006c20,103
12df6c90,FID_conflict:AtlIsValidAddress,75
12df6ce0,FUN_10006ce0,134
12df6d70,FUN_10006d70,227
12df6e60,FUN_10006e60,28
12df6e80,FUN_10006e80,362
12df6ff0,FUN_10006ff0,291
12df7120,FUN_10007120,697
12df73e0,FUN_100073e0,276
12df7500,FUN_10007500,116
12df7580,FUN_10007580,197
12df7650,FUN_10007650,329
12df77a0,FUN_100077a0,216
12df7880,FUN_10007880,1060
12df7cb0,FUN_10007cb0,537
12df7ed0,FUN_10007ed0,77
12df7f20,FUN_10007f20,156
12df7fc0,__FF_MSGBANNER,73
12df8010,FUN_10008010,447
12df81d0,__GET_RTERRMSG,80
12df8220,__itoa,66
12df8270,xtoa,194
12df8340,__ltoa,63
12df8380,__ultoa,30
12df83a0,__i64toa,72
12df83f0,x64toa,242
12df84f0,__ui64toa,31
12df8510,_strlen,123
12df8590,FUN_10008590,249
12df8690,FUN_10008690,7
12df86a0,FUN_100086a0,224
12df8780,FUN_10008780,243
12df8880,FUN_10008880,47
12df88b0,FUN_100088b0,507
12df8ae0,FUN_10008ae0,146
12df8b80,FUN_10008b80,522
12df8dc0,FUN_10008dc0,91
12df8e20,FUN_10008e20,13
12df8e30,FUN_10008e30,13
12df8e40,FUN_10008e40,187
12df8f00,_strncpy,254
12df9000,FUN_10009000,130
12df9090,FUN_10009090,178
12df9150,FUN_10009150,130
12df91e0,FUN_100091e0,627
12df9460,FUN_10009460,199
12df9530,__isatty,50
12df9570,FUN_10009570,300
12df96a0,FUN_100096a0,26
12df96c0,FUN_100096c0,61
12df9700,FUN_10009700,41
12df9730,FUN_10009730,61
12df9770,FUN_10009770,41
12df97a0,FUN_100097a0,119
12df9820,FUN_10009820,160
12df98c0,__aulldiv,104
12df9930,__aullrem,117
12df99b0,FUN_100099b0,55
12df99f0,FUN_100099f0,159
12df9a90,FUN_10009a90,151
12df9b30,FUN_10009b30,22
12df9b50,FUN_10009b50,26
12df9b70,__XcptFilter,446
12df9d30,FUN_10009d30,89
12df9d90,_set_new_handler,48
12df9dc0,FUN_10009dc0,10
12df9dd0,__callnewh,45
12df9e00,_memset,88
12df9e60,FUN_10009e60,23
12df9e80,__nh_malloc_base,87
12df9ee0,FUN_10009ee0,109
12df9f50,FUN_10009f50,10
12df9f60,FUN_10009f60,173
12dfa010,FUN_1000a010,490
12dfa200,FUN_1000a200,104
12dfa270,FUN_1000a270,116
12dfa2f0,FUN_1000a2f0,10
12dfa300,FUN_1000a300,10
12dfa310,FUN_1000a310,31
12dfa330,FUN_1000a330,89
12dfa390,FUN_1000a390,85
12dfa3f0,FUN_1000a3f0,95
12dfa450,FUN_1000a450,1485
12dfaa20,FUN_1000aa20,1334
12dfaf60,FUN_1000af60,271
12dfb070,FUN_1000b070,494
12dfb260,FUN_1000b260,1515
12dfb850,FUN_1000b850,304
12dfb980,FUN_1000b980,1565
12dfbfa0,FUN_1000bfa0,183
12dfc060,FUN_1000c060,836
12dfc3b0,getSystemCP,89
12dfc410,FUN_1000c410,80
12dfc490,setSBCS,116
12dfc510,FUN_1000c510,770
12dfc820,FUN_1000c820,23
12dfc840,FUN_1000c840,34
12dfc870,FUN_1000c870,664
12dfcbb0,__dosmaperr,145
12dfcc50,FUN_1000cc50,13
12dfcc60,FUN_1000cc60,13
12dfcc70,FUN_1000cc70,482
12dfce60,__set_osfhnd,183
12dfcf20,FUN_1000cf20,216
12dfd000,FUN_1000d000,102
12dfd070,FUN_1000d070,260
12dfd180,FUN_1000d180,134
12dfd210,__unlock_fhandle,38
12dfd240,FUN_1000d240,218
12dfd320,FUN_1000d320,68
12dfd370,FUN_1000d370,65
12dfd3c0,FUN_1000d3c0,183
12dfd480,FUN_1000d480,15
12dfd490,FUN_1000d490,319
12dfd5d0,__fptrap,15
12dfd5e0,FUN_1000d5e0,1007
12dfd9d0,FUN_1000d9d0,403
12dfdb70,FUN_1000db70,256
12dfdc70,FUN_1000dc70,388
12dfde00,FUN_1000de00,7
12dfde10,__strcats,79
12dfde60,FUN_1000de60,349
12dfdfc0,___lc_lctostr,101
12dfe030,FUN_1000e030,664
12dfe370,FUN_1000e370,421
12dfe530,FUN_1000e530,727
12dfe840,FUN_1000e840,80
12dfe890,FUN_1000e890,130
12dfe920,FUN_1000e920,190
12dfe9e0,FUN_1000e9e0,210
12dfeac0,___init_time,219
12dfeba0,FUN_1000eba0,1423
12dff130,___free_lc_time,779
12dff440,FUN_1000f440,678
12dff6f0,fix_grouping,125
12dff770,FUN_1000f770,304
12dff8a0,FUN_1000f8a0,525
12dffab0,fix_grouping,125
12dffb30,FUN_1000fb30,147
12dffbd0,FUN_1000fbd0,928
12dfff70,FUN_1000ff70,7
12dfff80,_strcmp,129
12e00010,FUN_10010010,62
12e00050,_strncmp,56
12e00090,FUN_10010090,58
12e000d0,FUN_100100d0,512
12e002d0,FUN_100102d0,130
12e00360,FUN_10010360,186
12e00420,FUN_10010420,804
12e00750,FUN_10010750,116
12e007d0,FUN_100107d0,287
12e008f0,FUN_100108f0,69
12e00940,FUN_10010940,172
12e009f0,FUN_100109f0,43
12e00a20,FUN_10010a20,155
12e00ac0,FUN_10010ac0,79
12e00b10,FUN_10010b10,135
12e00ba0,FUN_10010ba0,77
12e00bf0,crtGetLocaleInfoA,388
12e00d80,FUN_10010d80,118
12e00e00,_GetPrimaryLen,101
12e00e68,__global_unwind2,32
12e00eaa,__local_unwind2,104
12e00f3e,FUN_10010f3e,24
12e0101d,FUN_1001101d,27
12e01040,FUN_10011040,122
12e010c0,__close_lk,170
12e01170,FUN_10011170,146
12e01210,FUN_10011210,289
12e01340,FUN_10011340,291
12e01470,FUN_10011470,878
12e017e0,FUN_100117e0,31
12e01800,FUN_10011800,393
12e01990,FUN_10011990,1389
12e01fb0,FID_conflict:_store_str,72
12e02000,FUN_10012000,173
12e020b0,FID_conflict:_store_number,172
12e02160,FUN_10012160,1152
12e02680,FUN_10012680,650
12e02910,FUN_10012910,10
12e02920,FUN_10012920,575
12e02b90,FUN_10012b90,208
12e02c60,FUN_10012c60,257
12e02d70,FUN_10012d70,255
12e02e70,FUN_10012e70,17
12e02e90,FUN_10012e90,297
12e02fc0,FUN_10012fc0,61
12e03000,FUN_10013000,30
12e03020,FUN_10013020,939
12e033d0,FUN_100133d0,46
12e03400,FUN_10013400,762
12e03700,FUN_10013700,504
12e03900,FUN_10013900,382
12e03aa0,FUN_10013aa0,398
12e03c50,FUN_10013c50,11
12e03c60,FUN_10013c60,147
12e03d00,FUN_10013d00,299
12e03e30,__allmul,52
12e03e70,FUN_10013e70,46
12e03ea0,FID_conflict:__getenv_lk,198
12e03f70,__mbsnbicoll,79
12e03fc0,FUN_10013fc0,174
12e04070,FUN_10014070,970
12e04470,FUN_10014470,80
12e044c0,FUN_100144c0,736
12e047a0,findenv,124
12e04820,copy_environ,238
12e04910,FUN_10014910,237
12e04a10,_strchr,193
12e04c4c,RtlUnwind,6
