address,name,sizeBytes
12e31005,thunk_FUN_10001a00,5
12e3100a,OnInit,5
12e3100f,thunk_FUN_10001140,5
12e31014,thunk_FUN_10001a50,5
12e31019,thunk_FUN_10001060,5
12e3101e,thunk_FUN_100011c0,5
12e31023,thunk_FUN_100010c0,5
12e31028,ProcessScenary,5
12e3102d,thunk_FUN_10001230,5
12e31060,FUN_10001060,67
12e310c0,FUN_100010c0,92
12e31140,FUN_10001140,93
12e311c0,FUN_100011c0,90
12e31230,FUN_10001230,90
12e312a0,FUN_100012a0,401
12e314a0,FUN_100014a0,1093
12e31a00,FUN_10001a00,63
12e31a50,FUN_10001a50,67
12e31b10,__chkesp,56
12e31b50,FUN_10001b50,313
12e31c90,entry,243
12e31d90,__amsg_exit,58
12e31dd0,FUN_10001dd0,11
12e31de0,FUN_10001de0,87
12e31e40,__CrtSetReportFile,126
12e31ec0,FUN_10001ec0,28
12e31ee0,FUN_10001ee0,912
12e32270,FUN_10002270,780
12e32580,FUN_10002580,56
12e325c0,FUN_100025c0,21
12e325e0,__exit,21
12e32600,FUN_10002600,19
12e32620,FUN_10002620,19
12e32640,FUN_10002640,227
12e32730,FUN_10002730,15
12e32740,FUN_10002740,15
12e32750,__initterm,37
12e32780,FUN_10002780,130
12e32810,FUN_10002810,41
12e32840,FUN_10002840,25
12e32860,FUN_10002860,152
12e32900,FUN_10002900,263
12e32a10,FUN_10002a10,11
12e32a20,FUN_10002a20,11
12e32a30,FUN_10002a30,804
12e32d60,__ioterm,155
12e32e00,FUN_10002e00,29
12e32e20,FUN_10002e20,35
12e32e50,FUN_10002e50,27
12e32e70,FUN_10002e70,94
12e32ed0,FUN_10002ed0,23
12e32ef0,FUN_10002ef0,787
12e33210,FUN_10003210,27
12e33230,__calloc_dbg,96
12e33290,FUN_10003290,27
12e332b0,FUN_100032b0,64
12e332f0,FUN_100032f0,1297
12e33810,FUN_10003810,27
12e33830,FUN_10003830,64
12e33870,FUN_10003870,19
12e33890,FUN_10003890,19
12e338b0,FUN_100038b0,41
12e338e0,FUN_100038e0,1004
12e33cd0,FUN_10003cd0,19
12e33cf0,FUN_10003cf0,342
12e33e50,FUN_10003e50,28
12e33e70,FUN_10003e70,157
12e33f10,FUN_10003f10,28
12e33f30,FUN_10003f30,136
12e33fc0,FUN_10003fc0,863
12e34330,FUN_10004330,34
12e34360,FUN_10004360,103
12e343d0,FID_conflict:AtlIsValidAddress,75
12e34420,FUN_10004420,134
12e344b0,FUN_100044b0,227
12e345a0,FUN_100045a0,28
12e345c0,FUN_100045c0,362
12e34730,FUN_10004730,291
12e34860,FUN_10004860,697
12e34b20,FUN_10004b20,276
12e34c40,FUN_10004c40,116
12e34cc0,FUN_10004cc0,197
12e34d90,FUN_10004d90,329
12e34ee0,FUN_10004ee0,216
12e34fc0,FUN_10004fc0,1060
12e353f0,FUN_100053f0,537
12e35610,FUN_10005610,77
12e35660,FUN_10005660,156
12e35700,__FF_MSGBANNER,73
12e35750,FUN_10005750,447
12e35910,__GET_RTERRMSG,80
12e35960,__itoa,66
12e359b0,xtoa,194
12e35a80,__ltoa,63
12e35ac0,__ultoa,30
12e35ae0,__i64toa,72
12e35b30,x64toa,242
12e35c30,__ui64toa,31
12e35c50,_strlen,123
12e35cd0,FUN_10005cd0,249
12e35dd0,FUN_10005dd0,7
12e35de0,FUN_10005de0,224
12e35ec0,FUN_10005ec0,243
12e35fc0,FUN_10005fc0,47
12e35ff0,FUN_10005ff0,507
12e36220,FUN_10006220,146
12e362c0,FUN_100062c0,522
12e36500,FUN_10006500,91
12e36560,FUN_10006560,13
12e36570,FUN_10006570,13
12e36580,FUN_10006580,187
12e36640,_strncpy,254
12e36740,FUN_10006740,55
12e36780,FUN_10006780,159
12e36820,FUN_10006820,151
