address,name,sizeBytes
12e71005,thunk_FUN_10002030,5
12e7100a,OnInit,5
12e71014,thunk_FUN_100010a0,5
12e71019,thunk_FUN_10001260,5
12e71023,thunk_FUN_10001100,5
12e71028,ProcessScenary,5
12e7102d,thunk_FUN_10001790,5
12e71032,thunk_FUN_100011a0,5
12e7103c,thunk_FUN_100016c0,5
12e71046,thunk_FUN_10001880,5
12e710a0,FUN_100010a0,67
12e71100,FUN_10001100,127
12e711a0,FUN_100011a0,143
12e71260,FUN_10001260,293
12e713d0,FUN_100013d0,107
12e71460,FUN_10001460,154
12e71520,FUN_10001520,198
12e71620,FUN_10001620,119
12e716c0,FUN_100016c0,160
12e71790,FUN_10001790,181
12e71880,FUN_10001880,51
12e718c0,FUN_100018c0,419
12e71ad0,FUN_10001ad0,1089
12e72030,FUN_10002030,63
12e72140,__chkesp,56
12e72180,FUN_10002180,313
12e722c0,entry,243
12e723c0,__amsg_exit,58
12e72400,FUN_10002400,11
12e72410,FUN_10002410,87
12e72470,__CrtSetReportFile,126
12e724f0,FUN_100024f0,28
12e72510,FUN_10002510,912
12e728a0,FUN_100028a0,780
12e72bb0,FUN_10002bb0,56
12e72bf0,FUN_10002bf0,21
12e72c10,__exit,21
12e72c30,FUN_10002c30,19
12e72c50,FUN_10002c50,19
12e72c70,FUN_10002c70,227
12e72d60,FUN_10002d60,15
12e72d70,FUN_10002d70,15
12e72d80,__initterm,37
12e72db0,FUN_10002db0,130
12e72e40,FUN_10002e40,41
12e72e70,FUN_10002e70,25
12e72e90,FUN_10002e90,152
12e72f30,FUN_10002f30,263
12e73040,FUN_10003040,11
12e73050,FUN_10003050,11
12e73060,FUN_10003060,804
12e73390,__ioterm,155
12e73430,FUN_10003430,29
12e73450,FUN_10003450,35
12e73480,FUN_10003480,27
12e734a0,FUN_100034a0,94
12e73500,FUN_10003500,23
12e73520,FUN_10003520,787
12e73840,FUN_10003840,27
12e73860,__calloc_dbg,96
12e738c0,FUN_100038c0,27
12e738e0,FUN_100038e0,64
12e73920,FUN_10003920,1297
12e73e40,FUN_10003e40,27
12e73e60,FUN_10003e60,64
12e73ea0,FUN_10003ea0,19
12e73ec0,FUN_10003ec0,19
12e73ee0,FUN_10003ee0,41
12e73f10,FUN_10003f10,1004
12e74300,FUN_10004300,19
12e74320,FUN_10004320,342
12e74480,FUN_10004480,28
12e744a0,FUN_100044a0,157
12e74540,FUN_10004540,28
12e74560,FUN_10004560,136
12e745f0,FUN_100045f0,863
12e74960,FUN_10004960,34
12e74990,FUN_10004990,103
12e74a00,FID_conflict:AtlIsValidAddress,75
12e74a50,FUN_10004a50,134
12e74ae0,FUN_10004ae0,227
12e74bd0,FUN_10004bd0,28
12e74bf0,FUN_10004bf0,362
12e74d60,FUN_10004d60,291
12e74e90,FUN_10004e90,697
12e75150,FUN_10005150,276
12e75270,FUN_10005270,116
12e752f0,FUN_100052f0,197
12e753c0,FUN_100053c0,329
12e75510,FUN_10005510,216
12e755f0,FUN_100055f0,1060
12e75a20,FUN_10005a20,537
12e75c40,FUN_10005c40,77
12e75c90,FUN_10005c90,156
12e75d30,__FF_MSGBANNER,73
12e75d80,FUN_10005d80,447
12e75f40,__GET_RTERRMSG,80
12e75f90,__itoa,66
12e75fe0,xtoa,194
12e760b0,__ltoa,63
12e760f0,__ultoa,30
12e76110,__i64toa,72
12e76160,x64toa,242
12e76260,__ui64toa,31
12e76280,_strlen,123
12e76300,FUN_10006300,249
