address,name,sizeBytes
10001005,thunk_FUN_10002030,5
1000100a,OnInit,5
10001014,thunk_FUN_100010a0,5
10001019,thunk_FUN_10001260,5
10001023,thunk_FUN_10001100,5
10001028,ProcessScenary,5
1000102d,thunk_FUN_10001790,5
10001032,thunk_FUN_100011a0,5
1000103c,thunk_FUN_100016c0,5
10001046,thunk_FUN_10001880,5
100010a0,FUN_100010a0,67
10001100,FUN_10001100,127
100011a0,FUN_100011a0,143
10001260,FUN_10001260,293
100013d0,FUN_100013d0,107
10001460,FUN_10001460,154
10001520,FUN_10001520,198
10001620,FUN_10001620,119
100016c0,FUN_100016c0,160
10001790,FUN_10001790,181
10001880,FUN_10001880,51
100018c0,FUN_100018c0,419
10001ad0,FUN_10001ad0,1089
10002030,FUN_10002030,63
10002140,__chkesp,56
10002180,FUN_10002180,313
100022c0,entry,243
100023c0,__amsg_exit,58
10002400,FUN_10002400,11
10002410,FUN_10002410,87
10002470,__CrtSetReportFile,126
100024f0,FUN_100024f0,28
10002510,FUN_10002510,912
100028a0,FUN_100028a0,780
10002bb0,FUN_10002bb0,56
10002bf0,FUN_10002bf0,21
10002c10,__exit,21
10002c30,FUN_10002c30,19
10002c50,FUN_10002c50,19
10002c70,FUN_10002c70,227
10002d60,FUN_10002d60,15
10002d70,FUN_10002d70,15
10002d80,__initterm,37
10002db0,FUN_10002db0,130
10002e40,FUN_10002e40,41
10002e70,FUN_10002e70,25
10002e90,FUN_10002e90,152
10002f30,FUN_10002f30,263
10003040,FUN_10003040,11
10003050,FUN_10003050,11
10003060,FUN_10003060,804
10003390,__ioterm,155
10003430,FUN_10003430,29
10003450,FUN_10003450,35
10003480,FUN_10003480,27
100034a0,FUN_100034a0,94
10003500,FUN_10003500,23
10003520,FUN_10003520,787
10003840,FUN_10003840,27
10003860,__calloc_dbg,96
100038c0,FUN_100038c0,27
100038e0,FUN_100038e0,64
10003920,FUN_10003920,1297
10003e40,FUN_10003e40,27
10003e60,FUN_10003e60,64
10003ea0,FUN_10003ea0,19
10003ec0,FUN_10003ec0,19
10003ee0,FUN_10003ee0,41
10003f10,FUN_10003f10,1004
10004300,FUN_10004300,19
10004320,FUN_10004320,342
10004480,FUN_10004480,28
100044a0,FUN_100044a0,157
10004540,FUN_10004540,28
10004560,FUN_10004560,136
100045f0,FUN_100045f0,863
10004960,FUN_10004960,34
10004990,FUN_10004990,103
10004a00,FID_conflict:AtlIsValidAddress,75
10004a50,FUN_10004a50,134
10004ae0,FUN_10004ae0,227
10004bd0,FUN_10004bd0,28
10004bf0,FUN_10004bf0,362
10004d60,FUN_10004d60,291
10004e90,FUN_10004e90,697
10005150,FUN_10005150,276
10005270,FUN_10005270,116
100052f0,FUN_100052f0,197
100053c0,FUN_100053c0,329
10005510,FUN_10005510,216
100055f0,FUN_100055f0,1060
10005a20,FUN_10005a20,537
10005c40,FUN_10005c40,77
10005c90,FUN_10005c90,156
10005d30,__FF_MSGBANNER,73
10005d80,FUN_10005d80,447
10005f40,__GET_RTERRMSG,80
10005f90,__itoa,66
10005fe0,xtoa,194
100060b0,__ltoa,63
100060f0,__ultoa,30
10006110,__i64toa,72
10006160,x64toa,242
10006260,__ui64toa,31
10006280,_strlen,123
10006300,FUN_10006300,249
10006400,FUN_10006400,7
10006410,FUN_10006410,224
100064f0,FUN_100064f0,243
100065f0,FUN_100065f0,47
10006620,FUN_10006620,507
10006850,FUN_10006850,146
100068f0,FUN_100068f0,522
10006b30,FUN_10006b30,91
10006b90,FUN_10006b90,13
10006ba0,FUN_10006ba0,13
10006bb0,FUN_10006bb0,187
10006c70,_strncpy,254
10006d70,FUN_10006d70,55
10006db0,FUN_10006db0,159
10006e50,FUN_10006e50,151
10006ef0,FUN_10006ef0,22
10006f10,FUN_10006f10,26
10006f30,__XcptFilter,446
100070f0,FUN_100070f0,89
10007150,_set_new_handler,48
10007180,FUN_10007180,10
10007190,__callnewh,45
100071c0,_memset,88
10007220,FUN_10007220,23
10007240,__nh_malloc_base,87
100072a0,FUN_100072a0,109
10007310,FUN_10007310,10
10007320,FUN_10007320,173
100073d0,FUN_100073d0,490
100075c0,FUN_100075c0,104
10007630,FUN_10007630,116
100076b0,FUN_100076b0,10
100076c0,FUN_100076c0,10
100076d0,FUN_100076d0,31
100076f0,FUN_100076f0,89
10007750,FUN_10007750,85
100077b0,FUN_100077b0,95
10007810,FUN_10007810,1485
10007de0,FUN_10007de0,1334
10008320,FUN_10008320,271
10008430,FUN_10008430,494
10008620,FUN_10008620,1515
10008c10,FUN_10008c10,304
10008d40,FUN_10008d40,1565
10009360,FUN_10009360,250
10009460,FUN_10009460,183
10009520,FUN_10009520,836
10009870,getSystemCP,89
100098d0,FUN_100098d0,80
10009950,setSBCS,116
100099d0,FUN_100099d0,770
10009ce0,FUN_10009ce0,23
10009d00,FUN_10009d00,34
10009d30,FUN_10009d30,664
1000a070,__aulldiv,104
1000a0e0,__aullrem,117
1000a160,FUN_1000a160,628
1000a3e0,FUN_1000a3e0,3108
1000b110,FUN_1000b110,119
1000b190,FUN_1000b190,53
1000b1d0,FUN_1000b1d0,74
1000b220,FUN_1000b220,26
1000b240,FUN_1000b240,31
1000b260,FUN_1000b260,27
1000b280,__dosmaperr,145
1000b320,FUN_1000b320,13
1000b330,FUN_1000b330,13
1000b340,FUN_1000b340,664
1000b680,FUN_1000b680,421
1000b840,FUN_1000b840,727
1000bb50,FUN_1000bb50,80
1000bba0,FUN_1000bba0,130
1000bc30,FUN_1000bc30,178
1000bcf0,FUN_1000bcf0,130
1000bd80,FUN_1000bd80,627
1000c000,FUN_1000c000,199
1000c0d0,__isatty,50
1000c110,FUN_1000c110,300
1000c240,FUN_1000c240,26
1000c260,FUN_1000c260,61
1000c2a0,FUN_1000c2a0,41
1000c2d0,FUN_1000c2d0,61
1000c310,FUN_1000c310,41
1000c340,FUN_1000c340,119
1000c3c0,FUN_1000c3c0,160
1000c460,__global_unwind2,32
1000c4a2,__local_unwind2,104
1000c536,FUN_1000c536,24
1000c615,FUN_1000c615,27
1000c630,FUN_1000c630,482
1000c820,__set_osfhnd,183
1000c8e0,FUN_1000c8e0,216
1000c9c0,FUN_1000c9c0,102
1000ca30,FUN_1000ca30,260
1000cb40,FUN_1000cb40,134
1000cbd0,__unlock_fhandle,38
1000cc00,FUN_1000cc00,218
1000cce0,FUN_1000cce0,68
1000cd30,FUN_1000cd30,65
1000cd80,FUN_1000cd80,183
1000ce40,FUN_1000ce40,15
1000ce50,FUN_1000ce50,319
1000cf90,__fptrap,15
1000cfa0,FUN_1000cfa0,1007
1000d390,FUN_1000d390,403
1000d530,FUN_1000d530,256
1000d630,FUN_1000d630,388
1000d7c0,FUN_1000d7c0,7
1000d7d0,__strcats,79
1000d820,FUN_1000d820,349
1000d980,___lc_lctostr,101
1000d9f0,FUN_1000d9f0,130
1000da80,FUN_1000da80,190
1000db40,FUN_1000db40,210
1000dc20,___init_time,219
1000dd00,FUN_1000dd00,1423
1000e290,___free_lc_time,779
1000e5a0,FUN_1000e5a0,678
1000e850,fix_grouping,125
1000e8d0,FUN_1000e8d0,304
1000ea00,FUN_1000ea00,525
1000ec10,fix_grouping,125
1000ec90,FUN_1000ec90,147
1000ed30,FUN_1000ed30,928
1000f0d0,FUN_1000f0d0,7
1000f0e0,_strcmp,129
1000f170,FUN_1000f170,62
1000f1b0,_strncmp,56
1000f1f0,FUN_1000f1f0,58
1000f230,FUN_1000f230,512
1000f430,FUN_1000f430,130
1000f4c0,FUN_1000f4c0,186
1000f580,FUN_1000f580,804
1000f8b0,FUN_1000f8b0,116
1000f930,FUN_1000f930,287
1000fa50,FUN_1000fa50,69
1000faa0,FUN_1000faa0,172
1000fb50,FUN_1000fb50,43
1000fb80,FUN_1000fb80,155
1000fc20,FUN_1000fc20,79
1000fc70,FUN_1000fc70,135
1000fd00,FUN_1000fd00,77
1000fd50,crtGetLocaleInfoA,388
1000fee0,FUN_1000fee0,118
1000ff60,_GetPrimaryLen,101
