address,name,sizeBytes
10001005,thunk_FUN_10002610,5
1000100a,OnInit,5
1000100f,thunk_FUN_10001130,5
10001014,thunk_FUN_10001050,5
10001019,thunk_FUN_100010b0,5
1000101e,ProcessScenary,5
10001050,FUN_10001050,67
100010b0,FUN_100010b0,92
10001130,FUN_10001130,93
100011b0,FUN_100011b0,3336
10002200,FUN_10002200,830
10002610,FUN_10002610,63
100026c0,__chkesp,56
10002700,FUN_10002700,313
10002840,entry,243
10002940,__amsg_exit,58
10002980,FUN_10002980,11
10002990,FUN_10002990,87
100029f0,__CrtSetReportFile,126
10002a70,FUN_10002a70,28
10002a90,FUN_10002a90,912
10002e20,FUN_10002e20,780
10003130,FUN_10003130,56
10003170,FUN_10003170,21
10003190,__exit,21
100031b0,FUN_100031b0,19
100031d0,FUN_100031d0,19
100031f0,FUN_100031f0,227
100032e0,FUN_100032e0,15
100032f0,FUN_100032f0,15
10003300,__initterm,37
10003330,FUN_10003330,130
100033c0,FUN_100033c0,41
100033f0,FUN_100033f0,25
10003410,FUN_10003410,152
100034b0,FUN_100034b0,263
100035c0,FUN_100035c0,11
100035d0,FUN_100035d0,11
100035e0,FUN_100035e0,804
10003910,__ioterm,155
100039b0,FUN_100039b0,29
100039d0,FUN_100039d0,35
10003a00,FUN_10003a00,27
10003a20,FUN_10003a20,94
10003a80,FUN_10003a80,23
10003aa0,FUN_10003aa0,787
10003dc0,FUN_10003dc0,27
10003de0,__calloc_dbg,96
10003e40,FUN_10003e40,27
10003e60,FUN_10003e60,64
10003ea0,FUN_10003ea0,1297
100043c0,FUN_100043c0,27
100043e0,FUN_100043e0,64
10004420,FUN_10004420,19
10004440,FUN_10004440,19
10004460,FUN_10004460,41
10004490,FUN_10004490,1004
10004880,FUN_10004880,19
100048a0,FUN_100048a0,342
10004a00,FUN_10004a00,28
10004a20,FUN_10004a20,157
10004ac0,FUN_10004ac0,28
10004ae0,FUN_10004ae0,136
10004b70,FUN_10004b70,863
10004ee0,FUN_10004ee0,34
10004f10,FUN_10004f10,103
10004f80,FID_conflict:AtlIsValidAddress,75
10004fd0,FUN_10004fd0,134
10005060,FUN_10005060,227
10005150,FUN_10005150,28
10005170,FUN_10005170,362
100052e0,FUN_100052e0,291
10005410,FUN_10005410,697
100056d0,FUN_100056d0,276
100057f0,FUN_100057f0,116
10005870,FUN_10005870,197
10005940,FUN_10005940,329
10005a90,FUN_10005a90,216
10005b70,FUN_10005b70,1060
10005fa0,FUN_10005fa0,537
100061c0,FUN_100061c0,77
10006210,FUN_10006210,156
100062b0,__FF_MSGBANNER,73
10006300,FUN_10006300,447
100064c0,__GET_RTERRMSG,80
10006510,__itoa,66
10006560,xtoa,194
10006630,__ltoa,63
10006670,__ultoa,30
10006690,__i64toa,72
100066e0,x64toa,242
100067e0,__ui64toa,31
10006800,_strlen,123
10006880,FUN_10006880,249
10006980,FUN_10006980,7
10006990,FUN_10006990,224
10006a70,FUN_10006a70,243
10006b70,FUN_10006b70,47
10006ba0,FUN_10006ba0,507
10006dd0,FUN_10006dd0,146
10006e70,FUN_10006e70,522
100070b0,FUN_100070b0,91
10007110,FUN_10007110,13
10007120,FUN_10007120,13
10007130,FUN_10007130,187
100071f0,_strncpy,254
100072f0,FUN_100072f0,55
10007330,FUN_10007330,159
100073d0,FUN_100073d0,151
10007470,FUN_10007470,22
10007490,FUN_10007490,26
100074b0,__XcptFilter,446
10007670,FUN_10007670,89
100076d0,_set_new_handler,48
10007700,FUN_10007700,10
10007710,__callnewh,45
10007740,_memset,88
100077a0,FUN_100077a0,23
100077c0,__nh_malloc_base,87
10007820,FUN_10007820,109
10007890,FUN_10007890,10
100078a0,FUN_100078a0,173
10007950,FUN_10007950,490
10007b40,FUN_10007b40,104
10007bb0,FUN_10007bb0,116
10007c30,FUN_10007c30,10
10007c40,FUN_10007c40,10
10007c50,FUN_10007c50,31
10007c70,FUN_10007c70,89
10007cd0,FUN_10007cd0,85
10007d30,FUN_10007d30,95
10007d90,FUN_10007d90,1485
10008360,FUN_10008360,1334
100088a0,FUN_100088a0,271
100089b0,FUN_100089b0,494
10008ba0,FUN_10008ba0,1515
10009190,FUN_10009190,304
100092c0,FUN_100092c0,1565
100098e0,FUN_100098e0,250
100099e0,FUN_100099e0,183
10009aa0,FUN_10009aa0,836
10009df0,getSystemCP,89
10009e50,FUN_10009e50,80
10009ed0,setSBCS,116
10009f50,FUN_10009f50,770
1000a260,FUN_1000a260,23
1000a280,FUN_1000a280,34
1000a2b0,FUN_1000a2b0,664
1000a5f0,__aulldiv,104
1000a660,__aullrem,117
1000a6e0,FUN_1000a6e0,628
1000a960,FUN_1000a960,3108
1000b690,FUN_1000b690,119
1000b710,FUN_1000b710,53
1000b750,FUN_1000b750,74
1000b7a0,FUN_1000b7a0,26
1000b7c0,FUN_1000b7c0,31
1000b7e0,FUN_1000b7e0,27
1000b800,__dosmaperr,145
1000b8a0,FUN_1000b8a0,13
1000b8b0,FUN_1000b8b0,13
1000b8c0,FUN_1000b8c0,664
1000bc00,FUN_1000bc00,421
1000bdc0,FUN_1000bdc0,727
1000c0d0,FUN_1000c0d0,80
1000c120,FUN_1000c120,130
1000c1b0,FUN_1000c1b0,178
1000c270,FUN_1000c270,130
1000c300,FUN_1000c300,627
1000c580,FUN_1000c580,199
1000c650,__isatty,50
1000c690,FUN_1000c690,300
1000c7c0,FUN_1000c7c0,26
1000c7e0,FUN_1000c7e0,61
1000c820,FUN_1000c820,41
1000c850,FUN_1000c850,61
1000c890,FUN_1000c890,41
1000c8c0,FUN_1000c8c0,119
1000c940,FUN_1000c940,160
1000c9e0,__global_unwind2,32
1000ca22,__local_unwind2,104
1000cab6,FUN_1000cab6,24
1000cb95,FUN_1000cb95,27
1000cbb0,FUN_1000cbb0,482
1000cda0,__set_osfhnd,183
1000ce60,FUN_1000ce60,216
1000cf40,FUN_1000cf40,102
1000cfb0,FUN_1000cfb0,260
1000d0c0,FUN_1000d0c0,134
1000d150,__unlock_fhandle,38
1000d180,FUN_1000d180,218
1000d260,FUN_1000d260,68
1000d2b0,FUN_1000d2b0,65
1000d300,FUN_1000d300,183
1000d3c0,FUN_1000d3c0,15
1000d3d0,FUN_1000d3d0,319
1000d510,__fptrap,15
1000d520,FUN_1000d520,1007
1000d910,FUN_1000d910,403
1000dab0,FUN_1000dab0,256
1000dbb0,FUN_1000dbb0,388
1000dd40,FUN_1000dd40,7
1000dd50,__strcats,79
1000dda0,FUN_1000dda0,349
1000df00,___lc_lctostr,101
1000df70,FUN_1000df70,130
1000e000,FUN_1000e000,190
1000e0c0,FUN_1000e0c0,210
1000e1a0,___init_time,219
1000e280,FUN_1000e280,1423
1000e810,___free_lc_time,779
1000eb20,FUN_1000eb20,678
1000edd0,fix_grouping,125
1000ee50,FUN_1000ee50,304
1000ef80,FUN_1000ef80,525
1000f190,fix_grouping,125
1000f210,FUN_1000f210,147
1000f2b0,FUN_1000f2b0,928
1000f650,FUN_1000f650,7
1000f660,_strcmp,129
1000f6f0,FUN_1000f6f0,62
1000f730,_strncmp,56
1000f770,FUN_1000f770,58
1000f7b0,FUN_1000f7b0,512
1000f9b0,FUN_1000f9b0,130
1000fa40,FUN_1000fa40,186
1000fb00,FUN_1000fb00,804
1000fe30,FUN_1000fe30,116
1000feb0,FUN_1000feb0,287
1000ffd0,FUN_1000ffd0,69
10010020,FUN_10010020,172
100100d0,FUN_100100d0,43
10010100,FUN_10010100,155
100101a0,FUN_100101a0,79
100101f0,FUN_100101f0,135
10010280,FUN_10010280,77
100102d0,crtGetLocaleInfoA,388
10010460,FUN_10010460,118
100104e0,_GetPrimaryLen,101
10010550,FUN_10010550,122
100105d0,__close_lk,170
10010680,FUN_10010680,146
10010720,FUN_10010720,289
10010850,FUN_10010850,291
10010980,FUN_10010980,878
10010cf0,FUN_10010cf0,31
10010d10,FUN_10010d10,393
10010ea0,FUN_10010ea0,1389
100114c0,FID_conflict:_store_str,72
10011510,FUN_10011510,173
100115c0,FID_conflict:_store_number,172
10011670,FUN_10011670,1152
10011b90,FUN_10011b90,650
10011e20,FUN_10011e20,10
10011e30,FUN_10011e30,575
100120a0,FUN_100120a0,208
10012170,FUN_10012170,257
10012280,FUN_10012280,255
10012380,FUN_10012380,17
100123a0,FUN_100123a0,297
100124d0,FUN_100124d0,61
10012510,FUN_10012510,30
10012530,FUN_10012530,939
100128e0,FUN_100128e0,46
10012910,FUN_10012910,762
10012c10,FUN_10012c10,504
10012e10,FUN_10012e10,382
10012fb0,FUN_10012fb0,398
10013160,FUN_10013160,11
10013170,FUN_10013170,147
10013210,FUN_10013210,299
10013340,__allmul,52
10013380,FUN_10013380,46
100133b0,FID_conflict:__getenv_lk,198
10013480,__mbsnbicoll,79
100134d0,FUN_100134d0,174
10013580,FUN_10013580,970
10013980,FUN_10013980,80
100139d0,FUN_100139d0,736
10013cb0,findenv,124
10013d30,copy_environ,238
10013e20,FUN_10013e20,237
10013f20,_strchr,193
1001412c,RtlUnwind,6
