address,name,sizeBytes
10001005,thunk_FUN_100019e0,5
1000100a,OnInit,5
1000100f,thunk_FUN_10001530,5
10001014,thunk_FUN_100010b0,5
10001019,thunk_FUN_10001270,5
1000101e,thunk_FUN_10001630,5
10001023,thunk_FUN_10001110,5
10001028,ProcessScenary,5
1000102d,thunk_FUN_100017a0,5
10001032,thunk_FUN_100011b0,5
10001037,thunk_FUN_100018d0,5
1000103c,thunk_FUN_100013e0,5
10001046,thunk_FUN_10001470,5
100010b0,FUN_100010b0,67
10001110,FUN_10001110,127
100011b0,FUN_100011b0,143
10001270,FUN_10001270,293
100013e0,FUN_100013e0,107
10001470,FUN_10001470,154
10001530,FUN_10001530,198
10001630,FUN_10001630,119
100016d0,FUN_100016d0,160
100017a0,FUN_100017a0,181
10001890,FUN_10001890,51
100018d0,FUN_100018d0,108
10001960,FUN_10001960,96
100019e0,FUN_100019e0,63
10001a30,FUN_10001a30,1251
10002050,FUN_10002050,1785
100029e0,__chkesp,56
10002a20,FUN_10002a20,313
10002b60,entry,243
10002c60,__amsg_exit,58
10002ca0,FUN_10002ca0,11
10002cb0,FUN_10002cb0,87
10002d10,__CrtSetReportFile,126
10002d90,FUN_10002d90,28
10002db0,FUN_10002db0,912
10003140,FUN_10003140,780
10003450,FUN_10003450,56
10003490,FUN_10003490,21
100034b0,__exit,21
100034d0,FUN_100034d0,19
100034f0,FUN_100034f0,19
10003510,FUN_10003510,227
10003600,FUN_10003600,15
10003610,FUN_10003610,15
10003620,__initterm,37
10003650,FUN_10003650,130
100036e0,FUN_100036e0,41
10003710,FUN_10003710,25
10003730,FUN_10003730,152
100037d0,FUN_100037d0,263
100038e0,FUN_100038e0,11
100038f0,FUN_100038f0,11
10003900,FUN_10003900,804
10003c30,__ioterm,155
10003cd0,FUN_10003cd0,29
10003cf0,FUN_10003cf0,35
10003d20,FUN_10003d20,27
10003d40,FUN_10003d40,94
10003da0,FUN_10003da0,23
10003dc0,FUN_10003dc0,787
100040e0,FUN_100040e0,27
10004100,__calloc_dbg,96
10004160,FUN_10004160,27
10004180,FUN_10004180,64
100041c0,FUN_100041c0,1297
100046e0,FUN_100046e0,27
10004700,FUN_10004700,64
10004740,FUN_10004740,19
10004760,FUN_10004760,19
10004780,FUN_10004780,41
100047b0,FUN_100047b0,1004
10004ba0,FUN_10004ba0,19
10004bc0,FUN_10004bc0,342
10004d20,FUN_10004d20,28
10004d40,FUN_10004d40,157
10004de0,FUN_10004de0,28
10004e00,FUN_10004e00,136
10004e90,FUN_10004e90,863
10005200,FUN_10005200,34
10005230,FUN_10005230,103
100052a0,FID_conflict:AtlIsValidAddress,75
100052f0,FUN_100052f0,134
10005380,FUN_10005380,227
10005470,FUN_10005470,28
10005490,FUN_10005490,362
10005600,FUN_10005600,291
10005730,FUN_10005730,697
100059f0,FUN_100059f0,276
10005b10,FUN_10005b10,116
10005b90,FUN_10005b90,197
10005c60,FUN_10005c60,329
10005db0,FUN_10005db0,216
10005e90,FUN_10005e90,1060
100062c0,FUN_100062c0,537
100064e0,FUN_100064e0,77
10006530,FUN_10006530,156
100065d0,__FF_MSGBANNER,73
10006620,FUN_10006620,447
100067e0,__GET_RTERRMSG,80
10006830,__itoa,66
10006880,xtoa,194
10006950,__ltoa,63
10006990,__ultoa,30
100069b0,__i64toa,72
10006a00,x64toa,242
10006b00,__ui64toa,31
10006b20,_strlen,123
10006ba0,FUN_10006ba0,249
10006ca0,FUN_10006ca0,7
10006cb0,FUN_10006cb0,224
10006d90,FUN_10006d90,243
10006e90,FUN_10006e90,47
10006ec0,FUN_10006ec0,507
100070f0,FUN_100070f0,146
10007190,FUN_10007190,522
100073d0,FUN_100073d0,91
10007430,FUN_10007430,13
10007440,FUN_10007440,13
10007450,FUN_10007450,187
10007510,_strncpy,254
10007610,FUN_10007610,55
10007650,FUN_10007650,159
100076f0,FUN_100076f0,151
10007790,FUN_10007790,22
100077b0,FUN_100077b0,26
100077d0,__XcptFilter,446
10007990,FUN_10007990,89
100079f0,_set_new_handler,48
10007a20,FUN_10007a20,10
10007a30,__callnewh,45
10007a60,_memset,88
10007ac0,FUN_10007ac0,23
10007ae0,__nh_malloc_base,87
10007b40,FUN_10007b40,109
10007bb0,FUN_10007bb0,10
10007bc0,FUN_10007bc0,173
10007c70,FUN_10007c70,490
10007e60,FUN_10007e60,104
10007ed0,FUN_10007ed0,116
10007f50,FUN_10007f50,10
10007f60,FUN_10007f60,10
10007f70,FUN_10007f70,31
10007f90,FUN_10007f90,89
10007ff0,FUN_10007ff0,85
10008050,FUN_10008050,95
100080b0,FUN_100080b0,1485
10008680,FUN_10008680,1334
10008bc0,FUN_10008bc0,271
10008cd0,FUN_10008cd0,494
10008ec0,FUN_10008ec0,1515
100094b0,FUN_100094b0,304
