address,name,sizeBytes
12c01005,thunk_FUN_10001a00,5
12c0100a,OnInit,5
12c0100f,thunk_FUN_10001140,5
12c01014,thunk_FUN_10001a50,5
12c01019,thunk_FUN_10001060,5
12c0101e,thunk_FUN_100011c0,5
12c01023,thunk_FUN_100010c0,5
12c01028,ProcessScenary,5
12c0102d,thunk_FUN_10001230,5
12c01060,FUN_10001060,67
12c010c0,FUN_100010c0,92
12c01140,FUN_10001140,93
12c011c0,FUN_100011c0,90
12c01230,FUN_10001230,90
12c012a0,FUN_100012a0,401
12c014a0,FUN_100014a0,1093
12c01a00,FUN_10001a00,63
12c01a50,FUN_10001a50,67
12c01b10,__chkesp,56
12c01b50,FUN_10001b50,313
12c01c90,entry,243
12c01d90,__amsg_exit,58
12c01dd0,FUN_10001dd0,11
12c01de0,FUN_10001de0,87
12c01e40,__CrtSetReportFile,126
12c01ec0,FUN_10001ec0,28
12c01ee0,FUN_10001ee0,912
12c02270,FUN_10002270,780
12c02580,FUN_10002580,56
12c025c0,FUN_100025c0,21
12c025e0,__exit,21
12c02600,FUN_10002600,19
12c02620,FUN_10002620,19
12c02640,FUN_10002640,227
12c02730,FUN_10002730,15
12c02740,FUN_10002740,15
12c02750,__initterm,37
12c02780,FUN_10002780,130
12c02810,FUN_10002810,41
12c02840,FUN_10002840,25
12c02860,FUN_10002860,152
12c02900,FUN_10002900,263
12c02a10,FUN_10002a10,11
12c02a20,FUN_10002a20,11
12c02a30,FUN_10002a30,804
12c02d60,__ioterm,155
12c02e00,FUN_10002e00,29
12c02e20,FUN_10002e20,35
12c02e50,FUN_10002e50,27
12c02e70,FUN_10002e70,94
12c02ed0,FUN_10002ed0,23
12c02ef0,FUN_10002ef0,787
12c03210,FUN_10003210,27
12c03230,__calloc_dbg,96
12c03290,FUN_10003290,27
12c032b0,FUN_100032b0,64
12c032f0,FUN_100032f0,1297
12c03810,FUN_10003810,27
12c03830,FUN_10003830,64
12c03870,FUN_10003870,19
12c03890,FUN_10003890,19
12c038b0,FUN_100038b0,41
12c038e0,FUN_100038e0,1004
12c03cd0,FUN_10003cd0,19
12c03cf0,FUN_10003cf0,342
12c03e50,FUN_10003e50,28
