address,name,sizeBytes
10001005,thunk_FUN_100017a0,5
1000100a,OnInit,5
1000100f,thunk_FUN_10001130,5
10001014,thunk_FUN_10001050,5
10001019,thunk_FUN_100010b0,5
1000101e,ProcessScenary,5
10001050,FUN_10001050,67
100010b0,FUN_100010b0,92
10001130,FUN_10001130,93
100011b0,FUN_100011b0,376
10001390,FUN_10001390,830
100017a0,FUN_100017a0,63
10001840,__chkesp,56
10001880,FUN_10001880,313
100019c0,entry,243
10001ac0,__amsg_exit,58
10001b00,FUN_10001b00,11
10001b10,FUN_10001b10,87
10001b70,__CrtSetReportFile,126
10001bf0,FUN_10001bf0,28
10001c10,FUN_10001c10,912
10001fa0,FUN_10001fa0,780
100022b0,FUN_100022b0,56
100022f0,FUN_100022f0,21
10002310,__exit,21
10002330,FUN_10002330,19
10002350,FUN_10002350,19
10002370,FUN_10002370,227
10002460,FUN_10002460,15
10002470,FUN_10002470,15
10002480,__initterm,37
100024b0,FUN_100024b0,130
10002540,FUN_10002540,41
10002570,FUN_10002570,25
10002590,FUN_10002590,152
10002630,FUN_10002630,263
10002740,FUN_10002740,11
10002750,FUN_10002750,11
10002760,FUN_10002760,804
10002a90,__ioterm,155
10002b30,FUN_10002b30,29
10002b50,FUN_10002b50,35
10002b80,FUN_10002b80,27
10002ba0,FUN_10002ba0,94
10002c00,FUN_10002c00,23
10002c20,FUN_10002c20,787
10002f40,FUN_10002f40,27
10002f60,__calloc_dbg,96
10002fc0,FUN_10002fc0,27
10002fe0,FUN_10002fe0,64
10003020,FUN_10003020,1297
10003540,FUN_10003540,27
10003560,FUN_10003560,64
100035a0,FUN_100035a0,19
100035c0,FUN_100035c0,19
100035e0,FUN_100035e0,41
10003610,FUN_10003610,1004
10003a00,FUN_10003a00,19
10003a20,FUN_10003a20,342
10003b80,FUN_10003b80,28
10003ba0,FUN_10003ba0,157
10003c40,FUN_10003c40,28
10003c60,FUN_10003c60,136
10003cf0,FUN_10003cf0,863
10004060,FUN_10004060,34
10004090,FUN_10004090,103
10004100,FID_conflict:AtlIsValidAddress,75
10004150,FUN_10004150,134
100041e0,FUN_100041e0,227
100042d0,FUN_100042d0,28
100042f0,FUN_100042f0,362
10004460,FUN_10004460,291
10004590,FUN_10004590,697
10004850,FUN_10004850,276
10004970,FUN_10004970,116
100049f0,FUN_100049f0,197
10004ac0,FUN_10004ac0,329
10004c10,FUN_10004c10,216
10004cf0,FUN_10004cf0,1060
10005120,FUN_10005120,537
10005340,FUN_10005340,77
10005390,FUN_10005390,156
10005430,__FF_MSGBANNER,73
10005480,FUN_10005480,447
10005640,__GET_RTERRMSG,80
10005690,__itoa,66
100056e0,xtoa,194
100057b0,__ltoa,63
100057f0,__ultoa,30
10005810,__i64toa,72
10005860,x64toa,242
10005960,__ui64toa,31
10005980,_strlen,123
10005a00,FUN_10005a00,249
10005b00,FUN_10005b00,7
10005b10,FUN_10005b10,224
10005bf0,FUN_10005bf0,243
10005cf0,FUN_10005cf0,47
10005d20,FUN_10005d20,507
10005f50,FUN_10005f50,146
10005ff0,FUN_10005ff0,522
10006230,FUN_10006230,91
10006290,FUN_10006290,13
100062a0,FUN_100062a0,13
100062b0,FUN_100062b0,187
10006370,_strncpy,254
10006470,FUN_10006470,55
100064b0,FUN_100064b0,159
10006550,FUN_10006550,151
100065f0,FUN_100065f0,22
10006610,FUN_10006610,26
10006630,__XcptFilter,446
100067f0,FUN_100067f0,89
10006850,_set_new_handler,48
10006880,FUN_10006880,10
10006890,__callnewh,45
100068c0,_memset,88
10006920,FUN_10006920,23
10006940,__nh_malloc_base,87
100069a0,FUN_100069a0,109
10006a10,FUN_10006a10,10
10006a20,FUN_10006a20,173
10006ad0,FUN_10006ad0,490
10006cc0,FUN_10006cc0,104
10006d30,FUN_10006d30,116
10006db0,FUN_10006db0,10
10006dc0,FUN_10006dc0,10
10006dd0,FUN_10006dd0,31
