address,name,sizeBytes
10001000,FUN_10001000,20
10001020,OnInit,938
100013d0,ProcessScenary,5079
100027b0,FUN_100027b0,23
100027c8,FUN_100027c8,56
10002800,FUN_10002800,217
100028d9,entry,157
10002976,__amsg_exit,48
100029a9,FUN_100029a9,18
100029bb,FUN_100029bb,62
100029f9,FUN_100029f9,41
10002a22,FUN_10002a22,90
10002ae2,__fassign,62
10002b20,FUN_10002b20,97
10002b81,FUN_10002b81,194
10002c43,FUN_10002c43,85
10002c98,FUN_10002c98,167
10002d3f,FUN_10002d3f,147
10002dd2,__cfltcvt,81
10002e23,FUN_10002e23,37
10002e48,FUN_10002e48,45
10002e75,__exit,17
10002e86,FUN_10002e86,15
10002e95,FUN_10002e95,163
10002f3a,FUN_10002f3a,9
10002f43,FUN_10002f43,9
10002f4c,FUN_10002f4c,26
10002f66,FUN_10002f66,84
10002fba,FUN_10002fba,30
10002fd8,FUN_10002fd8,19
10002feb,FUN_10002feb,160
1000308b,FUN_1000308b,444
10003247,FUN_10003247,84
1000329b,FUN_1000329b,185
10003354,FUN_10003354,153
100033ed,FUN_100033ed,436
100035a1,FUN_100035a1,306
100036d3,FUN_100036d3,60
1000370f,FUN_1000370f,117
10003784,FUN_10003784,57
100037bd,FUN_100037bd,339
10003910,FUN_10003910,53
10003945,FUN_10003945,22
1000395b,FUN_1000395b,146
100039ed,FUN_100039ed,137
10003a76,FUN_10003a76,117
10003aeb,FUN_10003aeb,111
10003b5a,FUN_10003b5a,203
10003c25,FUN_10003c25,73
10003c6e,FUN_10003c6e,86
10003cc4,FUN_10003cc4,140
10003d50,FUN_10003d50,27
10003d6b,FUN_10003d6b,12
10003d77,FUN_10003d77,27
10003d92,FUN_10003d92,141
10003e1f,FUN_10003e1f,364
10003f8b,FUN_10003f8b,22
10003fa1,FUN_10003fa1,22
10003fb7,FUN_10003fb7,45
10003fe4,FUN_10003fe4,45
10004011,FUN_10004011,119
10004088,FUN_10004088,92
100040e4,FUN_100040e4,182
100041a0,FUN_100041a0,7
100041b0,FUN_100041b0,224
10004290,_memset,88
100042f0,FUN_100042f0,664
10004630,_strlen,123
100046b4,FUN_100046b4,41
100046dd,FUN_100046dd,108
10004749,FUN_10004749,97
100047aa,FUN_100047aa,21
100047bf,FUN_100047bf,141
1000484c,FUN_1000484c,72
10004894,_malloc,18
100048a6,__nh_malloc,44
100048d2,FUN_100048d2,78
10004920,FUN_10004920,429
10004acd,FUN_10004acd,74
10004b17,FUN_10004b17,51
10004b4a,FUN_10004b4a,41
10004b73,FUN_10004b73,389
10004cf8,FUN_10004cf8,28
10004d20,FUN_10004d20,664
10005055,FUN_10005055,62
10005093,FUN_10005093,43
100050be,FUN_100050be,811
100053e9,FUN_100053e9,777
100056f2,FUN_100056f2,177
100057a3,FUN_100057a3,251
1000589e,FUN_1000589e,137
10005930,_strncpy,254
10005a2e,FUN_10005a2e,318
10005b77,FUN_10005b77,511
10005d9b,FUN_10005d9b,43
10005dc6,FUN_10005dc6,33
10005de7,___add_12,94
10005e45,FUN_10005e45,46
10005e73,FUN_10005e73,45
10005ea0,FUN_10005ea0,199
10005f67,FUN_10005f67,1185
10006438,FUN_10006438,659
100066cb,FUN_100066cb,27
100066e8,__global_unwind2,32
1000672a,__local_unwind2,104
100067be,FUN_100067be,24
1000689d,FUN_1000689d,27
100068c0,FUN_100068c0,47
10006980,FUN_10006980,62
100069c0,_strncmp,56
10006a00,FUN_10006a00,58
10006a3a,FUN_10006a3a,544
10006c5a,FUN_10006c5a,124
10006ce0,FUN_10006ce0,208
10006db0,FUN_10006db0,257
100070bc,RtlUnwind,6
