address,name,sizeBytes
10001005,thunk_FUN_10001b50,5
1000100a,OnInit,5
1000100f,thunk_FUN_10001030,5
10001014,ProcessScenary,5
10001030,FUN_10001030,67
10001090,FUN_10001090,455
100012d0,FUN_100012d0,1733
10001b50,FUN_10001b50,63
10001c00,__chkesp,56
10001c40,FUN_10001c40,313
10001d80,entry,243
10001e80,__amsg_exit,58
10001ec0,FUN_10001ec0,11
10001ed0,FUN_10001ed0,87
10001f30,__CrtSetReportFile,126
10001fb0,FUN_10001fb0,28
10001fd0,FUN_10001fd0,912
10002360,FUN_10002360,780
10002670,FUN_10002670,56
100026b0,FUN_100026b0,21
100026d0,__exit,21
100026f0,FUN_100026f0,19
10002710,FUN_10002710,19
10002730,FUN_10002730,227
10002820,FUN_10002820,15
10002830,FUN_10002830,15
10002840,__initterm,37
10002870,FUN_10002870,130
10002900,FUN_10002900,41
10002930,FUN_10002930,25
10002950,FUN_10002950,152
100029f0,FUN_100029f0,263
10002b00,FUN_10002b00,11
10002b10,FUN_10002b10,11
10002b20,FUN_10002b20,804
10002e50,__ioterm,155
10002ef0,FUN_10002ef0,29
10002f10,FUN_10002f10,35
10002f40,FUN_10002f40,27
10002f60,FUN_10002f60,94
10002fc0,FUN_10002fc0,23
10002fe0,FUN_10002fe0,787
10003300,FUN_10003300,27
10003320,__calloc_dbg,96
10003380,FUN_10003380,27
100033a0,FUN_100033a0,64
100033e0,FUN_100033e0,1297
10003900,FUN_10003900,27
10003920,FUN_10003920,64
10003960,FUN_10003960,19
10003980,FUN_10003980,19
100039a0,FUN_100039a0,41
100039d0,FUN_100039d0,1004
10003dc0,FUN_10003dc0,19
10003de0,FUN_10003de0,342
10003f40,FUN_10003f40,28
10003f60,FUN_10003f60,157
10004000,FUN_10004000,28
10004020,FUN_10004020,136
100040b0,FUN_100040b0,234
1000419a,caseD_fffffffa,64
10004420,FUN_10004420,34
10004450,FUN_10004450,103
100044c0,FID_conflict:AtlIsValidAddress,75
10004510,FUN_10004510,134
100045a0,FUN_100045a0,227
10004690,FUN_10004690,28
100046b0,FUN_100046b0,362
10004820,FUN_10004820,291
10004950,FUN_10004950,697
10004c10,FUN_10004c10,276
10004d30,FUN_10004d30,116
10004db0,FUN_10004db0,197
10004e80,FUN_10004e80,329
10004fd0,FUN_10004fd0,216
100050b0,FUN_100050b0,1060
100054e0,FUN_100054e0,537
10005700,FUN_10005700,77
10005750,FUN_10005750,156
100057f0,__FF_MSGBANNER,73
10005840,FUN_10005840,447
10005a00,__GET_RTERRMSG,80
10005a50,__itoa,66
10005aa0,xtoa,194
10005b70,__ltoa,63
10005bb0,__ultoa,30
10005bd0,__i64toa,72
10005c20,x64toa,242
10005d20,__ui64toa,31
10005d40,_strlen,123
10005dc0,FUN_10005dc0,249
10005ec0,FUN_10005ec0,7
10005ed0,FUN_10005ed0,224
10005fb0,FUN_10005fb0,243
100060b0,FUN_100060b0,47
100060e0,FUN_100060e0,448
10006196,caseD_2,40
100062c8,FUN_100062c8,19
10006310,FUN_10006310,146
100063b0,FUN_100063b0,56
100063e8,caseD_2,337
100065f0,FUN_100065f0,91
10006650,FUN_10006650,13
10006660,FUN_10006660,13
10006670,FUN_10006670,187
10006730,_strncpy,254
10006830,FUN_10006830,55
10006870,FUN_10006870,159
10006910,FUN_10006910,151
100069b0,FUN_100069b0,22
100069d0,FUN_100069d0,26
100069f0,__XcptFilter,446
10006bb0,FUN_10006bb0,89
10006c10,_set_new_handler,48
10006c40,FUN_10006c40,10
10006c50,__callnewh,45
10006c80,_memset,88
10006ce0,FUN_10006ce0,23
10006d00,__nh_malloc_base,87
10006d60,FUN_10006d60,109
10006dd0,FUN_10006dd0,10
10006de0,FUN_10006de0,173
10006e90,FUN_10006e90,490
10007080,FUN_10007080,104
100070f0,FUN_100070f0,116
10007170,FUN_10007170,10
10007180,FUN_10007180,10
10007190,FUN_10007190,31
100071b0,FUN_100071b0,89
10007210,FUN_10007210,85
10007270,FUN_10007270,95
100072d0,FUN_100072d0,1485
100078a0,FUN_100078a0,1334
10007de0,FUN_10007de0,271
10007ef0,FUN_10007ef0,494
100080e0,FUN_100080e0,1515
100086d0,FUN_100086d0,304
10008800,FUN_10008800,1565
10008e20,FUN_10008e20,250
10008f20,FUN_10008f20,183
10008fe0,FUN_10008fe0,836
10009330,getSystemCP,89
10009390,FUN_10009390,46
100093be,caseD_3a4,11
10009410,setSBCS,116
10009490,FUN_10009490,770
100097a0,FUN_100097a0,23
100097c0,FUN_100097c0,34
100097f0,FUN_100097f0,176
10009860,caseD_1,166
10009948,caseD_0,7
100099e8,caseD_1,160
10009ae0,caseD_0,7
10009b30,__aulldiv,104
10009ba0,__aullrem,117
10009c20,FUN_10009c20,628
10009ea0,FUN_10009ea0,192
10009f60,caseD_0,2916
1000abd0,FUN_1000abd0,119
1000ac50,FUN_1000ac50,53
1000ac90,FUN_1000ac90,74
1000ace0,FUN_1000ace0,26
1000ad00,FUN_1000ad00,31
1000ad20,FUN_1000ad20,27
1000ad40,__dosmaperr,145
1000ade0,FUN_1000ade0,13
1000adf0,FUN_1000adf0,13
1000ae00,FUN_1000ae00,176
1000ae70,caseD_1,166
1000af58,caseD_0,7
1000aff8,caseD_1,160
1000b0f0,caseD_0,7
1000b140,FUN_1000b140,421
1000b300,FUN_1000b300,727
1000b610,FUN_1000b610,80
1000b660,FUN_1000b660,130
1000b6f0,FUN_1000b6f0,178
1000b7b0,FUN_1000b7b0,130
1000b840,FUN_1000b840,627
1000bac0,FUN_1000bac0,199
1000bb90,__isatty,50
1000bbd0,FUN_1000bbd0,300
1000bd00,FUN_1000bd00,26
1000bd20,FUN_1000bd20,61
1000bd60,FUN_1000bd60,41
1000bd90,FUN_1000bd90,61
1000bdd0,FUN_1000bdd0,41
1000be00,FUN_1000be00,119
1000be80,FUN_1000be80,160
1000bf20,__global_unwind2,32
1000bf62,__local_unwind2,104
1000bff6,FUN_1000bff6,24
1000c0d5,FUN_1000c0d5,27
1000c0f0,FUN_1000c0f0,482
1000c2e0,__set_osfhnd,183
1000c3a0,FUN_1000c3a0,216
1000c480,FUN_1000c480,102
1000c4f0,FUN_1000c4f0,260
1000c600,FUN_1000c600,134
1000c690,__unlock_fhandle,38
1000c6c0,FUN_1000c6c0,218
1000c7a0,FUN_1000c7a0,68
1000c7f0,FUN_1000c7f0,65
1000c840,FUN_1000c840,183
1000c900,FUN_1000c900,15
1000c910,FUN_1000c910,319
1000ca50,__fptrap,15
1000ca60,FUN_1000ca60,1007
1000ce50,FUN_1000ce50,403
1000cff0,FUN_1000cff0,256
1000d0f0,FUN_1000d0f0,388
1000d280,FUN_1000d280,7
1000d290,__strcats,79
1000d2e0,FUN_1000d2e0,349
1000d440,___lc_lctostr,101
1000d4b0,FUN_1000d4b0,130
1000d540,FUN_1000d540,190
1000d600,FUN_1000d600,210
1000d6e0,___init_time,219
1000d7c0,FUN_1000d7c0,1423
1000dd50,___free_lc_time,779
1000e060,FUN_1000e060,678
1000e310,fix_grouping,125
1000e390,FUN_1000e390,304
1000e4c0,FUN_1000e4c0,525
1000e6d0,fix_grouping,125
1000e750,FUN_1000e750,147
1000e7f0,FUN_1000e7f0,928
1000eb90,FUN_1000eb90,7
1000eba0,_strcmp,129
1000ec30,FUN_1000ec30,62
1000ec70,_strncmp,56
1000ecb0,FUN_1000ecb0,58
1000ecf0,FUN_1000ecf0,512
1000eef0,FUN_1000eef0,130
1000ef80,FUN_1000ef80,186
1000f040,FUN_1000f040,804
1000f370,FUN_1000f370,116
1000f3f0,FUN_1000f3f0,287
1000f510,FUN_1000f510,69
1000f560,FUN_1000f560,172
1000f610,FUN_1000f610,43
1000f640,FUN_1000f640,155
1000f6e0,FUN_1000f6e0,79
1000f730,FUN_1000f730,135
1000f7c0,FUN_1000f7c0,77
1000f810,crtGetLocaleInfoA,388
1000f9a0,FUN_1000f9a0,118
1000fa20,_GetPrimaryLen,101
1000fa90,FUN_1000fa90,122
1000fb10,__close_lk,170
1000fbc0,FUN_1000fbc0,146
1000fc60,FUN_1000fc60,289
1000fd90,FUN_1000fd90,291
1000fec0,FUN_1000fec0,878
10010230,FUN_10010230,31
10010250,FUN_10010250,393
100103e0,FUN_100103e0,1389
10010a00,FID_conflict:_store_str,72
10010a50,FUN_10010a50,173
10010b00,FID_conflict:_store_number,172
10010bb0,FUN_10010bb0,1152
100110d0,FUN_100110d0,650
10011360,FUN_10011360,10
10011370,FUN_10011370,575
100115e0,FUN_100115e0,208
100116b0,FUN_100116b0,257
100117c0,FUN_100117c0,255
100118c0,FUN_100118c0,17
100118e0,FUN_100118e0,297
10011a10,FUN_10011a10,61
10011a50,FUN_10011a50,30
10011a70,FUN_10011a70,939
10011e20,FUN_10011e20,46
10011e50,FUN_10011e50,762
10012150,FUN_10012150,504
10012350,FUN_10012350,382
100124f0,FUN_100124f0,398
100126a0,FUN_100126a0,11
100126b0,FUN_100126b0,147
10012750,FUN_10012750,299
10012880,__allmul,52
100128c0,FUN_100128c0,46
100128f0,FID_conflict:__getenv_lk,198
100129c0,__mbsnbicoll,79
10012a10,FUN_10012a10,174
10012ac0,FUN_10012ac0,970
10012ec0,FUN_10012ec0,80
10012f10,FUN_10012f10,736
100131f0,findenv,124
