address,name,sizeBytes
104e1005,thunk_FUN_10001e00,5
104e100a,OnInit,5
104e100f,thunk_FUN_10001e50,5
104e1014,thunk_FUN_10001040,5
104e1019,ProcessScenary,5
104e1040,FUN_10001040,67
104e10a0,FUN_100010a0,626
104e13b0,FUN_100013b0,2103
104e1e00,FUN_10001e00,63
104e1e50,FUN_10001e50,67
104e1f10,__chkesp,56
104e1f50,FUN_10001f50,313
104e2090,entry,243
104e2190,__amsg_exit,58
104e21d0,FUN_100021d0,11
104e21e0,FUN_100021e0,87
104e2240,__CrtSetReportFile,126
104e22c0,FUN_100022c0,28
104e22e0,FUN_100022e0,912
104e2670,FUN_10002670,780
104e2980,FUN_10002980,56
104e29c0,FUN_100029c0,21
104e29e0,__exit,21
104e2a00,FUN_10002a00,19
104e2a20,FUN_10002a20,19
104e2a40,FUN_10002a40,227
104e2b30,FUN_10002b30,15
104e2b40,FUN_10002b40,15
104e2b50,__initterm,37
104e2b80,FUN_10002b80,130
104e2c10,FUN_10002c10,41
104e2c40,FUN_10002c40,25
104e2c60,FUN_10002c60,152
104e2d00,FUN_10002d00,263
104e2e10,FUN_10002e10,11
104e2e20,FUN_10002e20,11
104e2e30,FUN_10002e30,804
104e3160,__ioterm,155
104e3200,FUN_10003200,29
104e3220,FUN_10003220,35
104e3250,FUN_10003250,27
104e3270,FUN_10003270,94
104e32d0,FUN_100032d0,23
104e32f0,FUN_100032f0,787
104e3610,FUN_10003610,27
104e3630,__calloc_dbg,96
104e3690,FUN_10003690,27
104e36b0,FUN_100036b0,64
104e36f0,FUN_100036f0,1297
104e3c10,FUN_10003c10,27
104e3c30,FUN_10003c30,64
104e3c70,FUN_10003c70,19
104e3c90,FUN_10003c90,19
104e3cb0,FUN_10003cb0,41
104e3ce0,FUN_10003ce0,1004
104e40d0,FUN_100040d0,19
104e40f0,FUN_100040f0,342
104e4250,FUN_10004250,28
104e4270,FUN_10004270,157
104e4310,FUN_10004310,28
104e4330,FUN_10004330,136
104e43c0,FUN_100043c0,863
104e4730,FUN_10004730,34
104e4760,FUN_10004760,103
104e47d0,FID_conflict:AtlIsValidAddress,75
104e4820,FUN_10004820,134
104e48b0,FUN_100048b0,227
104e49a0,FUN_100049a0,28
104e49c0,FUN_100049c0,362
104e4b30,FUN_10004b30,291
104e4c60,FUN_10004c60,697
104e4f20,FUN_10004f20,276
104e5040,FUN_10005040,116
104e50c0,FUN_100050c0,197
104e5190,FUN_10005190,329
104e52e0,FUN_100052e0,216
104e53c0,FUN_100053c0,1060
104e57f0,FUN_100057f0,537
104e5a10,FUN_10005a10,77
104e5a60,FUN_10005a60,156
104e5b00,__FF_MSGBANNER,73
104e5b50,FUN_10005b50,447
104e5d10,__GET_RTERRMSG,80
104e5d60,__itoa,66
104e5db0,xtoa,194
104e5e80,__ltoa,63
104e5ec0,__ultoa,30
104e5ee0,__i64toa,72
104e5f30,x64toa,242
104e6030,__ui64toa,31
104e6050,_strlen,123
104e60d0,FUN_100060d0,249
104e61d0,FUN_100061d0,7
104e61e0,FUN_100061e0,224
104e62c0,FUN_100062c0,243
104e63c0,FUN_100063c0,47
104e63f0,FUN_100063f0,507
104e6620,FUN_10006620,146
104e66c0,FUN_100066c0,522
104e6900,FUN_10006900,91
104e6960,FUN_10006960,13
104e6970,FUN_10006970,13
104e6980,FUN_10006980,187
104e6a40,_strncpy,254
104e6b40,FUN_10006b40,55
104e6b80,FUN_10006b80,159
104e6c20,FUN_10006c20,151
104e6cc0,FUN_10006cc0,22
104e6ce0,FUN_10006ce0,26
104e6d00,__XcptFilter,446
104e6ec0,FUN_10006ec0,89
104e6f20,_set_new_handler,48
104e6f50,FUN_10006f50,10
104e6f60,__callnewh,45
104e6f90,_memset,88
104e6ff0,FUN_10006ff0,23
104e7010,__nh_malloc_base,87
104e7070,FUN_10007070,109
104e70e0,FUN_100070e0,10
104e70f0,FUN_100070f0,173
104e71a0,FUN_100071a0,490
104e7390,FUN_10007390,104
104e7400,FUN_10007400,116
104e7480,FUN_10007480,10
104e7490,FUN_10007490,10
104e74a0,FUN_100074a0,31
104e74c0,FUN_100074c0,89
104e7520,FUN_10007520,85
104e7580,FUN_10007580,95
104e75e0,FUN_100075e0,1485
104e7bb0,FUN_10007bb0,1334
104e80f0,FUN_100080f0,271
104e8200,FUN_10008200,494
104e83f0,FUN_100083f0,1515
104e89e0,FUN_100089e0,304
104e8b10,FUN_10008b10,1565
104e9130,FUN_10009130,250
104e9230,FUN_10009230,183
104e92f0,FUN_100092f0,836
104e9640,getSystemCP,89
104e96a0,FUN_100096a0,80
104e9720,setSBCS,116
104e97a0,FUN_100097a0,770
104e9ab0,FUN_10009ab0,23
104e9ad0,FUN_10009ad0,34
104e9b00,FUN_10009b00,664
104e9e40,__aulldiv,104
104e9eb0,__aullrem,117
104e9f30,FUN_10009f30,628
104ea1b0,FUN_1000a1b0,3108
104eaee0,FUN_1000aee0,119
104eaf60,FUN_1000af60,53
104eafa0,FUN_1000afa0,74
104eaff0,FUN_1000aff0,26
104eb010,FUN_1000b010,31
104eb030,FUN_1000b030,27
104eb050,__dosmaperr,145
104eb0f0,FUN_1000b0f0,13
104eb100,FUN_1000b100,13
104eb110,FUN_1000b110,664
104eb450,FUN_1000b450,421
104eb610,FUN_1000b610,727
104eb920,FUN_1000b920,80
104eb970,FUN_1000b970,130
104eba00,FUN_1000ba00,178
104ebac0,FUN_1000bac0,130
104ebb50,FUN_1000bb50,627
104ebdd0,FUN_1000bdd0,199
104ebea0,__isatty,50
104ebee0,FUN_1000bee0,300
104ec010,FUN_1000c010,26
104ec030,FUN_1000c030,61
104ec070,FUN_1000c070,41
104ec0a0,FUN_1000c0a0,61
104ec0e0,FUN_1000c0e0,41
104ec110,FUN_1000c110,119
104ec190,FUN_1000c190,160
104ec230,__global_unwind2,32
104ec272,__local_unwind2,104
104ec306,FUN_1000c306,24
104ec3e5,FUN_1000c3e5,27
104ec400,FUN_1000c400,482
104ec5f0,__set_osfhnd,183
104ec6b0,FUN_1000c6b0,216
104ec790,FUN_1000c790,102
