address,name,sizeBytes
10761005,thunk_FUN_100034b0,5
1076100a,OnInit,5
1076100f,thunk_FUN_10003500,5
10761014,thunk_FUN_10001040,5
10761019,ProcessScenary,5
10761040,FUN_10001040,67
107610a0,FUN_100010a0,1096
10761600,FUN_10001600,6276
107634b0,FUN_100034b0,63
10763500,FUN_10003500,67
10763630,__chkesp,56
10763670,FUN_10003670,313
107637b0,entry,243
107638b0,__amsg_exit,58
107638f0,FUN_100038f0,11
10763900,FUN_10003900,87
10763960,__CrtSetReportFile,126
107639e0,FUN_100039e0,28
10763a00,FUN_10003a00,912
10763d90,FUN_10003d90,780
107640a0,FUN_100040a0,56
107640e0,FUN_100040e0,21
10764100,__exit,21
10764120,FUN_10004120,19
10764140,FUN_10004140,19
10764160,FUN_10004160,227
10764250,FUN_10004250,15
10764260,FUN_10004260,15
10764270,__initterm,37
107642a0,FUN_100042a0,130
10764330,FUN_10004330,41
10764360,FUN_10004360,25
10764380,FUN_10004380,152
10764420,FUN_10004420,263
10764530,FUN_10004530,11
10764540,FUN_10004540,11
10764550,FUN_10004550,804
10764880,__ioterm,155
10764920,FUN_10004920,29
10764940,FUN_10004940,35
10764970,FUN_10004970,27
10764990,FUN_10004990,94
107649f0,FUN_100049f0,23
10764a10,FUN_10004a10,787
10764d30,FUN_10004d30,27
10764d50,__calloc_dbg,96
10764db0,FUN_10004db0,27
10764dd0,FUN_10004dd0,64
10764e10,FUN_10004e10,1297
10765330,FUN_10005330,27
10765350,FUN_10005350,64
10765390,FUN_10005390,19
107653b0,FUN_100053b0,19
107653d0,FUN_100053d0,41
10765400,FUN_10005400,1004
107657f0,FUN_100057f0,19
10765810,FUN_10005810,342
10765970,FUN_10005970,28
10765990,FUN_10005990,157
10765a30,FUN_10005a30,28
10765a50,FUN_10005a50,136
10765ae0,FUN_10005ae0,863
10765e50,FUN_10005e50,34
10765e80,FUN_10005e80,103
10765ef0,FID_conflict:AtlIsValidAddress,75
10765f40,FUN_10005f40,134
10765fd0,FUN_10005fd0,227
107660c0,FUN_100060c0,28
107660e0,FUN_100060e0,362
10766250,FUN_10006250,291
10766380,FUN_10006380,697
10766640,FUN_10006640,276
10766760,FUN_10006760,116
107667e0,FUN_100067e0,197
107668b0,FUN_100068b0,329
10766a00,FUN_10006a00,216
10766ae0,FUN_10006ae0,1060
10766f10,FUN_10006f10,537
10767130,FUN_10007130,77
10767180,FUN_10007180,156
10767220,__FF_MSGBANNER,73
10767270,FUN_10007270,447
10767430,__GET_RTERRMSG,80
10767480,__itoa,66
107674d0,xtoa,194
107675a0,__ltoa,63
107675e0,__ultoa,30
10767600,__i64toa,72
10767650,x64toa,242
10767750,__ui64toa,31
10767770,_strlen,123
107677f0,FUN_100077f0,249
107678f0,FUN_100078f0,7
10767900,FUN_10007900,224
107679e0,FUN_100079e0,243
10767ae0,FUN_10007ae0,47
10767b10,FUN_10007b10,507
10767d40,FUN_10007d40,146
10767de0,FUN_10007de0,522
10768020,FUN_10008020,91
10768080,FUN_10008080,13
10768090,FUN_10008090,13
107680a0,FUN_100080a0,187
10768160,_strncpy,254
10768260,FUN_10008260,55
107682a0,FUN_100082a0,159
10768340,FUN_10008340,151
107683e0,FUN_100083e0,22
10768400,FUN_10008400,26
10768420,__XcptFilter,446
107685e0,FUN_100085e0,89
10768640,_set_new_handler,48
10768670,FUN_10008670,10
10768680,__callnewh,45
107686b0,_memset,88
10768710,FUN_10008710,23
10768730,__nh_malloc_base,87
10768790,FUN_10008790,109
10768800,FUN_10008800,10
10768810,FUN_10008810,173
107688c0,FUN_100088c0,490
10768ab0,FUN_10008ab0,104
10768b20,FUN_10008b20,116
10768ba0,FUN_10008ba0,10
10768bb0,FUN_10008bb0,10
10768bc0,FUN_10008bc0,31
10768be0,FUN_10008be0,89
10768c40,FUN_10008c40,85
10768ca0,FUN_10008ca0,95
10768d00,FUN_10008d00,1485
107692d0,FUN_100092d0,1334
10769810,FUN_10009810,271
10769920,FUN_10009920,494
10769b10,FUN_10009b10,1515
1076a100,FUN_1000a100,304
1076a230,FUN_1000a230,1565
1076a850,FUN_1000a850,250
1076a950,FUN_1000a950,183
1076aa10,FUN_1000aa10,836
1076ad60,getSystemCP,89
1076adc0,FUN_1000adc0,80
1076ae40,setSBCS,116
1076aec0,FUN_1000aec0,770
1076b1d0,FUN_1000b1d0,23
1076b1f0,FUN_1000b1f0,34
1076b220,FUN_1000b220,664
