address,name,sizeBytes
10001005,thunk_FUN_100034b0,5
1000100a,OnInit,5
1000100f,thunk_FUN_10003500,5
10001014,thunk_FUN_10001040,5
10001019,ProcessScenary,5
10001040,FUN_10001040,67
100010a0,FUN_100010a0,1096
10001600,FUN_10001600,6276
100034b0,FUN_100034b0,63
10003500,FUN_10003500,67
10003630,__chkesp,56
10003670,FUN_10003670,313
100037b0,entry,243
100038b0,__amsg_exit,58
100038f0,FUN_100038f0,11
10003900,FUN_10003900,87
10003960,__CrtSetReportFile,126
100039e0,FUN_100039e0,28
10003a00,FUN_10003a00,912
10003d90,FUN_10003d90,780
100040a0,FUN_100040a0,56
100040e0,FUN_100040e0,21
10004100,__exit,21
10004120,FUN_10004120,19
10004140,FUN_10004140,19
10004160,FUN_10004160,227
10004250,FUN_10004250,15
10004260,FUN_10004260,15
10004270,__initterm,37
100042a0,FUN_100042a0,130
10004330,FUN_10004330,41
10004360,FUN_10004360,25
10004380,FUN_10004380,152
10004420,FUN_10004420,263
10004530,FUN_10004530,11
10004540,FUN_10004540,11
10004550,FUN_10004550,804
10004880,__ioterm,155
10004920,FUN_10004920,29
10004940,FUN_10004940,35
10004970,FUN_10004970,27
10004990,FUN_10004990,94
100049f0,FUN_100049f0,23
10004a10,FUN_10004a10,787
10004d30,FUN_10004d30,27
10004d50,__calloc_dbg,96
10004db0,FUN_10004db0,27
10004dd0,FUN_10004dd0,64
10004e10,FUN_10004e10,1297
10005330,FUN_10005330,27
10005350,FUN_10005350,64
10005390,FUN_10005390,19
100053b0,FUN_100053b0,19
100053d0,FUN_100053d0,41
10005400,FUN_10005400,1004
100057f0,FUN_100057f0,19
10005810,FUN_10005810,342
10005970,FUN_10005970,28
10005990,FUN_10005990,157
10005a30,FUN_10005a30,28
10005a50,FUN_10005a50,136
10005ae0,FUN_10005ae0,863
10005e50,FUN_10005e50,34
10005e80,FUN_10005e80,103
10005ef0,FID_conflict:AtlIsValidAddress,75
10005f40,FUN_10005f40,134
10005fd0,FUN_10005fd0,227
100060c0,FUN_100060c0,28
100060e0,FUN_100060e0,362
10006250,FUN_10006250,291
10006380,FUN_10006380,697
10006640,FUN_10006640,276
10006760,FUN_10006760,116
100067e0,FUN_100067e0,197
100068b0,FUN_100068b0,329
10006a00,FUN_10006a00,216
10006ae0,FUN_10006ae0,1060
10006f10,FUN_10006f10,537
10007130,FUN_10007130,77
10007180,FUN_10007180,156
10007220,__FF_MSGBANNER,73
10007270,FUN_10007270,447
10007430,__GET_RTERRMSG,80
10007480,__itoa,66
100074d0,xtoa,194
100075a0,__ltoa,63
100075e0,__ultoa,30
10007600,__i64toa,72
10007650,x64toa,242
10007750,__ui64toa,31
10007770,_strlen,123
100077f0,FUN_100077f0,249
100078f0,FUN_100078f0,7
10007900,FUN_10007900,224
100079e0,FUN_100079e0,243
10007ae0,FUN_10007ae0,47
10007b10,FUN_10007b10,507
10007d40,FUN_10007d40,146
10007de0,FUN_10007de0,522
10008020,FUN_10008020,91
10008080,FUN_10008080,13
10008090,FUN_10008090,13
100080a0,FUN_100080a0,187
10008160,_strncpy,254
10008260,FUN_10008260,55
100082a0,FUN_100082a0,159
10008340,FUN_10008340,151
100083e0,FUN_100083e0,22
10008400,FUN_10008400,26
10008420,__XcptFilter,446
100085e0,FUN_100085e0,89
10008640,_set_new_handler,48
10008670,FUN_10008670,10
10008680,__callnewh,45
100086b0,_memset,88
10008710,FUN_10008710,23
10008730,__nh_malloc_base,87
10008790,FUN_10008790,109
10008800,FUN_10008800,10
10008810,FUN_10008810,173
100088c0,FUN_100088c0,490
10008ab0,FUN_10008ab0,104
10008b20,FUN_10008b20,116
10008ba0,FUN_10008ba0,10
10008bb0,FUN_10008bb0,10
10008bc0,FUN_10008bc0,31
10008be0,FUN_10008be0,89
10008c40,FUN_10008c40,85
10008ca0,FUN_10008ca0,95
10008d00,FUN_10008d00,1485
100092d0,FUN_100092d0,1334
10009810,FUN_10009810,271
10009920,FUN_10009920,494
10009b10,FUN_10009b10,1515
1000a100,FUN_1000a100,304
1000a230,FUN_1000a230,1565
1000a850,FUN_1000a850,250
1000a950,FUN_1000a950,183
1000aa10,FUN_1000aa10,836
1000ad60,getSystemCP,89
1000adc0,FUN_1000adc0,80
1000ae40,setSBCS,116
1000aec0,FUN_1000aec0,770
1000b1d0,FUN_1000b1d0,23
1000b1f0,FUN_1000b1f0,34
1000b220,FUN_1000b220,664
1000b560,__aulldiv,104
1000b5d0,__aullrem,117
1000b650,FUN_1000b650,628
1000b8d0,FUN_1000b8d0,3108
1000c600,FUN_1000c600,119
1000c680,FUN_1000c680,53
1000c6c0,FUN_1000c6c0,74
1000c710,FUN_1000c710,26
1000c730,FUN_1000c730,31
1000c750,FUN_1000c750,27
1000c770,__dosmaperr,145
1000c810,FUN_1000c810,13
1000c820,FUN_1000c820,13
1000c830,FUN_1000c830,664
1000cb70,FUN_1000cb70,421
1000cd30,FUN_1000cd30,727
1000d040,FUN_1000d040,80
1000d090,FUN_1000d090,130
1000d120,FUN_1000d120,178
1000d1e0,FUN_1000d1e0,130
1000d270,FUN_1000d270,627
1000d4f0,FUN_1000d4f0,199
1000d5c0,__isatty,50
1000d600,FUN_1000d600,300
1000d730,FUN_1000d730,26
1000d750,FUN_1000d750,61
1000d790,FUN_1000d790,41
1000d7c0,FUN_1000d7c0,61
1000d800,FUN_1000d800,41
1000d830,FUN_1000d830,119
1000d8b0,FUN_1000d8b0,160
1000d950,__global_unwind2,32
1000d992,__local_unwind2,104
1000da26,FUN_1000da26,24
1000db05,FUN_1000db05,27
1000db20,FUN_1000db20,482
1000dd10,__set_osfhnd,183
1000ddd0,FUN_1000ddd0,216
1000deb0,FUN_1000deb0,102
1000df20,FUN_1000df20,260
1000e030,FUN_1000e030,134
1000e0c0,__unlock_fhandle,38
1000e0f0,FUN_1000e0f0,218
1000e1d0,FUN_1000e1d0,68
1000e220,FUN_1000e220,65
1000e270,FUN_1000e270,183
1000e330,FUN_1000e330,15
1000e340,FUN_1000e340,319
1000e480,__fptrap,15
1000e490,FUN_1000e490,1007
