address,name,sizeBytes
107e1005,thunk_FUN_10003b70,5
107e100a,OnInit,5
107e100f,thunk_FUN_10003bc0,5
107e1014,thunk_FUN_10001040,5
107e1019,ProcessScenary,5
107e1040,FUN_10001040,67
107e10a0,FUN_100010a0,1694
107e18f0,FUN_100018f0,7066
107e3b70,FUN_10003b70,63
107e3bc0,FUN_10003bc0,67
107e3d00,__chkesp,56
107e3d40,FUN_10003d40,313
107e3e80,entry,243
107e3f80,__amsg_exit,58
107e3fc0,FUN_10003fc0,11
107e3fd0,FUN_10003fd0,87
107e4030,__CrtSetReportFile,126
107e40b0,FUN_100040b0,28
107e40d0,FUN_100040d0,912
107e4460,FUN_10004460,780
107e4770,FUN_10004770,56
107e47b0,FUN_100047b0,21
107e47d0,__exit,21
107e47f0,FUN_100047f0,19
107e4810,FUN_10004810,19
107e4830,FUN_10004830,227
107e4920,FUN_10004920,15
107e4930,FUN_10004930,15
107e4940,__initterm,37
107e4970,FUN_10004970,130
107e4a00,FUN_10004a00,41
107e4a30,FUN_10004a30,25
107e4a50,FUN_10004a50,152
107e4af0,FUN_10004af0,263
107e4c00,FUN_10004c00,11
107e4c10,FUN_10004c10,11
107e4c20,FUN_10004c20,804
107e4f50,__ioterm,155
107e4ff0,FUN_10004ff0,29
107e5010,FUN_10005010,35
107e5040,FUN_10005040,27
107e5060,FUN_10005060,94
107e50c0,FUN_100050c0,23
107e50e0,FUN_100050e0,787
107e5400,FUN_10005400,27
107e5420,__calloc_dbg,96
107e5480,FUN_10005480,27
107e54a0,FUN_100054a0,64
107e54e0,FUN_100054e0,1297
107e5a00,FUN_10005a00,27
107e5a20,FUN_10005a20,64
107e5a60,FUN_10005a60,19
107e5a80,FUN_10005a80,19
107e5aa0,FUN_10005aa0,41
107e5ad0,FUN_10005ad0,1004
107e5ec0,FUN_10005ec0,19
107e5ee0,FUN_10005ee0,342
107e6040,FUN_10006040,28
107e6060,FUN_10006060,157
107e6100,FUN_10006100,28
107e6120,FUN_10006120,136
107e61b0,FUN_100061b0,863
107e6520,FUN_10006520,34
107e6550,FUN_10006550,103
107e65c0,FID_conflict:AtlIsValidAddress,75
107e6610,FUN_10006610,134
107e66a0,FUN_100066a0,227
107e6790,FUN_10006790,28
107e67b0,FUN_100067b0,362
107e6920,FUN_10006920,291
107e6a50,FUN_10006a50,697
107e6d10,FUN_10006d10,276
107e6e30,FUN_10006e30,116
107e6eb0,FUN_10006eb0,197
107e6f80,FUN_10006f80,329
107e70d0,FUN_100070d0,216
107e71b0,FUN_100071b0,1060
107e75e0,FUN_100075e0,537
107e7800,FUN_10007800,77
107e7850,FUN_10007850,156
107e78f0,__FF_MSGBANNER,73
107e7940,FUN_10007940,447
107e7b00,__GET_RTERRMSG,80
107e7b50,__itoa,66
107e7ba0,xtoa,194
107e7c70,__ltoa,63
107e7cb0,__ultoa,30
107e7cd0,__i64toa,72
107e7d20,x64toa,242
107e7e20,__ui64toa,31
107e7e40,_strlen,123
107e7ec0,FUN_10007ec0,249
107e7fc0,FUN_10007fc0,7
107e7fd0,FUN_10007fd0,224
107e80b0,FUN_100080b0,243
107e81b0,FUN_100081b0,47
107e81e0,FUN_100081e0,507
107e8410,FUN_10008410,146
107e84b0,FUN_100084b0,522
107e86f0,FUN_100086f0,91
107e8750,FUN_10008750,13
107e8760,FUN_10008760,13
107e8770,FUN_10008770,187
107e8830,_strncpy,254
107e8930,FUN_10008930,55
107e8970,FUN_10008970,159
107e8a10,FUN_10008a10,151
107e8ab0,FUN_10008ab0,22
107e8ad0,FUN_10008ad0,26
107e8af0,__XcptFilter,446
107e8cb0,FUN_10008cb0,89
107e8d10,_set_new_handler,48
107e8d40,FUN_10008d40,10
107e8d50,__callnewh,45
107e8d80,_memset,88
107e8de0,FUN_10008de0,23
107e8e00,__nh_malloc_base,87
107e8e60,FUN_10008e60,109
107e8ed0,FUN_10008ed0,10
107e8ee0,FUN_10008ee0,173
107e8f90,FUN_10008f90,490
107e9180,FUN_10009180,104
107e91f0,FUN_100091f0,116
107e9270,FUN_10009270,10
107e9280,FUN_10009280,10
107e9290,FUN_10009290,31
107e92b0,FUN_100092b0,89
107e9310,FUN_10009310,85
107e9370,FUN_10009370,95
107e93d0,FUN_100093d0,1485
107e99a0,FUN_100099a0,1334
107e9ee0,FUN_10009ee0,271
107e9ff0,FUN_10009ff0,494
107ea1e0,FUN_1000a1e0,1515
107ea7d0,FUN_1000a7d0,304
107ea900,FUN_1000a900,1565
107eaf20,FUN_1000af20,250
107eb020,FUN_1000b020,183
107eb0e0,FUN_1000b0e0,836
107eb430,getSystemCP,89
107eb490,FUN_1000b490,80
107eb510,setSBCS,116
107eb590,FUN_1000b590,770
107eb8a0,FUN_1000b8a0,23
107eb8c0,FUN_1000b8c0,34
107eb8f0,FUN_1000b8f0,664
107ebc30,__aulldiv,104
107ebca0,__aullrem,117
107ebd20,FUN_1000bd20,628
107ebfa0,FUN_1000bfa0,3108
107eccd0,FUN_1000ccd0,119
107ecd50,FUN_1000cd50,53
107ecd90,FUN_1000cd90,74
107ecde0,FUN_1000cde0,26
107ece00,FUN_1000ce00,31
107ece20,FUN_1000ce20,27
107ece40,__dosmaperr,145
107ecee0,FUN_1000cee0,13
107ecef0,FUN_1000cef0,13
107ecf00,FUN_1000cf00,664
107ed240,FUN_1000d240,421
107ed400,FUN_1000d400,727
107ed710,FUN_1000d710,80
107ed760,FUN_1000d760,130
107ed7f0,FUN_1000d7f0,178
107ed8b0,FUN_1000d8b0,130
107ed940,FUN_1000d940,627
107edbc0,FUN_1000dbc0,199
107edc90,__isatty,50
107edcd0,FUN_1000dcd0,300
107ede00,FUN_1000de00,26
107ede20,FUN_1000de20,61
107ede60,FUN_1000de60,41
107ede90,FUN_1000de90,61
107eded0,FUN_1000ded0,41
107edf00,FUN_1000df00,119
107edf80,FUN_1000df80,160
107ee020,__global_unwind2,32
107ee062,__local_unwind2,104
107ee0f6,FUN_1000e0f6,24
107ee1d5,FUN_1000e1d5,27
107ee1f0,FUN_1000e1f0,482
107ee3e0,__set_osfhnd,183
107ee4a0,FUN_1000e4a0,216
107ee580,FUN_1000e580,102
107ee5f0,FUN_1000e5f0,260
107ee700,FUN_1000e700,134
107ee790,__unlock_fhandle,38
107ee7c0,FUN_1000e7c0,218
107ee8a0,FUN_1000e8a0,68
107ee8f0,FUN_1000e8f0,65
107ee940,FUN_1000e940,183
107eea00,FUN_1000ea00,15
107eea10,FUN_1000ea10,319
107eeb50,__fptrap,15
107eeb60,FUN_1000eb60,1007
107eef50,FUN_1000ef50,403
107ef0f0,FUN_1000f0f0,256
107ef1f0,FUN_1000f1f0,388
107ef380,FUN_1000f380,7
107ef390,__strcats,79
107ef3e0,FUN_1000f3e0,349
107ef540,___lc_lctostr,101
107ef5b0,FUN_1000f5b0,130
107ef640,FUN_1000f640,190
107ef700,FUN_1000f700,210
107ef7e0,___init_time,219
107ef8c0,FUN_1000f8c0,1423
107efe50,___free_lc_time,779
107f0160,FUN_10010160,678
107f0410,fix_grouping,125
107f0490,FUN_10010490,304
107f05c0,FUN_100105c0,525
107f07d0,fix_grouping,125
107f0850,FUN_10010850,147
107f08f0,FUN_100108f0,928
107f0c90,FUN_10010c90,7
107f0ca0,_strcmp,129
107f0d30,FUN_10010d30,62
107f0d70,_strncmp,56
107f0db0,FUN_10010db0,58
107f0df0,FUN_10010df0,512
107f0ff0,FUN_10010ff0,130
107f1080,FUN_10011080,186
107f1140,FUN_10011140,804
107f1470,FUN_10011470,116
107f14f0,FUN_100114f0,287
107f1610,FUN_10011610,69
107f1660,FUN_10011660,172
107f1710,FUN_10011710,43
107f1740,FUN_10011740,155
107f17e0,FUN_100117e0,79
107f1830,FUN_10011830,135
107f18c0,FUN_100118c0,77
107f1910,crtGetLocaleInfoA,388
107f1aa0,FUN_10011aa0,118
107f1b20,_GetPrimaryLen,101
107f1b90,FUN_10011b90,122
107f1c10,__close_lk,170
107f1cc0,FUN_10011cc0,146
107f1d60,FUN_10011d60,289
107f1e90,FUN_10011e90,291
107f1fc0,FUN_10011fc0,878
107f2330,FUN_10012330,31
107f2350,FUN_10012350,393
107f24e0,FUN_100124e0,1389
107f2b00,FID_conflict:_store_str,72
107f2b50,FUN_10012b50,173
107f2c00,FID_conflict:_store_number,172
107f2cb0,FUN_10012cb0,1152
107f31d0,FUN_100131d0,650
107f3460,FUN_10013460,10
107f3470,FUN_10013470,575
107f36e0,FUN_100136e0,208
107f37b0,FUN_100137b0,257
107f38c0,FUN_100138c0,255
107f39c0,FUN_100139c0,17
107f39e0,FUN_100139e0,297
107f3b10,FUN_10013b10,61
107f3b50,FUN_10013b50,30
107f3b70,FUN_10013b70,939
107f3f20,FUN_10013f20,46
107f3f50,FUN_10013f50,762
107f4250,FUN_10014250,504
107f4450,FUN_10014450,382
107f45f0,FUN_100145f0,398
107f47a0,FUN_100147a0,11
107f47b0,FUN_100147b0,147
107f4850,FUN_10014850,299
107f4980,__allmul,52
107f49c0,FUN_100149c0,46
107f49f0,FID_conflict:__getenv_lk,198
107f4ac0,__mbsnbicoll,79
107f4b10,FUN_10014b10,174
107f4bc0,FUN_10014bc0,970
107f4fc0,FUN_10014fc0,80
107f5010,FUN_10015010,736
107f52f0,findenv,124
107f5370,copy_environ,238
107f5460,FUN_10015460,237
107f5560,_strchr,193
107f576c,RtlUnwind,6
