address,name,sizeBytes
10001005,thunk_FUN_10003140,5
1000100a,OnInit,5
1000100f,thunk_FUN_10001030,5
10001014,ProcessScenary,5
10001030,FUN_10001030,67
10001090,FUN_10001090,1462
100017c0,FUN_100017c0,5223
10003140,FUN_10003140,63
10003290,__chkesp,56
100032d0,FUN_100032d0,313
10003410,entry,243
10003510,__amsg_exit,58
10003550,FUN_10003550,11
10003560,FUN_10003560,87
100035c0,__CrtSetReportFile,126
10003640,FUN_10003640,28
10003660,FUN_10003660,912
100039f0,FUN_100039f0,780
10003d00,FUN_10003d00,56
10003d40,FUN_10003d40,21
10003d60,__exit,21
10003d80,FUN_10003d80,19
10003da0,FUN_10003da0,19
10003dc0,FUN_10003dc0,227
10003eb0,FUN_10003eb0,15
10003ec0,FUN_10003ec0,15
10003ed0,__initterm,37
10003f00,FUN_10003f00,130
10003f90,FUN_10003f90,41
10003fc0,FUN_10003fc0,25
10003fe0,FUN_10003fe0,152
10004080,FUN_10004080,263
10004190,FUN_10004190,11
100041a0,FUN_100041a0,11
100041b0,FUN_100041b0,804
100044e0,__ioterm,155
10004580,FUN_10004580,29
100045a0,FUN_100045a0,35
100045d0,FUN_100045d0,27
100045f0,FUN_100045f0,94
10004650,FUN_10004650,23
10004670,FUN_10004670,787
10004990,FUN_10004990,27
100049b0,__calloc_dbg,96
10004a10,FUN_10004a10,27
10004a30,FUN_10004a30,64
10004a70,FUN_10004a70,1297
10004f90,FUN_10004f90,27
10004fb0,FUN_10004fb0,64
10004ff0,FUN_10004ff0,19
10005010,FUN_10005010,19
10005030,FUN_10005030,41
10005060,FUN_10005060,1004
10005450,FUN_10005450,19
10005470,FUN_10005470,342
100055d0,FUN_100055d0,28
100055f0,FUN_100055f0,157
10005690,FUN_10005690,28
100056b0,FUN_100056b0,136
10005740,FUN_10005740,863
10005ab0,FUN_10005ab0,34
10005ae0,FUN_10005ae0,103
10005b50,FID_conflict:AtlIsValidAddress,75
10005ba0,FUN_10005ba0,134
10005c30,FUN_10005c30,227
10005d20,FUN_10005d20,28
10005d40,FUN_10005d40,362
10005eb0,FUN_10005eb0,291
10005fe0,FUN_10005fe0,697
100062a0,FUN_100062a0,276
100063c0,FUN_100063c0,116
10006440,FUN_10006440,197
10006510,FUN_10006510,329
10006660,FUN_10006660,216
10006740,FUN_10006740,1060
10006b70,FUN_10006b70,537
10006d90,FUN_10006d90,77
10006de0,FUN_10006de0,156
10006e80,__FF_MSGBANNER,73
10006ed0,FUN_10006ed0,447
10007090,__GET_RTERRMSG,80
100070e0,__itoa,66
10007130,xtoa,194
10007200,__ltoa,63
10007240,__ultoa,30
10007260,__i64toa,72
100072b0,x64toa,242
100073b0,__ui64toa,31
100073d0,_strlen,123
10007450,FUN_10007450,249
10007550,FUN_10007550,7
10007560,FUN_10007560,224
10007640,FUN_10007640,243
10007740,FUN_10007740,47
10007770,FUN_10007770,507
100079a0,FUN_100079a0,146
10007a40,FUN_10007a40,522
10007c80,FUN_10007c80,91
10007ce0,FUN_10007ce0,13
10007cf0,FUN_10007cf0,13
10007d00,FUN_10007d00,187
10007dc0,_strncpy,254
10007ec0,FUN_10007ec0,55
10007f00,FUN_10007f00,159
10007fa0,FUN_10007fa0,151
10008040,FUN_10008040,22
10008060,FUN_10008060,26
10008080,__XcptFilter,446
10008240,FUN_10008240,89
100082a0,_set_new_handler,48
100082d0,FUN_100082d0,10
100082e0,__callnewh,45
10008310,_memset,88
10008370,FUN_10008370,23
10008390,__nh_malloc_base,87
100083f0,FUN_100083f0,109
10008460,FUN_10008460,10
10008470,FUN_10008470,173
10008520,FUN_10008520,490
10008710,FUN_10008710,104
10008780,FUN_10008780,116
10008800,FUN_10008800,10
10008810,FUN_10008810,10
10008820,FUN_10008820,31
10008840,FUN_10008840,89
100088a0,FUN_100088a0,85
10008900,FUN_10008900,95
10008960,FUN_10008960,1485
10008f30,FUN_10008f30,1334
10009470,FUN_10009470,271
10009580,FUN_10009580,494
10009770,FUN_10009770,1515
10009d60,FUN_10009d60,304
10009e90,FUN_10009e90,1565
1000a4b0,FUN_1000a4b0,250
1000a5b0,FUN_1000a5b0,183
1000a670,FUN_1000a670,836
1000a9c0,getSystemCP,89
1000aa20,FUN_1000aa20,80
1000aaa0,setSBCS,116
1000ab20,FUN_1000ab20,770
1000ae30,FUN_1000ae30,23
1000ae50,FUN_1000ae50,34
1000ae80,FUN_1000ae80,664
1000b1c0,__aulldiv,104
1000b230,__aullrem,117
1000b2b0,FUN_1000b2b0,628
1000b530,FUN_1000b530,3108
1000c260,FUN_1000c260,119
1000c2e0,FUN_1000c2e0,53
1000c320,FUN_1000c320,74
1000c370,FUN_1000c370,26
1000c390,FUN_1000c390,31
1000c3b0,FUN_1000c3b0,27
1000c3d0,__dosmaperr,145
1000c470,FUN_1000c470,13
1000c480,FUN_1000c480,13
1000c490,FUN_1000c490,664
1000c7d0,FUN_1000c7d0,421
1000c990,FUN_1000c990,727
1000cca0,FUN_1000cca0,80
1000ccf0,FUN_1000ccf0,130
1000cd80,FUN_1000cd80,178
1000ce40,FUN_1000ce40,130
1000ced0,FUN_1000ced0,627
1000d150,FUN_1000d150,199
1000d220,__isatty,50
1000d260,FUN_1000d260,300
1000d390,FUN_1000d390,26
1000d3b0,FUN_1000d3b0,61
1000d3f0,FUN_1000d3f0,41
1000d420,FUN_1000d420,61
1000d460,FUN_1000d460,41
1000d490,FUN_1000d490,119
1000d510,FUN_1000d510,160
1000d5b0,__global_unwind2,32
1000d5f2,__local_unwind2,104
1000d686,FUN_1000d686,24
1000d765,FUN_1000d765,27
1000d780,FUN_1000d780,482
1000d970,__set_osfhnd,183
1000da30,FUN_1000da30,216
1000db10,FUN_1000db10,102
1000db80,FUN_1000db80,260
1000dc90,FUN_1000dc90,134
1000dd20,__unlock_fhandle,38
1000dd50,FUN_1000dd50,218
1000de30,FUN_1000de30,68
1000de80,FUN_1000de80,65
1000ded0,FUN_1000ded0,183
1000df90,FUN_1000df90,15
1000dfa0,FUN_1000dfa0,319
1000e0e0,__fptrap,15
1000e0f0,FUN_1000e0f0,1007
1000e4e0,FUN_1000e4e0,403
1000e680,FUN_1000e680,256
1000e780,FUN_1000e780,388
1000e910,FUN_1000e910,7
1000e920,__strcats,79
1000e970,FUN_1000e970,349
1000ead0,___lc_lctostr,101
1000eb40,FUN_1000eb40,130
1000ebd0,FUN_1000ebd0,190
1000ec90,FUN_1000ec90,210
1000ed70,___init_time,219
1000ee50,FUN_1000ee50,1423
1000f3e0,___free_lc_time,779
1000f6f0,FUN_1000f6f0,678
1000f9a0,fix_grouping,125
1000fa20,FUN_1000fa20,304
1000fb50,FUN_1000fb50,525
1000fd60,fix_grouping,125
1000fde0,FUN_1000fde0,147
1000fe80,FUN_1000fe80,928
10010220,FUN_10010220,7
10010230,_strcmp,129
100102c0,FUN_100102c0,62
10010300,_strncmp,56
10010340,FUN_10010340,58
10010380,FUN_10010380,512
10010580,FUN_10010580,130
10010610,FUN_10010610,186
100106d0,FUN_100106d0,804
10010a00,FUN_10010a00,116
10010a80,FUN_10010a80,287
10010ba0,FUN_10010ba0,69
10010bf0,FUN_10010bf0,172
10010ca0,FUN_10010ca0,43
10010cd0,FUN_10010cd0,155
10010d70,FUN_10010d70,79
10010dc0,FUN_10010dc0,135
10010e50,FUN_10010e50,77
10010ea0,crtGetLocaleInfoA,388
10011030,FUN_10011030,118
100110b0,_GetPrimaryLen,101
10011120,FUN_10011120,122
100111a0,__close_lk,170
10011250,FUN_10011250,146
100112f0,FUN_100112f0,289
10011420,FUN_10011420,291
10011550,FUN_10011550,878
100118c0,FUN_100118c0,31
100118e0,FUN_100118e0,393
10011a70,FUN_10011a70,1389
10012090,FID_conflict:_store_str,72
100120e0,FUN_100120e0,173
10012190,FID_conflict:_store_number,172
10012240,FUN_10012240,1152
10012760,FUN_10012760,650
100129f0,FUN_100129f0,10
10012a00,FUN_10012a00,575
10012c70,FUN_10012c70,208
10012d40,FUN_10012d40,257
10012e50,FUN_10012e50,255
10012f50,FUN_10012f50,17
10012f70,FUN_10012f70,297
