address,name,sizeBytes
10001000,OnInit,1778
10001700,FUN_10001700,20
10001720,ProcessScenary,18924
10006140,FUN_10006140,217
10006219,entry,157
100062b6,__amsg_exit,48
100062e9,FUN_100062e9,45
10006316,__exit,17
10006327,FUN_10006327,15
10006336,FUN_10006336,163
100063db,FUN_100063db,9
100063e4,FUN_100063e4,9
100063ed,FUN_100063ed,26
10006407,FUN_10006407,84
1000645b,FUN_1000645b,30
10006479,FUN_10006479,19
1000648c,FUN_1000648c,160
1000652c,FUN_1000652c,444
100066e8,FUN_100066e8,84
1000673c,FUN_1000673c,185
100067f5,FUN_100067f5,153
1000688e,FUN_1000688e,436
10006a42,FUN_10006a42,306
10006b74,FUN_10006b74,60
10006bb0,FUN_10006bb0,117
10006c25,FUN_10006c25,57
10006c5e,FUN_10006c5e,339
10006db1,FUN_10006db1,41
10006dda,FUN_10006dda,108
10006e46,FUN_10006e46,97
10006ea7,FUN_10006ea7,21
10006ebc,FUN_10006ebc,141
10006f49,FUN_10006f49,72
10006f91,_malloc,18
10006fa3,__nh_malloc,44
10006fcf,FUN_10006fcf,78
10007020,FUN_10007020,7
10007030,FUN_10007030,224
10007110,_strlen,123
1000718b,FUN_1000718b,429
10007338,FUN_10007338,74
10007382,FUN_10007382,51
100073b5,FUN_100073b5,41
100073de,FUN_100073de,389
10007563,FUN_10007563,28
10007580,FUN_10007580,664
100078b5,FUN_100078b5,62
100078f3,FUN_100078f3,43
1000791e,FUN_1000791e,811
10007c49,FUN_10007c49,777
10007f52,FUN_10007f52,177
10008003,FUN_10008003,251
100080fe,FUN_100080fe,137
10008190,_strncpy,254
10008290,_memset,88
100082e8,FUN_100082e8,27
10008303,FUN_10008303,511
10008527,FUN_10008527,43
10008552,FUN_10008552,318
100086a0,FUN_100086a0,664
100089d8,__global_unwind2,32
10008a1a,__local_unwind2,104
10008aae,FUN_10008aae,24
10008b8d,FUN_10008b8d,27
10008bb0,FUN_10008bb0,47
10008be0,RtlUnwind,6
