address,name,sizeBytes
10001005,thunk_FUN_10003120,5
1000100a,OnInit,5
1000100f,thunk_FUN_10001030,5
10001014,ProcessScenary,5
10001030,FUN_10001030,67
10001090,FUN_10001090,1084
100015e0,FUN_100015e0,5571
10003120,FUN_10003120,63
10003210,__chkesp,56
10003250,FUN_10003250,313
10003390,entry,243
10003490,__amsg_exit,58
100034d0,FUN_100034d0,11
100034e0,FUN_100034e0,87
10003540,__CrtSetReportFile,126
100035c0,FUN_100035c0,28
100035e0,FUN_100035e0,912
10003970,FUN_10003970,780
10003c80,FUN_10003c80,56
10003cc0,FUN_10003cc0,21
10003ce0,__exit,21
10003d00,FUN_10003d00,19
10003d20,FUN_10003d20,19
10003d40,FUN_10003d40,227
10003e30,FUN_10003e30,15
10003e40,FUN_10003e40,15
10003e50,__initterm,37
10003e80,FUN_10003e80,130
10003f10,FUN_10003f10,41
10003f40,FUN_10003f40,25
10003f60,FUN_10003f60,152
10004000,FUN_10004000,263
10004110,FUN_10004110,11
10004120,FUN_10004120,11
10004130,FUN_10004130,804
10004460,__ioterm,155
10004500,FUN_10004500,29
10004520,FUN_10004520,35
10004550,FUN_10004550,27
10004570,FUN_10004570,94
100045d0,FUN_100045d0,23
100045f0,FUN_100045f0,787
10004910,FUN_10004910,27
10004930,__calloc_dbg,96
10004990,FUN_10004990,27
100049b0,FUN_100049b0,64
100049f0,FUN_100049f0,1297
10004f10,FUN_10004f10,27
10004f30,FUN_10004f30,64
10004f70,FUN_10004f70,19
10004f90,FUN_10004f90,19
10004fb0,FUN_10004fb0,41
10004fe0,FUN_10004fe0,1004
100053d0,FUN_100053d0,19
100053f0,FUN_100053f0,342
10005550,FUN_10005550,28
10005570,FUN_10005570,157
10005610,FUN_10005610,28
10005630,FUN_10005630,136
100056c0,FUN_100056c0,863
10005a30,FUN_10005a30,34
10005a60,FUN_10005a60,103
10005ad0,FID_conflict:AtlIsValidAddress,75
10005b20,FUN_10005b20,134
10005bb0,FUN_10005bb0,227
10005ca0,FUN_10005ca0,28
10005cc0,FUN_10005cc0,362
10005e30,FUN_10005e30,291
10005f60,FUN_10005f60,697
10006220,FUN_10006220,276
10006340,FUN_10006340,116
100063c0,FUN_100063c0,197
10006490,FUN_10006490,329
100065e0,FUN_100065e0,216
100066c0,FUN_100066c0,1060
10006af0,FUN_10006af0,537
10006d10,FUN_10006d10,77
10006d60,FUN_10006d60,156
10006e00,__FF_MSGBANNER,73
10006e50,FUN_10006e50,447
10007010,__GET_RTERRMSG,80
10007060,__itoa,66
100070b0,xtoa,194
10007180,__ltoa,63
100071c0,__ultoa,30
100071e0,__i64toa,72
10007230,x64toa,242
10007330,__ui64toa,31
10007350,_strlen,123
100073d0,FUN_100073d0,249
100074d0,FUN_100074d0,7
100074e0,FUN_100074e0,224
100075c0,FUN_100075c0,243
100076c0,FUN_100076c0,47
100076f0,FUN_100076f0,507
10007920,FUN_10007920,146
100079c0,FUN_100079c0,522
10007c00,FUN_10007c00,91
10007c60,FUN_10007c60,13
10007c70,FUN_10007c70,13
10007c80,FUN_10007c80,187
10007d40,_strncpy,254
10007e40,FUN_10007e40,55
10007e80,FUN_10007e80,159
10007f20,FUN_10007f20,151
10007fc0,FUN_10007fc0,22
10007fe0,FUN_10007fe0,26
10008000,__XcptFilter,446
100081c0,FUN_100081c0,89
10008220,_set_new_handler,48
10008250,FUN_10008250,10
10008260,__callnewh,45
10008290,_memset,88
100082f0,FUN_100082f0,23
10008310,__nh_malloc_base,87
10008370,FUN_10008370,109
100083e0,FUN_100083e0,10
100083f0,FUN_100083f0,173
100084a0,FUN_100084a0,490
10008690,FUN_10008690,104
10008700,FUN_10008700,116
10008780,FUN_10008780,10
10008790,FUN_10008790,10
100087a0,FUN_100087a0,31
100087c0,FUN_100087c0,89
10008820,FUN_10008820,85
10008880,FUN_10008880,95
100088e0,FUN_100088e0,1485
10008eb0,FUN_10008eb0,1334
100093f0,FUN_100093f0,271
10009500,FUN_10009500,494
100096f0,FUN_100096f0,1515
