address,name,sizeBytes
10001000,OnInit,1406
10001580,FUN_10001580,20
100015a0,ProcessScenary,6834
10003090,FUN_10003090,217
10003169,entry,157
10003206,__amsg_exit,48
10003239,FUN_10003239,45
10003266,__exit,17
10003277,FUN_10003277,15
10003286,FUN_10003286,163
1000332b,FUN_1000332b,9
10003334,FUN_10003334,9
1000333d,FUN_1000333d,26
10003357,FUN_10003357,84
100033ab,FUN_100033ab,30
100033c9,FUN_100033c9,19
100033dc,FUN_100033dc,160
1000347c,FUN_1000347c,444
10003638,FUN_10003638,84
1000368c,FUN_1000368c,185
10003745,FUN_10003745,153
100037de,FUN_100037de,436
10003992,FUN_10003992,306
10003ac4,FUN_10003ac4,60
10003b00,FUN_10003b00,117
10003b75,FUN_10003b75,57
10003bae,FUN_10003bae,339
10003d01,FUN_10003d01,41
10003d2a,FUN_10003d2a,108
10003d96,FUN_10003d96,97
10003df7,FUN_10003df7,21
10003e0c,FUN_10003e0c,141
10003e99,FUN_10003e99,72
10003ee1,_malloc,18
10003ef3,__nh_malloc,44
10003f1f,FUN_10003f1f,78
10003f70,FUN_10003f70,7
10003f80,FUN_10003f80,224
10004060,_strlen,123
100040db,FUN_100040db,429
10004288,FUN_10004288,74
100042d2,FUN_100042d2,51
10004305,FUN_10004305,41
1000432e,FUN_1000432e,389
100044b3,FUN_100044b3,28
100044d0,FUN_100044d0,664
10004805,FUN_10004805,62
10004843,FUN_10004843,43
1000486e,FUN_1000486e,811
10004b99,FUN_10004b99,777
10004ea2,FUN_10004ea2,177
10004f53,FUN_10004f53,251
1000504e,FUN_1000504e,137
100050e0,_strncpy,254
100051e0,_memset,88
10005238,FUN_10005238,27
10005253,FUN_10005253,511
10005477,FUN_10005477,43
100054a2,FUN_100054a2,318
100055f0,FUN_100055f0,664
10005928,__global_unwind2,32
1000596a,__local_unwind2,104
100059fe,FUN_100059fe,24
10005add,FUN_10005add,27
10005b00,FUN_10005b00,47
10005b30,RtlUnwind,6
