address,name,sizeBytes
10001005,OnInit,5
1000100a,thunk_FUN_10001030,5
1000100f,ProcessScenary,5
10001030,FUN_10001030,67
10001090,FUN_10001090,106
10001120,FUN_10001120,453
10001380,__chkesp,56
100013c0,FUN_100013c0,313
10001500,entry,243
10001600,__amsg_exit,58
10001640,FUN_10001640,11
10001650,FUN_10001650,87
100016b0,__CrtSetReportFile,126
10001730,FUN_10001730,28
10001750,FUN_10001750,912
10001ae0,FUN_10001ae0,780
10001df0,FUN_10001df0,56
10001e30,FUN_10001e30,21
10001e50,__exit,21
10001e70,FUN_10001e70,19
10001e90,FUN_10001e90,19
10001eb0,FUN_10001eb0,227
10001fa0,FUN_10001fa0,15
10001fb0,FUN_10001fb0,15
10001fc0,__initterm,37
10001ff0,FUN_10001ff0,130
10002080,FUN_10002080,41
100020b0,FUN_100020b0,25
100020d0,FUN_100020d0,152
10002170,FUN_10002170,263
10002280,FUN_10002280,11
10002290,FUN_10002290,11
100022a0,FUN_100022a0,804
100025d0,__ioterm,155
10002670,FUN_10002670,29
10002690,FUN_10002690,35
100026c0,FUN_100026c0,27
100026e0,FUN_100026e0,94
10002740,FUN_10002740,23
10002760,FUN_10002760,787
10002a80,FUN_10002a80,27
10002aa0,__calloc_dbg,96
10002b00,FUN_10002b00,27
10002b20,FUN_10002b20,64
10002b60,FUN_10002b60,1297
10003080,FUN_10003080,27
100030a0,FUN_100030a0,64
100030e0,FUN_100030e0,19
10003100,FUN_10003100,19
10003120,FUN_10003120,41
10003150,FUN_10003150,1004
10003540,FUN_10003540,19
10003560,FUN_10003560,342
100036c0,FUN_100036c0,28
100036e0,FUN_100036e0,157
10003780,FUN_10003780,28
100037a0,FUN_100037a0,136
10003830,FUN_10003830,863
10003ba0,FUN_10003ba0,34
10003bd0,FUN_10003bd0,103
10003c40,FID_conflict:AtlIsValidAddress,75
10003c90,FUN_10003c90,134
10003d20,FUN_10003d20,227
10003e10,FUN_10003e10,28
10003e30,FUN_10003e30,362
10003fa0,FUN_10003fa0,291
100040d0,FUN_100040d0,697
10004390,FUN_10004390,276
100044b0,FUN_100044b0,116
10004530,FUN_10004530,197
10004600,FUN_10004600,329
10004750,FUN_10004750,216
10004830,FUN_10004830,1060
10004c60,FUN_10004c60,537
10004e80,FUN_10004e80,77
10004ed0,FUN_10004ed0,156
10004f70,__FF_MSGBANNER,73
10004fc0,FUN_10004fc0,447
10005180,__GET_RTERRMSG,80
100051d0,__itoa,66
10005220,xtoa,194
100052f0,__ltoa,63
10005330,__ultoa,30
10005350,__i64toa,72
100053a0,x64toa,242
100054a0,__ui64toa,31
100054c0,_strlen,123
10005540,FUN_10005540,249
10005640,FUN_10005640,7
10005650,FUN_10005650,224
10005730,FUN_10005730,243
10005830,FUN_10005830,47
10005860,FUN_10005860,507
10005a90,FUN_10005a90,146
10005b30,FUN_10005b30,522
10005d70,FUN_10005d70,91
10005dd0,FUN_10005dd0,13
10005de0,FUN_10005de0,13
10005df0,FUN_10005df0,187
10005eb0,_strncpy,254
10005fb0,FUN_10005fb0,55
10005ff0,FUN_10005ff0,159
10006090,FUN_10006090,151
10006130,FUN_10006130,22
10006150,FUN_10006150,26
10006170,__XcptFilter,446
10006330,FUN_10006330,89
10006390,_set_new_handler,48
100063c0,FUN_100063c0,10
100063d0,__callnewh,45
10006400,_memset,88
10006460,FUN_10006460,23
10006480,__nh_malloc_base,87
100064e0,FUN_100064e0,109
10006550,FUN_10006550,10
10006560,FUN_10006560,173
10006610,FUN_10006610,490
10006800,FUN_10006800,104
10006870,FUN_10006870,116
100068f0,FUN_100068f0,10
10006900,FUN_10006900,10
10006910,FUN_10006910,31
10006930,FUN_10006930,89
10006990,FUN_10006990,85
100069f0,FUN_100069f0,95
10006a50,FUN_10006a50,1485
10007020,FUN_10007020,1334
10007560,FUN_10007560,271
10007670,FUN_10007670,494
10007860,FUN_10007860,1515
10007e50,FUN_10007e50,304
10007f80,FUN_10007f80,1565
100085a0,FUN_100085a0,250
100086a0,FUN_100086a0,183
10008760,FUN_10008760,836
10008ab0,getSystemCP,89
10008b10,FUN_10008b10,80
10008b90,setSBCS,116
10008c10,FUN_10008c10,770
10008f20,FUN_10008f20,23
10008f40,FUN_10008f40,34
10008f70,FUN_10008f70,664
100092b0,__aulldiv,104
10009320,__aullrem,117
100093a0,FUN_100093a0,628
10009620,FUN_10009620,3108
1000a350,FUN_1000a350,119
1000a3d0,FUN_1000a3d0,53
1000a410,FUN_1000a410,74
1000a460,FUN_1000a460,26
1000a480,FUN_1000a480,31
1000a4a0,FUN_1000a4a0,27
1000a4c0,__dosmaperr,145
1000a560,FUN_1000a560,13
1000a570,FUN_1000a570,13
1000a580,FUN_1000a580,664
1000a8c0,FUN_1000a8c0,421
1000aa80,FUN_1000aa80,727
1000ad90,FUN_1000ad90,80
1000ade0,FUN_1000ade0,130
1000ae70,FUN_1000ae70,178
1000af30,FUN_1000af30,130
1000afc0,FUN_1000afc0,627
1000b240,FUN_1000b240,199
1000b310,__isatty,50
1000b350,FUN_1000b350,300
1000b480,FUN_1000b480,26
1000b4a0,FUN_1000b4a0,61
1000b4e0,FUN_1000b4e0,41
1000b510,FUN_1000b510,61
1000b550,FUN_1000b550,41
1000b580,FUN_1000b580,119
1000b600,FUN_1000b600,160
1000b6a0,__global_unwind2,32
1000b6e2,__local_unwind2,104
1000b776,FUN_1000b776,24
1000b855,FUN_1000b855,27
1000b870,FUN_1000b870,482
1000ba60,__set_osfhnd,183
1000bb20,FUN_1000bb20,216
1000bc00,FUN_1000bc00,102
1000bc70,FUN_1000bc70,260
1000bd80,FUN_1000bd80,134
1000be10,__unlock_fhandle,38
1000be40,FUN_1000be40,218
1000bf20,FUN_1000bf20,68
1000bf70,FUN_1000bf70,65
1000bfc0,FUN_1000bfc0,183
1000c080,FUN_1000c080,15
1000c090,FUN_1000c090,319
1000c1d0,__fptrap,15
1000c1e0,FUN_1000c1e0,1007
1000c5d0,FUN_1000c5d0,403
1000c770,FUN_1000c770,256
1000c870,FUN_1000c870,388
1000ca00,FUN_1000ca00,7
1000ca10,__strcats,79
1000ca60,FUN_1000ca60,349
1000cbc0,___lc_lctostr,101
1000cc30,FUN_1000cc30,130
1000ccc0,FUN_1000ccc0,190
1000cd80,FUN_1000cd80,210
1000ce60,___init_time,219
1000cf40,FUN_1000cf40,1423
1000d4d0,___free_lc_time,779
1000d7e0,FUN_1000d7e0,678
1000da90,fix_grouping,125
1000db10,FUN_1000db10,304
1000dc40,FUN_1000dc40,525
1000de50,fix_grouping,125
1000ded0,FUN_1000ded0,147
1000df70,FUN_1000df70,928
1000e310,FUN_1000e310,7
1000e320,_strcmp,129
1000e3b0,FUN_1000e3b0,62
1000e3f0,_strncmp,56
1000e430,FUN_1000e430,58
1000e470,FUN_1000e470,512
1000e670,FUN_1000e670,130
1000e700,FUN_1000e700,186
