address,name,sizeBytes
12191005,thunk_FUN_100066e0,5
1219100a,OnInit,5
1219100f,thunk_FUN_10001030,5
12191014,ProcessScenary,5
12191030,FUN_10001030,67
12191090,FUN_10001090,3069
12191f90,FUN_10001f90,14604
121966e0,FUN_100066e0,63
12196800,__chkesp,56
12196840,FUN_10006840,313
12196980,entry,243
12196a80,__amsg_exit,58
12196ac0,FUN_10006ac0,11
12196ad0,FUN_10006ad0,87
12196b30,__CrtSetReportFile,126
12196bb0,FUN_10006bb0,28
12196bd0,FUN_10006bd0,912
12196f60,FUN_10006f60,780
12197270,FUN_10007270,56
121972b0,FUN_100072b0,21
121972d0,__exit,21
121972f0,FUN_100072f0,19
12197310,FUN_10007310,19
12197330,FUN_10007330,227
12197420,FUN_10007420,15
12197430,FUN_10007430,15
12197440,__initterm,37
12197470,FUN_10007470,130
12197500,FUN_10007500,41
12197530,FUN_10007530,25
12197550,FUN_10007550,152
121975f0,FUN_100075f0,263
12197700,FUN_10007700,11
12197710,FUN_10007710,11
12197720,FUN_10007720,804
12197a50,__ioterm,155
12197af0,FUN_10007af0,29
12197b10,FUN_10007b10,35
12197b40,FUN_10007b40,27
12197b60,FUN_10007b60,94
12197bc0,FUN_10007bc0,23
12197be0,FUN_10007be0,787
12197f00,FUN_10007f00,27
12197f20,__calloc_dbg,96
12197f80,FUN_10007f80,27
12197fa0,FUN_10007fa0,64
12197fe0,FUN_10007fe0,1297
12198500,FUN_10008500,27
12198520,FUN_10008520,64
12198560,FUN_10008560,19
12198580,FUN_10008580,19
121985a0,FUN_100085a0,41
121985d0,FUN_100085d0,1004
121989c0,FUN_100089c0,19
121989e0,FUN_100089e0,342
12198b40,FUN_10008b40,28
12198b60,FUN_10008b60,157
12198c00,FUN_10008c00,28
12198c20,FUN_10008c20,136
12198cb0,FUN_10008cb0,863
12199020,FUN_10009020,34
12199050,FUN_10009050,103
121990c0,FID_conflict:AtlIsValidAddress,75
12199110,FUN_10009110,134
121991a0,FUN_100091a0,227
12199290,FUN_10009290,28
121992b0,FUN_100092b0,362
12199420,FUN_10009420,291
12199550,FUN_10009550,697
12199810,FUN_10009810,276
12199930,FUN_10009930,116
121999b0,FUN_100099b0,197
12199a80,FUN_10009a80,329
12199bd0,FUN_10009bd0,216
12199cb0,FUN_10009cb0,1060
1219a0e0,FUN_1000a0e0,537
1219a300,FUN_1000a300,77
1219a350,FUN_1000a350,156
1219a3f0,__FF_MSGBANNER,73
1219a440,FUN_1000a440,447
1219a600,__GET_RTERRMSG,80
1219a650,__itoa,66
1219a6a0,xtoa,194
1219a770,__ltoa,63
1219a7b0,__ultoa,30
1219a7d0,__i64toa,72
1219a820,x64toa,242
1219a920,__ui64toa,31
1219a940,_strlen,123
1219a9c0,FUN_1000a9c0,249
1219aac0,FUN_1000aac0,7
1219aad0,FUN_1000aad0,224
1219abb0,FUN_1000abb0,243
1219acb0,FUN_1000acb0,47
1219ace0,FUN_1000ace0,507
1219af10,FUN_1000af10,146
1219afb0,FUN_1000afb0,522
1219b1f0,FUN_1000b1f0,91
1219b250,FUN_1000b250,13
1219b260,FUN_1000b260,13
1219b270,FUN_1000b270,187
1219b330,_strncpy,254
1219b430,FUN_1000b430,55
1219b470,FUN_1000b470,159
1219b510,FUN_1000b510,151
1219b5b0,FUN_1000b5b0,22
1219b5d0,FUN_1000b5d0,26
1219b5f0,__XcptFilter,446
1219b7b0,FUN_1000b7b0,89
1219b810,_set_new_handler,48
1219b840,FUN_1000b840,10
1219b850,__callnewh,45
1219b880,_memset,88
