address,name,sizeBytes
10001005,OnInit,5
1000100a,thunk_FUN_10001030,5
1000100f,ProcessScenary,5
10001030,FUN_10001030,67
10001090,FUN_10001090,1591
10001860,FUN_10001860,4875
100030a0,__chkesp,56
100030e0,FUN_100030e0,313
10003220,entry,243
10003320,__amsg_exit,58
10003360,FUN_10003360,11
10003370,FUN_10003370,87
100033d0,__CrtSetReportFile,126
10003450,FUN_10003450,28
10003470,FUN_10003470,912
10003800,FUN_10003800,780
10003b10,FUN_10003b10,56
10003b50,FUN_10003b50,21
10003b70,__exit,21
10003b90,FUN_10003b90,19
10003bb0,FUN_10003bb0,19
10003bd0,FUN_10003bd0,227
10003cc0,FUN_10003cc0,15
10003cd0,FUN_10003cd0,15
10003ce0,__initterm,37
10003d10,FUN_10003d10,130
10003da0,FUN_10003da0,41
10003dd0,FUN_10003dd0,25
10003df0,FUN_10003df0,152
10003e90,FUN_10003e90,263
10003fa0,FUN_10003fa0,11
10003fb0,FUN_10003fb0,11
10003fc0,FUN_10003fc0,804
100042f0,__ioterm,155
10004390,FUN_10004390,29
100043b0,FUN_100043b0,35
100043e0,FUN_100043e0,27
10004400,FUN_10004400,94
10004460,FUN_10004460,23
10004480,FUN_10004480,787
100047a0,FUN_100047a0,27
100047c0,__calloc_dbg,96
10004820,FUN_10004820,27
10004840,FUN_10004840,64
10004880,FUN_10004880,1297
10004da0,FUN_10004da0,27
10004dc0,FUN_10004dc0,64
10004e00,FUN_10004e00,19
10004e20,FUN_10004e20,19
10004e40,FUN_10004e40,41
10004e70,FUN_10004e70,1004
10005260,FUN_10005260,19
10005280,FUN_10005280,342
100053e0,FUN_100053e0,28
10005400,FUN_10005400,157
100054a0,FUN_100054a0,28
100054c0,FUN_100054c0,136
10005550,FUN_10005550,863
100058c0,FUN_100058c0,34
100058f0,FUN_100058f0,103
10005960,FID_conflict:AtlIsValidAddress,75
100059b0,FUN_100059b0,134
10005a40,FUN_10005a40,227
10005b30,FUN_10005b30,28
10005b50,FUN_10005b50,362
10005cc0,FUN_10005cc0,291
10005df0,FUN_10005df0,697
100060b0,FUN_100060b0,276
100061d0,FUN_100061d0,116
10006250,FUN_10006250,197
10006320,FUN_10006320,329
10006470,FUN_10006470,216
10006550,FUN_10006550,1060
10006980,FUN_10006980,537
10006ba0,FUN_10006ba0,77
10006bf0,FUN_10006bf0,156
10006c90,__FF_MSGBANNER,73
10006ce0,FUN_10006ce0,447
10006ea0,__GET_RTERRMSG,80
10006ef0,__itoa,66
10006f40,xtoa,194
10007010,__ltoa,63
10007050,__ultoa,30
10007070,__i64toa,72
100070c0,x64toa,242
100071c0,__ui64toa,31
100071e0,_strlen,123
10007260,FUN_10007260,249
10007360,FUN_10007360,7
10007370,FUN_10007370,224
10007450,FUN_10007450,243
10007550,FUN_10007550,47
10007580,FUN_10007580,507
100077b0,FUN_100077b0,146
10007850,FUN_10007850,522
10007a90,FUN_10007a90,91
10007af0,FUN_10007af0,13
10007b00,FUN_10007b00,13
10007b10,FUN_10007b10,187
10007bd0,_strncpy,254
10007cd0,FUN_10007cd0,55
10007d10,FUN_10007d10,159
10007db0,FUN_10007db0,151
10007e50,FUN_10007e50,22
10007e70,FUN_10007e70,26
10007e90,__XcptFilter,446
10008050,FUN_10008050,89
100080b0,_set_new_handler,48
100080e0,FUN_100080e0,10
100080f0,__callnewh,45
10008120,_memset,88
10008180,FUN_10008180,23
100081a0,__nh_malloc_base,87
10008200,FUN_10008200,109
10008270,FUN_10008270,10
10008280,FUN_10008280,173
10008330,FUN_10008330,490
10008520,FUN_10008520,104
10008590,FUN_10008590,116
10008610,FUN_10008610,10
10008620,FUN_10008620,10
10008630,FUN_10008630,31
10008650,FUN_10008650,89
100086b0,FUN_100086b0,85
10008710,FUN_10008710,95
10008770,FUN_10008770,1485
10008d40,FUN_10008d40,1334
10009280,FUN_10009280,271
10009390,FUN_10009390,494
10009580,FUN_10009580,1515
10009b70,FUN_10009b70,304
10009ca0,FUN_10009ca0,1565
1000a2c0,FUN_1000a2c0,250
1000a3c0,FUN_1000a3c0,183
1000a480,FUN_1000a480,836
1000a7d0,getSystemCP,89
1000a830,FUN_1000a830,80
1000a8b0,setSBCS,116
1000a930,FUN_1000a930,770
1000ac40,FUN_1000ac40,23
1000ac60,FUN_1000ac60,34
1000ac90,FUN_1000ac90,664
1000afd0,__aulldiv,104
1000b040,__aullrem,117
1000b0c0,FUN_1000b0c0,628
1000b340,FUN_1000b340,3108
1000c070,FUN_1000c070,119
1000c0f0,FUN_1000c0f0,53
1000c130,FUN_1000c130,74
1000c180,FUN_1000c180,26
1000c1a0,FUN_1000c1a0,31
1000c1c0,FUN_1000c1c0,27
1000c1e0,__dosmaperr,145
1000c280,FUN_1000c280,13
1000c290,FUN_1000c290,13
1000c2a0,FUN_1000c2a0,664
1000c5e0,FUN_1000c5e0,421
1000c7a0,FUN_1000c7a0,727
1000cab0,FUN_1000cab0,80
1000cb00,FUN_1000cb00,130
1000cb90,FUN_1000cb90,178
1000cc50,FUN_1000cc50,130
1000cce0,FUN_1000cce0,627
1000cf60,FUN_1000cf60,199
1000d030,__isatty,50
1000d070,FUN_1000d070,300
1000d1a0,FUN_1000d1a0,26
1000d1c0,FUN_1000d1c0,61
1000d200,FUN_1000d200,41
1000d230,FUN_1000d230,61
1000d270,FUN_1000d270,41
1000d2a0,FUN_1000d2a0,119
1000d320,FUN_1000d320,160
1000d3c0,__global_unwind2,32
1000d402,__local_unwind2,104
1000d496,FUN_1000d496,24
1000d575,FUN_1000d575,27
1000d590,FUN_1000d590,482
1000d780,__set_osfhnd,183
1000d840,FUN_1000d840,216
1000d920,FUN_1000d920,102
1000d990,FUN_1000d990,260
1000daa0,FUN_1000daa0,134
1000db30,__unlock_fhandle,38
1000db60,FUN_1000db60,218
1000dc40,FUN_1000dc40,68
1000dc90,FUN_1000dc90,65
1000dce0,FUN_1000dce0,183
1000dda0,FUN_1000dda0,15
1000ddb0,FUN_1000ddb0,319
1000def0,__fptrap,15
1000df00,FUN_1000df00,1007
1000e2f0,FUN_1000e2f0,403
1000e490,FUN_1000e490,256
1000e590,FUN_1000e590,388
1000e720,FUN_1000e720,7
1000e730,__strcats,79
1000e780,FUN_1000e780,349
1000e8e0,___lc_lctostr,101
1000e950,FUN_1000e950,130
1000e9e0,FUN_1000e9e0,190
1000eaa0,FUN_1000eaa0,210
1000eb80,___init_time,219
1000ec60,FUN_1000ec60,1423
1000f1f0,___free_lc_time,779
1000f500,FUN_1000f500,678
1000f7b0,fix_grouping,125
1000f830,FUN_1000f830,304
1000f960,FUN_1000f960,525
1000fb70,fix_grouping,125
1000fbf0,FUN_1000fbf0,147
1000fc90,FUN_1000fc90,928
10010030,FUN_10010030,7
10010040,_strcmp,129
100100d0,FUN_100100d0,62
10010110,_strncmp,56
10010150,FUN_10010150,58
