address,name,sizeBytes
10001005,thunk_FUN_10004a40,5
1000100f,OnInit,5
10001014,thunk_FUN_10001600,5
1000101e,thunk_FUN_10004980,5
10001023,thunk_FUN_10001a60,5
10001028,thunk_FUN_10001890,5
10001032,thunk_FUN_10002be0,5
1000103c,thunk_FUN_10002b80,5
10001041,thunk_FUN_100019a0,5
10001050,thunk_FUN_10004b10,5
10001055,ProcessScenary,5
1000105f,thunk_FUN_10002c40,5
10001069,thunk_FUN_100049e0,5
1000108c,thunk_FUN_10001950,5
10001091,thunk_FUN_10004bd0,5
10001096,thunk_FUN_10004ab0,5
1000109b,thunk_FUN_10001900,5
100010af,thunk_FUN_100012e0,5
100010b4,thunk_FUN_10004b70,5
100010be,thunk_FUN_10002b10,5
10001190,FUN_10001190,76
100011f0,FUN_100011f0,63
10001240,FUN_10001240,63
10001290,FUN_10001290,63
100012e0,FUN_100012e0,53
10001330,FUN_10001330,63
10001380,FUN_10001380,63
100013d0,FUN_100013d0,63
10001420,FUN_10001420,71
10001480,FUN_10001480,71
100014e0,FUN_100014e0,76
10001540,FUN_10001540,72
100015a0,FUN_100015a0,67
10001600,FUN_10001600,63
10001650,FUN_10001650,72
100016b0,FUN_100016b0,67
10001710,FUN_10001710,71
10001770,FUN_10001770,83
100017e0,FUN_100017e0,63
10001830,FUN_10001830,71
10001890,FUN_10001890,83
10001900,FUN_10001900,63
10001950,FUN_10001950,56
100019a0,FUN_100019a0,143
10001a60,FUN_10001a60,2051
10002470,FUN_10002470,1355
10002b10,FUN_10002b10,80
10002b80,FUN_10002b80,76
10002be0,FUN_10002be0,76
10002c40,FUN_10002c40,76
10002ca0,FUN_10002ca0,5759
10004980,FUN_10004980,76
100049e0,FUN_100049e0,76
10004a40,FUN_10004a40,88
10004ab0,FUN_10004ab0,76
10004b10,FUN_10004b10,65
10004b70,FUN_10004b70,76
10004bd0,FUN_10004bd0,80
10004c50,__chkesp,56
10004c90,FUN_10004c90,250
10004d90,FUN_10004d90,313
10004ed0,entry,243
10004fd0,__amsg_exit,58
10005010,FUN_10005010,11
10005020,FUN_10005020,87
10005080,__CrtSetReportFile,126
10005100,FUN_10005100,28
10005120,FUN_10005120,912
100054b0,FUN_100054b0,780
100057c0,FUN_100057c0,628
10005a40,FUN_10005a40,3108
10006770,FUN_10006770,119
100067f0,FUN_100067f0,53
10006830,FUN_10006830,74
10006880,FUN_10006880,26
100068a0,FUN_100068a0,31
100068c0,FUN_100068c0,27
100068e0,FUN_100068e0,56
10006920,FUN_10006920,21
10006940,__exit,21
