address,name,sizeBytes
12351005,thunk_FUN_10002fd0,5
1235100a,OnInit,5
1235100f,thunk_FUN_10001030,5
12351014,ProcessScenary,5
12351030,FUN_10001030,67
12351090,FUN_10001090,1054
123515c0,FUN_100015c0,5329
12352fd0,FUN_10002fd0,63
123530b0,__chkesp,56
123530f0,FUN_100030f0,313
12353230,entry,243
12353330,__amsg_exit,58
12353370,FUN_10003370,11
12353380,FUN_10003380,87
123533e0,__CrtSetReportFile,126
12353460,FUN_10003460,28
12353480,FUN_10003480,912
12353810,FUN_10003810,780
12353b20,FUN_10003b20,56
12353b60,FUN_10003b60,21
12353b80,__exit,21
12353ba0,FUN_10003ba0,19
12353bc0,FUN_10003bc0,19
12353be0,FUN_10003be0,227
12353cd0,FUN_10003cd0,15
12353ce0,FUN_10003ce0,15
12353cf0,__initterm,37
12353d20,FUN_10003d20,130
12353db0,FUN_10003db0,41
12353de0,FUN_10003de0,25
12353e00,FUN_10003e00,152
12353ea0,FUN_10003ea0,263
12353fb0,FUN_10003fb0,11
12353fc0,FUN_10003fc0,11
12353fd0,FUN_10003fd0,804
12354300,__ioterm,155
123543a0,FUN_100043a0,29
123543c0,FUN_100043c0,35
123543f0,FUN_100043f0,27
12354410,FUN_10004410,94
12354470,FUN_10004470,23
12354490,FUN_10004490,787
123547b0,FUN_100047b0,27
123547d0,__calloc_dbg,96
12354830,FUN_10004830,27
12354850,FUN_10004850,64
12354890,FUN_10004890,1297
12354db0,FUN_10004db0,27
12354dd0,FUN_10004dd0,64
12354e10,FUN_10004e10,19
12354e30,FUN_10004e30,19
12354e50,FUN_10004e50,41
12354e80,FUN_10004e80,1004
12355270,FUN_10005270,19
12355290,FUN_10005290,342
123553f0,FUN_100053f0,28
12355410,FUN_10005410,157
123554b0,FUN_100054b0,28
123554d0,FUN_100054d0,136
12355560,FUN_10005560,863
123558d0,FUN_100058d0,34
12355900,FUN_10005900,103
12355970,FID_conflict:AtlIsValidAddress,75
123559c0,FUN_100059c0,134
12355a50,FUN_10005a50,227
12355b40,FUN_10005b40,28
12355b60,FUN_10005b60,362
12355cd0,FUN_10005cd0,291
12355e00,FUN_10005e00,697
123560c0,FUN_100060c0,276
123561e0,FUN_100061e0,116
12356260,FUN_10006260,197
12356330,FUN_10006330,329
12356480,FUN_10006480,216
12356560,FUN_10006560,1060
12356990,FUN_10006990,537
12356bb0,FUN_10006bb0,77
12356c00,FUN_10006c00,156
12356ca0,__FF_MSGBANNER,73
12356cf0,FUN_10006cf0,447
12356eb0,__GET_RTERRMSG,80
12356f00,__itoa,66
12356f50,xtoa,194
12357020,__ltoa,63
12357060,__ultoa,30
12357080,__i64toa,72
123570d0,x64toa,242
123571d0,__ui64toa,31
123571f0,_strlen,123
12357270,FUN_10007270,249
12357370,FUN_10007370,7
12357380,FUN_10007380,224
12357460,FUN_10007460,243
12357560,FUN_10007560,47
12357590,FUN_10007590,507
123577c0,FUN_100077c0,146
12357860,FUN_10007860,522
12357aa0,FUN_10007aa0,91
12357b00,FUN_10007b00,13
12357b10,FUN_10007b10,13
12357b20,FUN_10007b20,187
12357be0,_strncpy,254
12357ce0,FUN_10007ce0,55
12357d20,FUN_10007d20,159
12357dc0,FUN_10007dc0,151
12357e60,FUN_10007e60,22
12357e80,FUN_10007e80,26
12357ea0,__XcptFilter,446
12358060,FUN_10008060,89
123580c0,_set_new_handler,48
123580f0,FUN_100080f0,10
12358100,__callnewh,45
12358130,_memset,88
12358190,FUN_10008190,23
123581b0,__nh_malloc_base,87
12358210,FUN_10008210,109
12358280,FUN_10008280,10
12358290,FUN_10008290,173
12358340,FUN_10008340,490
12358530,FUN_10008530,104
123585a0,FUN_100085a0,116
12358620,FUN_10008620,10
12358630,FUN_10008630,10
12358640,FUN_10008640,31
12358660,FUN_10008660,89
123586c0,FUN_100086c0,85
12358720,FUN_10008720,95
12358780,FUN_10008780,1485
12358d50,FUN_10008d50,1334
12359290,FUN_10009290,271
123593a0,FUN_100093a0,494
12359590,FUN_10009590,1515
12359b80,FUN_10009b80,304
12359cb0,FUN_10009cb0,1565
1235a2d0,FUN_1000a2d0,250
1235a3d0,FUN_1000a3d0,183
1235a490,FUN_1000a490,836
1235a7e0,getSystemCP,89
1235a840,FUN_1000a840,80
1235a8c0,setSBCS,116
1235a940,FUN_1000a940,770
1235ac50,FUN_1000ac50,23
1235ac70,FUN_1000ac70,34
1235aca0,FUN_1000aca0,664
1235afe0,__aulldiv,104
1235b050,__aullrem,117
1235b0d0,FUN_1000b0d0,628
1235b350,FUN_1000b350,3108
1235c080,FUN_1000c080,119
1235c100,FUN_1000c100,53
1235c140,FUN_1000c140,74
1235c190,FUN_1000c190,26
1235c1b0,FUN_1000c1b0,31
1235c1d0,FUN_1000c1d0,27
1235c1f0,__dosmaperr,145
1235c290,FUN_1000c290,13
1235c2a0,FUN_1000c2a0,13
1235c2b0,FUN_1000c2b0,664
1235c5f0,FUN_1000c5f0,421
