address,name,sizeBytes
12491005,OnInit,5
1249100a,thunk_FUN_10007070,5
1249100f,thunk_FUN_10001030,5
12491014,ProcessScenary,5
12491030,FUN_10001030,67
12491090,FUN_10001090,3339
124920e0,FUN_100020e0,16284
12497070,FUN_10007070,67
124971b0,__chkesp,56
124971f0,FUN_100071f0,313
12497330,entry,243
12497430,__amsg_exit,58
12497470,FUN_10007470,11
12497480,FUN_10007480,87
124974e0,__CrtSetReportFile,126
12497560,FUN_10007560,28
12497580,FUN_10007580,912
12497910,FUN_10007910,780
12497c20,FUN_10007c20,56
12497c60,FUN_10007c60,21
12497c80,__exit,21
12497ca0,FUN_10007ca0,19
12497cc0,FUN_10007cc0,19
12497ce0,FUN_10007ce0,227
12497dd0,FUN_10007dd0,15
12497de0,FUN_10007de0,15
12497df0,__initterm,37
12497e20,FUN_10007e20,130
12497eb0,FUN_10007eb0,41
12497ee0,FUN_10007ee0,25
12497f00,FUN_10007f00,152
12497fa0,FUN_10007fa0,263
124980b0,FUN_100080b0,11
124980c0,FUN_100080c0,11
124980d0,FUN_100080d0,804
12498400,__ioterm,155
124984a0,FUN_100084a0,29
124984c0,FUN_100084c0,35
124984f0,FUN_100084f0,27
12498510,FUN_10008510,94
12498570,FUN_10008570,23
12498590,FUN_10008590,787
124988b0,FUN_100088b0,27
124988d0,__calloc_dbg,96
12498930,FUN_10008930,27
12498950,FUN_10008950,64
12498990,FUN_10008990,1297
12498eb0,FUN_10008eb0,27
12498ed0,FUN_10008ed0,64
12498f10,FUN_10008f10,19
12498f30,FUN_10008f30,19
12498f50,FUN_10008f50,41
12498f80,FUN_10008f80,1004
12499370,FUN_10009370,19
12499390,FUN_10009390,342
124994f0,FUN_100094f0,28
12499510,FUN_10009510,157
124995b0,FUN_100095b0,28
124995d0,FUN_100095d0,136
12499660,FUN_10009660,863
124999d0,FUN_100099d0,34
12499a00,FUN_10009a00,103
12499a70,FID_conflict:AtlIsValidAddress,75
12499ac0,FUN_10009ac0,134
12499b50,FUN_10009b50,227
12499c40,FUN_10009c40,28
12499c60,FUN_10009c60,362
12499dd0,FUN_10009dd0,291
12499f00,FUN_10009f00,697
1249a1c0,FUN_1000a1c0,276
1249a2e0,FUN_1000a2e0,116
1249a360,FUN_1000a360,197
1249a430,FUN_1000a430,329
1249a580,FUN_1000a580,216
1249a660,FUN_1000a660,1060
1249aa90,FUN_1000aa90,537
1249acb0,FUN_1000acb0,77
1249ad00,FUN_1000ad00,156
1249ada0,__FF_MSGBANNER,73
1249adf0,FUN_1000adf0,447
1249afb0,__GET_RTERRMSG,80
1249b000,__itoa,66
1249b050,xtoa,194
1249b120,__ltoa,63
1249b160,__ultoa,30
1249b180,__i64toa,72
1249b1d0,x64toa,242
1249b2d0,__ui64toa,31
1249b2f0,_strlen,123
1249b370,FUN_1000b370,249
1249b470,FUN_1000b470,7
1249b480,FUN_1000b480,224
1249b560,FUN_1000b560,243
1249b660,FUN_1000b660,47
1249b690,FUN_1000b690,507
1249b8c0,FUN_1000b8c0,146
1249b960,FUN_1000b960,522
1249bba0,FUN_1000bba0,91
1249bc00,FUN_1000bc00,13
1249bc10,FUN_1000bc10,13
1249bc20,FUN_1000bc20,187
1249bce0,_strncpy,254
1249bde0,FUN_1000bde0,55
1249be20,FUN_1000be20,159
1249bec0,FUN_1000bec0,151
1249bf60,FUN_1000bf60,22
1249bf80,FUN_1000bf80,26
1249bfa0,__XcptFilter,446
1249c160,FUN_1000c160,89
1249c1c0,_set_new_handler,48
1249c1f0,FUN_1000c1f0,10
1249c200,__callnewh,45
1249c230,_memset,88
1249c290,FUN_1000c290,23
1249c2b0,__nh_malloc_base,87
1249c310,FUN_1000c310,109
1249c380,FUN_1000c380,10
1249c390,FUN_1000c390,173
1249c440,FUN_1000c440,490
1249c630,FUN_1000c630,104
1249c6a0,FUN_1000c6a0,116
1249c720,FUN_1000c720,10
1249c730,FUN_1000c730,10
1249c740,FUN_1000c740,31
1249c760,FUN_1000c760,89
1249c7c0,FUN_1000c7c0,85
1249c820,FUN_1000c820,95
1249c880,FUN_1000c880,1485
1249ce50,FUN_1000ce50,1334
1249d390,FUN_1000d390,271
1249d4a0,FUN_1000d4a0,494
1249d690,FUN_1000d690,1515
1249dc80,FUN_1000dc80,304
1249ddb0,FUN_1000ddb0,1565
1249e3d0,FUN_1000e3d0,250
1249e4d0,FUN_1000e4d0,183
1249e590,FUN_1000e590,836
1249e8e0,getSystemCP,89
1249e940,FUN_1000e940,80
1249e9c0,setSBCS,116
1249ea40,FUN_1000ea40,770
1249ed50,FUN_1000ed50,23
1249ed70,FUN_1000ed70,34
1249eda0,FUN_1000eda0,664
1249f0e0,__aulldiv,104
1249f150,__aullrem,117
1249f1d0,FUN_1000f1d0,628
1249f450,FUN_1000f450,3108
124a0180,FUN_10010180,119
124a0200,FUN_10010200,53
124a0240,FUN_10010240,74
124a0290,FUN_10010290,26
124a02b0,FUN_100102b0,31
124a02d0,FUN_100102d0,27
124a02f0,__dosmaperr,145
124a0390,FUN_10010390,13
124a03a0,FUN_100103a0,13
124a03b0,FUN_100103b0,664
124a06f0,FUN_100106f0,421
124a08b0,FUN_100108b0,727
124a0bc0,FUN_10010bc0,80
124a0c10,FUN_10010c10,130
124a0ca0,FUN_10010ca0,178
124a0d60,FUN_10010d60,130
124a0df0,FUN_10010df0,627
124a1070,FUN_10011070,199
124a1140,__isatty,50
124a1180,FUN_10011180,300
124a12b0,FUN_100112b0,26
124a12d0,FUN_100112d0,61
124a1310,FUN_10011310,41
124a1340,FUN_10011340,61
124a1380,FUN_10011380,41
124a13b0,FUN_100113b0,119
124a1430,FUN_10011430,160
124a14d0,__global_unwind2,32
124a1512,__local_unwind2,104
124a15a6,FUN_100115a6,24
124a1685,FUN_10011685,27
124a16a0,FUN_100116a0,482
124a1890,__set_osfhnd,183
124a1950,FUN_10011950,216
124a1a30,FUN_10011a30,102
124a1aa0,FUN_10011aa0,260
124a1bb0,FUN_10011bb0,134
124a1c40,__unlock_fhandle,38
124a1c70,FUN_10011c70,218
124a1d50,FUN_10011d50,68
124a1da0,FUN_10011da0,65
124a1df0,FUN_10011df0,183
124a1eb0,FUN_10011eb0,15
124a1ec0,FUN_10011ec0,319
124a2000,__fptrap,15
124a2010,FUN_10012010,1007
124a2400,FUN_10012400,403
124a25a0,FUN_100125a0,256
124a26a0,FUN_100126a0,388
124a2830,FUN_10012830,7
124a2840,__strcats,79
124a2890,FUN_10012890,349
124a29f0,___lc_lctostr,101
124a2a60,FUN_10012a60,130
124a2af0,FUN_10012af0,190
124a2bb0,FUN_10012bb0,210
124a2c90,___init_time,219
124a2d70,FUN_10012d70,1423
124a3300,___free_lc_time,779
124a3610,FUN_10013610,678
124a38c0,fix_grouping,125
124a3940,FUN_10013940,304
124a3a70,FUN_10013a70,525
124a3c80,fix_grouping,125
124a3d00,FUN_10013d00,147
124a3da0,FUN_10013da0,928
124a4140,FUN_10014140,7
124a4150,_strcmp,129
124a41e0,FUN_100141e0,62
124a4220,_strncmp,56
124a4260,FUN_10014260,58
124a42a0,FUN_100142a0,512
124a44a0,FUN_100144a0,130
124a4530,FUN_10014530,186
124a45f0,FUN_100145f0,804
124a4920,FUN_10014920,116
124a49a0,FUN_100149a0,287
124a4ac0,FUN_10014ac0,69
124a4b10,FUN_10014b10,172
124a4bc0,FUN_10014bc0,43
124a4bf0,FUN_10014bf0,155
124a4c90,FUN_10014c90,79
124a4ce0,FUN_10014ce0,135
124a4d70,FUN_10014d70,77
124a4dc0,crtGetLocaleInfoA,388
124a4f50,FUN_10014f50,118
124a4fd0,_GetPrimaryLen,101
124a5040,FUN_10015040,122
124a50c0,__close_lk,170
124a5170,FUN_10015170,146
124a5210,FUN_10015210,289
124a5340,FUN_10015340,291
124a5470,FUN_10015470,878
124a57e0,FUN_100157e0,31
124a5800,FUN_10015800,393
124a5990,FUN_10015990,1389
124a5fb0,FID_conflict:_store_str,72
124a6000,FUN_10016000,173
124a60b0,FID_conflict:_store_number,172
124a6160,FUN_10016160,1152
124a6680,FUN_10016680,650
124a6910,FUN_10016910,10
124a6920,FUN_10016920,575
124a6b90,FUN_10016b90,208
124a6c60,FUN_10016c60,257
124a6d70,FUN_10016d70,255
124a6e70,FUN_10016e70,17
124a6e90,FUN_10016e90,297
124a6fc0,FUN_10016fc0,61
124a7000,FUN_10017000,30
124a7020,FUN_10017020,939
124a73d0,FUN_100173d0,46
124a7400,FUN_10017400,762
124a7700,FUN_10017700,504
124a7900,FUN_10017900,382
124a7aa0,FUN_10017aa0,398
124a7c50,FUN_10017c50,11
124a7c60,FUN_10017c60,147
124a7d00,FUN_10017d00,299
124a7e30,__allmul,52
124a7e70,FUN_10017e70,46
124a7ea0,FID_conflict:__getenv_lk,198
124a7f70,__mbsnbicoll,79
124a7fc0,FUN_10017fc0,174
124a8070,FUN_10018070,970
124a8470,FUN_10018470,80
124a84c0,FUN_100184c0,736
124a87a0,findenv,124
124a8820,copy_environ,238
124a8910,FUN_10018910,237
124a8a10,_strchr,193
124a8c1c,RtlUnwind,6
