address,name,sizeBytes
10001005,OnInit,5
1000100a,thunk_FUN_10007070,5
1000100f,thunk_FUN_10001030,5
10001014,ProcessScenary,5
10001030,FUN_10001030,67
10001090,FUN_10001090,3339
100020e0,FUN_100020e0,16284
10007070,FUN_10007070,67
100071b0,__chkesp,56
100071f0,FUN_100071f0,313
10007330,entry,243
10007430,__amsg_exit,58
10007470,FUN_10007470,11
10007480,FUN_10007480,87
100074e0,__CrtSetReportFile,126
10007560,FUN_10007560,28
10007580,FUN_10007580,912
10007910,FUN_10007910,780
10007c20,FUN_10007c20,56
10007c60,FUN_10007c60,21
10007c80,__exit,21
10007ca0,FUN_10007ca0,19
10007cc0,FUN_10007cc0,19
10007ce0,FUN_10007ce0,227
10007dd0,FUN_10007dd0,15
10007de0,FUN_10007de0,15
10007df0,__initterm,37
10007e20,FUN_10007e20,130
10007eb0,FUN_10007eb0,41
10007ee0,FUN_10007ee0,25
10007f00,FUN_10007f00,152
10007fa0,FUN_10007fa0,263
100080b0,FUN_100080b0,11
100080c0,FUN_100080c0,11
100080d0,FUN_100080d0,804
10008400,__ioterm,155
100084a0,FUN_100084a0,29
100084c0,FUN_100084c0,35
100084f0,FUN_100084f0,27
10008510,FUN_10008510,94
10008570,FUN_10008570,23
10008590,FUN_10008590,787
100088b0,FUN_100088b0,27
100088d0,__calloc_dbg,96
10008930,FUN_10008930,27
10008950,FUN_10008950,64
10008990,FUN_10008990,1297
10008eb0,FUN_10008eb0,27
10008ed0,FUN_10008ed0,64
10008f10,FUN_10008f10,19
10008f30,FUN_10008f30,19
10008f50,FUN_10008f50,41
10008f80,FUN_10008f80,1004
10009370,FUN_10009370,19
10009390,FUN_10009390,342
100094f0,FUN_100094f0,28
10009510,FUN_10009510,157
100095b0,FUN_100095b0,28
100095d0,FUN_100095d0,136
10009660,FUN_10009660,863
100099d0,FUN_100099d0,34
10009a00,FUN_10009a00,103
10009a70,FID_conflict:AtlIsValidAddress,75
10009ac0,FUN_10009ac0,134
10009b50,FUN_10009b50,227
10009c40,FUN_10009c40,28
10009c60,FUN_10009c60,362
10009dd0,FUN_10009dd0,291
