address,name,sizeBytes
10001005,thunk_FUN_100071d0,5
1000100a,OnInit,5
1000100f,thunk_FUN_10007220,5
10001014,thunk_FUN_10001040,5
10001019,ProcessScenary,5
10001040,FUN_10001040,67
100010a0,FUN_100010a0,3949
100023f0,FUN_100023f0,15944
100071d0,FUN_100071d0,63
10007220,FUN_10007220,67
10007390,__chkesp,56
100073d0,FUN_100073d0,313
10007510,entry,243
10007610,__amsg_exit,58
10007650,FUN_10007650,11
10007660,FUN_10007660,87
100076c0,__CrtSetReportFile,126
10007740,FUN_10007740,28
10007760,FUN_10007760,912
10007af0,FUN_10007af0,780
10007e00,FUN_10007e00,56
10007e40,FUN_10007e40,21
10007e60,__exit,21
10007e80,FUN_10007e80,19
10007ea0,FUN_10007ea0,19
10007ec0,FUN_10007ec0,227
10007fb0,FUN_10007fb0,15
10007fc0,FUN_10007fc0,15
10007fd0,__initterm,37
10008000,FUN_10008000,130
10008090,FUN_10008090,41
100080c0,FUN_100080c0,25
100080e0,FUN_100080e0,152
10008180,FUN_10008180,263
10008290,FUN_10008290,11
100082a0,FUN_100082a0,11
100082b0,FUN_100082b0,804
100085e0,__ioterm,155
10008680,FUN_10008680,29
100086a0,FUN_100086a0,35
100086d0,FUN_100086d0,27
100086f0,FUN_100086f0,94
10008750,FUN_10008750,23
10008770,FUN_10008770,787
10008a90,FUN_10008a90,27
10008ab0,__calloc_dbg,96
10008b10,FUN_10008b10,27
10008b30,FUN_10008b30,64
10008b70,FUN_10008b70,1297
10009090,FUN_10009090,27
100090b0,FUN_100090b0,64
100090f0,FUN_100090f0,19
10009110,FUN_10009110,19
10009130,FUN_10009130,41
10009160,FUN_10009160,1004
10009550,FUN_10009550,19
10009570,FUN_10009570,342
100096d0,FUN_100096d0,28
100096f0,FUN_100096f0,157
10009790,FUN_10009790,28
100097b0,FUN_100097b0,136
10009840,FUN_10009840,863
10009bb0,FUN_10009bb0,34
10009be0,FUN_10009be0,103
10009c50,FID_conflict:AtlIsValidAddress,75
10009ca0,FUN_10009ca0,134
10009d30,FUN_10009d30,227
10009e20,FUN_10009e20,28
10009e40,FUN_10009e40,362
10009fb0,FUN_10009fb0,291
1000a0e0,FUN_1000a0e0,697
1000a3a0,FUN_1000a3a0,276
1000a4c0,FUN_1000a4c0,116
1000a540,FUN_1000a540,197
1000a610,FUN_1000a610,329
1000a760,FUN_1000a760,216
1000a840,FUN_1000a840,1060
1000ac70,FUN_1000ac70,537
1000ae90,FUN_1000ae90,77
1000aee0,FUN_1000aee0,156
1000af80,__FF_MSGBANNER,73
1000afd0,FUN_1000afd0,447
1000b190,__GET_RTERRMSG,80
1000b1e0,__itoa,66
1000b230,xtoa,194
1000b300,__ltoa,63
1000b340,__ultoa,30
1000b360,__i64toa,72
1000b3b0,x64toa,242
1000b4b0,__ui64toa,31
1000b4d0,_strlen,123
1000b550,FUN_1000b550,249
1000b650,FUN_1000b650,7
1000b660,FUN_1000b660,224
1000b740,FUN_1000b740,243
1000b840,FUN_1000b840,47
1000b870,FUN_1000b870,507
1000baa0,FUN_1000baa0,146
1000bb40,FUN_1000bb40,522
1000bd80,FUN_1000bd80,91
1000bde0,FUN_1000bde0,13
1000bdf0,FUN_1000bdf0,13
1000be00,FUN_1000be00,187
1000bec0,_strncpy,254
1000bfc0,FUN_1000bfc0,55
1000c000,FUN_1000c000,159
1000c0a0,FUN_1000c0a0,151
1000c140,FUN_1000c140,22
1000c160,FUN_1000c160,26
1000c180,__XcptFilter,446
1000c340,FUN_1000c340,89
1000c3a0,_set_new_handler,48
1000c3d0,FUN_1000c3d0,10
1000c3e0,__callnewh,45
1000c410,_memset,88
1000c470,FUN_1000c470,23
1000c490,__nh_malloc_base,87
1000c4f0,FUN_1000c4f0,109
1000c560,FUN_1000c560,10
1000c570,FUN_1000c570,173
1000c620,FUN_1000c620,490
1000c810,FUN_1000c810,104
1000c880,FUN_1000c880,116
1000c900,FUN_1000c900,10
1000c910,FUN_1000c910,10
1000c920,FUN_1000c920,31
1000c940,FUN_1000c940,89
1000c9a0,FUN_1000c9a0,85
1000ca00,FUN_1000ca00,95
1000ca60,FUN_1000ca60,1485
1000d030,FUN_1000d030,1334
1000d570,FUN_1000d570,271
1000d680,FUN_1000d680,494
1000d870,FUN_1000d870,1515
1000de60,FUN_1000de60,304
1000df90,FUN_1000df90,1565
1000e5b0,FUN_1000e5b0,250
1000e6b0,FUN_1000e6b0,183
1000e770,FUN_1000e770,836
1000eac0,getSystemCP,89
1000eb20,FUN_1000eb20,80
1000eba0,setSBCS,116
1000ec20,FUN_1000ec20,770
1000ef30,FUN_1000ef30,23
1000ef50,FUN_1000ef50,34
1000ef80,FUN_1000ef80,664
1000f2c0,__aulldiv,104
1000f330,__aullrem,117
1000f3b0,FUN_1000f3b0,628
1000f630,FUN_1000f630,3108
10010360,FUN_10010360,119
100103e0,FUN_100103e0,53
10010420,FUN_10010420,74
10010470,FUN_10010470,26
10010490,FUN_10010490,31
100104b0,FUN_100104b0,27
100104d0,__dosmaperr,145
10010570,FUN_10010570,13
10010580,FUN_10010580,13
10010590,FUN_10010590,664
100108d0,FUN_100108d0,421
10010a90,FUN_10010a90,727
10010da0,FUN_10010da0,80
10010df0,FUN_10010df0,130
10010e80,FUN_10010e80,178
10010f40,FUN_10010f40,130
10010fd0,FUN_10010fd0,627
