address,name,sizeBytes
12621005,OnInit,5
1262100a,thunk_FUN_10001030,5
1262100f,ProcessScenary,5
12621030,FUN_10001030,67
12621090,FUN_10001090,915
12621510,FUN_10001510,2717
126222d0,__chkesp,56
12622310,FUN_10002310,313
12622450,entry,243
12622550,__amsg_exit,58
12622590,FUN_10002590,11
126225a0,FUN_100025a0,87
12622600,__CrtSetReportFile,126
12622680,FUN_10002680,28
126226a0,FUN_100026a0,912
12622a30,FUN_10002a30,780
12622d40,FUN_10002d40,56
12622d80,FUN_10002d80,21
12622da0,__exit,21
12622dc0,FUN_10002dc0,19
12622de0,FUN_10002de0,19
12622e00,FUN_10002e00,227
12622ef0,FUN_10002ef0,15
12622f00,FUN_10002f00,15
12622f10,__initterm,37
12622f40,FUN_10002f40,130
12622fd0,FUN_10002fd0,41
12623000,FUN_10003000,25
12623020,FUN_10003020,152
126230c0,FUN_100030c0,263
126231d0,FUN_100031d0,11
126231e0,FUN_100031e0,11
126231f0,FUN_100031f0,804
12623520,__ioterm,155
126235c0,FUN_100035c0,29
126235e0,FUN_100035e0,35
12623610,FUN_10003610,27
12623630,FUN_10003630,94
12623690,FUN_10003690,23
126236b0,FUN_100036b0,787
126239d0,FUN_100039d0,27
126239f0,__calloc_dbg,96
12623a50,FUN_10003a50,27
12623a70,FUN_10003a70,64
12623ab0,FUN_10003ab0,1297
12623fd0,FUN_10003fd0,27
12623ff0,FUN_10003ff0,64
12624030,FUN_10004030,19
12624050,FUN_10004050,19
12624070,FUN_10004070,41
126240a0,FUN_100040a0,1004
12624490,FUN_10004490,19
126244b0,FUN_100044b0,342
12624610,FUN_10004610,28
12624630,FUN_10004630,157
126246d0,FUN_100046d0,28
126246f0,FUN_100046f0,136
12624780,FUN_10004780,863
12624af0,FUN_10004af0,34
12624b20,FUN_10004b20,103
12624b90,FID_conflict:AtlIsValidAddress,75
12624be0,FUN_10004be0,134
12624c70,FUN_10004c70,227
12624d60,FUN_10004d60,28
12624d80,FUN_10004d80,362
12624ef0,FUN_10004ef0,291
12625020,FUN_10005020,697
126252e0,FUN_100052e0,276
12625400,FUN_10005400,116
12625480,FUN_10005480,197
12625550,FUN_10005550,329
126256a0,FUN_100056a0,216
12625780,FUN_10005780,1060
12625bb0,FUN_10005bb0,537
12625dd0,FUN_10005dd0,77
12625e20,FUN_10005e20,156
12625ec0,__FF_MSGBANNER,73
12625f10,FUN_10005f10,447
126260d0,__GET_RTERRMSG,80
12626120,__itoa,66
12626170,xtoa,194
12626240,__ltoa,63
12626280,__ultoa,30
126262a0,__i64toa,72
126262f0,x64toa,242
126263f0,__ui64toa,31
12626410,_strlen,123
12626490,FUN_10006490,249
12626590,FUN_10006590,7
126265a0,FUN_100065a0,224
12626680,FUN_10006680,243
12626780,FUN_10006780,47
126267b0,FUN_100067b0,507
126269e0,FUN_100069e0,146
12626a80,FUN_10006a80,522
12626cc0,FUN_10006cc0,91
12626d20,FUN_10006d20,13
12626d30,FUN_10006d30,13
12626d40,FUN_10006d40,187
12626e00,_strncpy,254
12626f00,FUN_10006f00,55
12626f40,FUN_10006f40,159
12626fe0,FUN_10006fe0,151
12627080,FUN_10007080,22
126270a0,FUN_100070a0,26
126270c0,__XcptFilter,446
12627280,FUN_10007280,89
126272e0,_set_new_handler,48
12627310,FUN_10007310,10
12627320,__callnewh,45
12627350,_memset,88
126273b0,FUN_100073b0,23
126273d0,__nh_malloc_base,87
12627430,FUN_10007430,109
126274a0,FUN_100074a0,10
126274b0,FUN_100074b0,173
12627560,FUN_10007560,490
12627750,FUN_10007750,104
126277c0,FUN_100077c0,116
12627840,FUN_10007840,10
12627850,FUN_10007850,10
12627860,FUN_10007860,31
12627880,FUN_10007880,89
126278e0,FUN_100078e0,85
12627940,FUN_10007940,95
126279a0,FUN_100079a0,1485
12627f70,FUN_10007f70,1334
126284b0,FUN_100084b0,271
126285c0,FUN_100085c0,494
126287b0,FUN_100087b0,1515
12628da0,FUN_10008da0,304
12628ed0,FUN_10008ed0,1565
126294f0,FUN_100094f0,250
126295f0,FUN_100095f0,183
126296b0,FUN_100096b0,836
12629a00,getSystemCP,89
12629a60,FUN_10009a60,80
12629ae0,setSBCS,116
12629b60,FUN_10009b60,770
12629e70,FUN_10009e70,23
12629e90,FUN_10009e90,34
12629ec0,FUN_10009ec0,664
1262a200,__aulldiv,104
1262a270,__aullrem,117
1262a2f0,FUN_1000a2f0,628
1262a570,FUN_1000a570,3108
1262b2a0,FUN_1000b2a0,119
1262b320,FUN_1000b320,53
1262b360,FUN_1000b360,74
1262b3b0,FUN_1000b3b0,26
1262b3d0,FUN_1000b3d0,31
1262b3f0,FUN_1000b3f0,27
1262b410,__dosmaperr,145
1262b4b0,FUN_1000b4b0,13
1262b4c0,FUN_1000b4c0,13
1262b4d0,FUN_1000b4d0,664
1262b810,FUN_1000b810,421
1262b9d0,FUN_1000b9d0,727
1262bce0,FUN_1000bce0,80
1262bd30,FUN_1000bd30,130
1262bdc0,FUN_1000bdc0,178
1262be80,FUN_1000be80,130
1262bf10,FUN_1000bf10,627
1262c190,FUN_1000c190,199
1262c260,__isatty,50
1262c2a0,FUN_1000c2a0,300
1262c3d0,FUN_1000c3d0,26
1262c3f0,FUN_1000c3f0,61
1262c430,FUN_1000c430,41
1262c460,FUN_1000c460,61
1262c4a0,FUN_1000c4a0,41
1262c4d0,FUN_1000c4d0,119
1262c550,FUN_1000c550,160
1262c5f0,__global_unwind2,32
1262c632,__local_unwind2,104
1262c6c6,FUN_1000c6c6,24
1262c7a5,FUN_1000c7a5,27
1262c7c0,FUN_1000c7c0,482
1262c9b0,__set_osfhnd,183
1262ca70,FUN_1000ca70,216
1262cb50,FUN_1000cb50,102
1262cbc0,FUN_1000cbc0,260
