address,name,sizeBytes
12c81010,FUN_10001010,10
12c81020,FUN_10001020,12
12c81050,FUN_10001050,10
12c81060,FUN_10001060,12
12c810a0,FUN_100010a0,20
12c810c0,OnInit,388
12c81244,Catch@10001244,34
12c81270,ProcessScenary,118
12c812f0,FUN_100012f0,71
12c81340,FUN_10001340,49
12c81380,FUN_10001380,279
12c814a0,FUN_100014a0,51
12c814e0,FUN_100014e0,222
12c815c0,FUN_100015c0,224
12c816a0,FUN_100016a0,703
12c81960,FUN_10001960,130
12c819f0,FUN_100019f0,436
12c81bb0,FUN_10001bb0,136
12c81c40,FUN_10001c40,1012
12c82040,FUN_10002040,746
12c82330,FUN_10002330,478
12c82510,FUN_10002510,575
12c82750,FUN_10002750,97
12c827c0,FUN_100027c0,69
12c82810,FUN_10002810,335
12c82960,FUN_10002960,97
12c829d0,FUN_100029d0,98
12c82a40,FUN_10002a40,98
12c82ab0,FUN_10002ab0,92
12c82b10,FUN_10002b10,98
12c82b80,FUN_10002b80,98
12c82bf0,FUN_10002bf0,293
12c82d20,FUN_10002d20,897
12c830c0,FUN_100030c0,58
12c83100,FUN_10003100,52
12c83140,FUN_10003140,127
12c831c0,FUN_100031c0,649
12c83450,RunTimerEx,53
12c83490,ChangeFriendsEx,71
12c834e0,ShowPageEx,38
12c83510,AskQuestionEx,38
12c83540,DisableMissionEx,18
12c83560,EnableMissionEx,18
12c83580,InitialUpgradeEx,6
12c83590,AskMultilineQuestionEx,53
12c835d0,CheckGroupLeaveAbility,44
12c83600,GetGroupNInside,44
12c83630,CompleteMission,39
12c83660,SubResource,32
12c83680,PreserveTrigger,23
12c836a0,StartAIEx,34
12c836d0,FUN_100036d0,284
12c837f0,FUN_100037f0,61
12c83830,FUN_10003830,126
12c838d0,FUN_100038d0,510
12c83ad0,FUN_10003ad0,71
12c83b20,FUN_10003b20,157
12c83bc0,FUN_10003bc0,17
12c83be0,FUN_10003be0,280
12c83d00,FUN_10003d00,6
12c83d10,FUN_10003d10,89
12c83d69,Catch@10003d69,33
12c83d90,FUN_10003d90,135
12c83e20,FUN_10003e20,213
12c83f40,FUN_10003f40,479
12c84120,FUN_10004120,54
12c84160,FUN_10004160,10
12c84170,FUN_10004170,183
12c84230,FUN_10004230,230
12c84320,FUN_10004320,621
12c84590,FUN_10004590,282
12c846b0,FUN_100046b0,105
12c84720,FUN_10004720,119
12c847d0,FUN_100047d0,11
12c847db,FUN_100047db,89
12c84835,FUN_10004835,100
12c848a6,FUN_100048a6,29
12c848c3,FUN_100048c3,61
12c84900,FUN_10004900,28
12c8491c,FUN_1000491c,93
12c84979,FUN_10004979,61
12c849b6,FUN_100049b6,29
12c849ef,FUN_100049ef,24
12c84a07,FUN_10004a07,89
12c84a61,FUN_10004a61,61
12c84a9e,FUN_10004a9e,29
12c84ad7,FUN_10004ad7,24
12c84b19,FUN_10004b19,12
12c84b25,FUN_10004b25,12
12c84b32,FUN_10004b32,126
12c84bb0,FUN_10004bb0,18
12c84bf1,FUN_10004bf1,104
12c84c59,FUN_10004c59,24
12c84c71,FUN_10004c71,81
12c84ccf,FUN_10004ccf,22
12c84ce5,FUN_10004ce5,41
12c84d0e,FUN_10004d0e,28
12c84d2a,FUN_10004d2a,49
12c84d5b,__fclose_lk,76
12c84db0,FUN_10004db0,62
12c84dee,FUN_10004dee,47
12c84e1d,FUN_10004e1d,232
12c84f05,FUN_10004f05,34
12c84f27,FUN_10004f27,353
12c85088,FUN_10005088,44
12c850b4,FUN_100050b4,141
12c85141,FUN_10005141,49
12c85172,FUN_10005172,19
12c85185,FUN_10005185,45
12c851b9,FUN_100051b9,7
12c851c0,FUN_100051c0,7
12c851c7,FUN_100051c7,79
12c85216,FUN_10005216,54
12c8524c,FUN_1000524c,84
12c852a0,FUN_100052a0,37
12c852c5,FUN_100052c5,182
12c8537b,FUN_1000537b,114
12c853f0,FUN_100053f0,123
12c85470,FUN_10005470,47
12c854a0,__global_unwind2,32
12c854e2,__local_unwind2,104
12c8554a,__abnormal_termination,35
12c8556d,__NLG_Notify1,9
12c85576,FUN_10005576,24
12c8558e,__CxxThrowException@8,58
12c855c8,FUN_100055c8,82
12c8561a,operator_new,14
12c85630,_strncpy,254
12c8572e,FUN_1000572e,52
12c85770,_strncmp,56
12c857b0,FUN_100057b0,62
12c857ee,FUN_100057ee,46
12c8581c,FUN_1000581c,40
12c85844,FUN_10005844,40
12c85870,FUN_10005870,664
12c85ba5,FUN_10005ba5,106
12c85c0f,FUN_10005c0f,24
12c85c30,FUN_10005c30,133
12c85cb0,FUN_10005cb0,217
12c85d89,entry,157
12c85e26,__amsg_exit,48
12c85e59,FUN_10005e59,215
12c85ec3,FUN_10005ec3,9
12c85f1b,FUN_10005f1b,9
12c85f42,FUN_10005f42,28
12c85f5e,FUN_10005f5e,61
12c85f9b,FUN_10005f9b,74
12c85fe5,~exception,22
12c86010,_strlen,123
12c8608c,FUN_1000608c,31
12c860b0,FUN_100060b0,664
12c863e5,FUN_100063e5,45
12c86412,__exit,17
12c86423,FUN_10006423,15
12c86432,FUN_10006432,163
12c864d7,FUN_100064d7,9
12c864e0,FUN_100064e0,9
12c864e9,FUN_100064e9,26
12c86503,FUN_10006503,781
12c8668e,FUN_1000668e,9
12c867dc,FUN_100067dc,11
12c86832,FUN_10006832,214
12c8689c,FUN_1000689c,9
12c86917,FUN_10006917,9
12c86920,_malloc,18
12c86932,__nh_malloc,44
12c8695e,FUN_1000695e,231
12c869c5,FUN_100069c5,9
12c86a24,FUN_10006a24,9
12c86b21,FUN_10006b21,27
12c86b3c,FUN_10006b3c,86
12c86b9d,FUN_10006b9d,79
12c86bf3,FUN_10006bf3,41
12c86c1c,FUN_10006c1c,108
12c86c88,FUN_10006c88,97
12c86ce9,FUN_10006ce9,21
12c86d00,_strcmp,129
12c86e40,FUN_10006e40,47
12c86e6f,FUN_10006e6f,35
12c86e92,FUN_10006e92,47
12c86ec1,FUN_10006ec1,35
12c86ee4,FUN_10006ee4,93
12c86f41,FUN_10006f41,131
12c86fc4,__freebuf,43
12c86fef,FUN_10006fef,46
12c8701d,FUN_1000701d,92
12c87082,FUN_10007082,164
12c87126,FUN_10007126,220
12c87202,FUN_10007202,101
12c87267,FUN_10007267,473
12c87440,FUN_10007440,115
12c874b3,FUN_100074b3,9
12c874bc,FUN_100074bc,9
12c874c5,FUN_100074c5,444
12c87681,FUN_10007681,84
12c876d5,FUN_100076d5,101
12c8773a,FUN_1000773a,115
12c877ad,FUN_100077ad,368
12c8791d,FUN_1000791d,200
12c879e5,FUN_100079e5,155
12c87a80,FUN_10007a80,435
12c87c33,FUN_10007c33,170
12c87cdd,FUN_10007cdd,93
12c87d3a,FUN_10007d3a,132
12c87dd8,FUN_10007dd8,123
12c87e53,FUN_10007e53,165
12c87f20,FUN_10007f20,78
12c87f98,FUN_10007f98,440
12c8815c,FUN_1000815c,86
12c881c3,FUN_100081c3,35
12c881f0,__CallSettingFrame@12,76
12c8823c,FUN_1000823c,84
12c88290,FUN_10008290,30
12c882ae,FUN_100082ae,19
12c882c1,FUN_100082c1,103
12c88328,FUN_10008328,160
12c883c8,FUN_100083c8,70
12c8842c,FUN_1000842c,280
12c88544,FUN_10008544,1825
12c88c85,FUN_10008c85,53
12c88cba,FUN_10008cba,49
12c88ceb,FUN_10008ceb,56
12c88d23,FUN_10008d23,13
12c88d30,FUN_10008d30,16
12c88d40,FUN_10008d40,14
12c88d4e,FUN_10008d4e,2597
12c89773,FUN_10009773,55
12c897aa,FUN_100097aa,26
12c897c4,FUN_100097c4,23
12c897db,FUN_100097db,36
12c897ff,FUN_100097ff,117
12c89874,FUN_10009874,101
12c898d9,FUN_100098d9,395
12c89a80,FUN_10009a80,188
12c89b3c,FUN_10009b3c,185
12c89bf5,FUN_10009bf5,153
12c89c8e,FUN_10009c8e,436
12c89e42,FUN_10009e42,306
12c89f74,FUN_10009f74,45
12c89fa1,FUN_10009fa1,328
12c8a0e9,FUN_1000a0e9,93
12c8a146,FUN_1000a146,168
12c8a1ee,FUN_1000a1ee,57
12c8a227,FUN_1000a227,339
12c8a37a,FUN_1000a37a,72
12c8a3c2,FUN_1000a3c2,43
12c8a3ed,FUN_1000a3ed,809
12c8a716,FUN_1000a716,777
12c8aa1f,FUN_1000aa1f,177
12c8aad0,FUN_1000aad0,251
12c8abcb,FUN_1000abcb,758
12c8aec1,FUN_1000aec1,324
12c8b005,FUN_1000b005,86
12c8b05b,FUN_1000b05b,194
12c8b11d,FUN_1000b11d,87
12c8b174,FUN_1000b174,69
12c8b1b9,FUN_1000b1b9,520
12c8b3c1,FUN_1000b3c1,292
12c8b4e5,FUN_1000b4e5,169
12c8b590,FUN_1000b590,7
12c8b5a0,FUN_1000b5a0,224
12c8b680,FUN_1000b680,27
12c8b69b,FUN_1000b69b,23
12c8b6b2,FUN_1000b6b2,289
12c8b74b,FUN_1000b74b,9
12c8b7d4,FUN_1000b7d4,9
12c8b870,FUN_1000b870,291
12c8b993,FUN_1000b993,124
12c8ba0f,FUN_1000ba0f,127
12c8ba8e,FUN_1000ba8e,66
12c8bad0,FUN_1000bad0,95
12c8bb2f,FUN_1000bb2f,34
12c8bb51,FUN_1000bb51,147
12c8bbe4,FUN_1000bbe4,68
12c8bc28,FUN_1000bc28,719
12c8bef7,FUN_1000bef7,28
12c8bf13,FUN_1000bf13,28
12c8bf2f,FUN_1000bf2f,24
12c8bf47,FUN_1000bf47,41
12c8bf70,FUN_1000bf70,89
12c8bfc9,FUN_1000bfc9,105
12c8c040,__aulldiv,104
12c8c0b0,__aullrem,117
12c8c125,FUN_1000c125,93
12c8c182,FUN_1000c182,201
12c8c250,_memset,88
12c8c2b0,__allmul,52
12c8c2f0,__allshl,31
12c8c30f,FUN_1000c30f,110
12c8c37d,FUN_1000c37d,318
12c8c4c6,FUN_1000c4c6,429
12c8c673,FUN_1000c673,74
12c8c6bd,FUN_1000c6bd,51
12c8c6f0,FUN_1000c6f0,41
12c8c719,FUN_1000c719,389
12c8c89e,FUN_1000c89e,28
12c8c8ba,FUN_1000c8ba,23
12c8c8d1,FUN_1000c8d1,517
12c8cad6,FUN_1000cad6,137
12c8cb5f,FUN_1000cb5f,386
12c8cce1,FUN_1000cce1,61
12c8cd1e,FUN_1000cd1e,293
12c8ce43,__fptrap,9
12c8ce4c,FUN_1000ce4c,511
12c8d070,FUN_1000d070,43
12c8d09b,FUN_1000d09b,111
12c8d10a,FUN_1000d10a,204
12c8d1d6,FUN_1000d1d6,97
12c8d240,FUN_1000d240,58
12c8d280,FUN_1000d280,208
